spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00010102940	2-Aminobenzenesulfonic acid CollisionEnergy:102040 M+H	Nc1ccccc1S(=O)(=O)O	0			1+	NA	174.022
CCMSLIB00010102937	cyclic gmp CollisionEnergy:102040 M+H	N=c1nc(O)c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2[nH]1	0			1+	NA	346.055
CCMSLIB00010103037	epinephrine CollisionEnergy:102040 M+H	CNC[C@H](O)c1ccc(O)c(O)c1	0			1+	NA	184.097
CCMSLIB00010103048	L-Methionine sulfoximine CollisionEnergy:102040 M+H	CS(=N)(=O)CC[C@H](N)C(=O)O	0			1+	NA	181.064
CCMSLIB00010103039	epinephrine CollisionEnergy:102040 M+H-H2O	CNC[C@H](O)c1ccc(O)c(O)c1	0			1+	NA	166.086
CCMSLIB00010103063	L-selenomethionine CollisionEnergy:102040 M+H	C[Se]CC[C@H](N)C(=O)O	0			1+	NA	198.003
CCMSLIB00010103055	N-Acetylneuraminic Acid CollisionEnergy:102040 M+H-H2O	CC(O)=N[C@@H]1[C@@H](O)CC(O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO	0			1+	NA	292.103
CCMSLIB00010103042	xanthosine CollisionEnergy:102040 M+K	OC[C@H]1O[C@@H](n2cnc3c(O)nc(O)nc32)[C@H](O)[C@@H]1O	0			1+	NA	323.039
CCMSLIB00010103043	4-Guanidinobutyric acid CollisionEnergy:102040 M+H-H2O	N=C(N)NCCCC(=O)O	0			1+	NA	128.082
CCMSLIB00010103085	dl-Octopamine CollisionEnergy:102040 M+H	NC[C@H](O)c1ccc(O)cc1	0			1+	NA	154.086
CCMSLIB00010103072	biliverdin CollisionEnergy:102040 M-e	C=CC1=C(C)C(/C=c2/[nH]/c(=C\c3[nH]c(/C=C4\N=C(O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O	0			1+	NA	582.247
CCMSLIB00010103108	3-METHOXY-L-TYROSINE CollisionEnergy:102040 M+H	COc1cc(C[C@H](N)C(=O)O)ccc1O	0			1+	NA	212.092
