spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00013933782	Azaperol_CE15 M+H	OC(CCCN1CCN(CC1)C1=CC=CC=N1)C1=CC=C(F)C=C1	0			1+	NA	330.198
CCMSLIB00013933783	Azaperol_CE30 M+H	OC(CCCN1CCN(CC1)C1=CC=CC=N1)C1=CC=C(F)C=C1	0			1+	NA	330.198
CCMSLIB00013933784	Azaperol_CE45 M+H	OC(CCCN1CCN(CC1)C1=CC=CC=N1)C1=CC=C(F)C=C1	0			1+	NA	330.198
CCMSLIB00013933785	Azaperol_CE60 M+H	OC(CCCN1CCN(CC1)C1=CC=CC=N1)C1=CC=C(F)C=C1	0			1+	NA	330.198
CCMSLIB00013933786	Azaperol_CE75 M+H	OC(CCCN1CCN(CC1)C1=CC=CC=N1)C1=CC=C(F)C=C1	0			1+	NA	330.198
CCMSLIB00013933787	Azaperol_CE90 M+H	OC(CCCN1CCN(CC1)C1=CC=CC=N1)C1=CC=C(F)C=C1	0			1+	NA	330.198
CCMSLIB00013933788	"""Azaperol_CE25,38,59"" M+H"	OC(CCCN1CCN(CC1)C1=CC=CC=N1)C1=CC=C(F)C=C1	0			1+	NA	330.198
CCMSLIB00013933789	Carazolol_CE15 M+H	CC(C)NCC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1	0			1+	NA	299.176
CCMSLIB00013933790	Carazolol_CE30 M+H	CC(C)NCC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1	0			1+	NA	299.176
CCMSLIB00013933791	Carazolol_CE45 M+H	CC(C)NCC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1	0			1+	NA	299.176
CCMSLIB00013933792	Carazolol_CE60 M+H	CC(C)NCC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1	0			1+	NA	299.176
CCMSLIB00013933793	Carazolol_CE75 M+H	CC(C)NCC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1	0			1+	NA	299.176
CCMSLIB00013933794	Carazolol_CE90 M+H	CC(C)NCC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1	0			1+	NA	299.176
