spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00000078679	"""NCGC00160272-01!5-(3-Furan-2-yl-acryloyl)-2,2-dimethyl-4,6-dioxo-cyclohexanecarboxylic acid methyl ester"" M+H"	COC(=O)C1C(=O)C(C(=O)\C=C\C2=CC=CO2)C(=O)CC1(C)C	0			1+	NA	319.118
CCMSLIB00000078680	"""NCGC00160316-01!6,7-didehydro-26,28didemethyl-16,28-secosolanidan-3,16-diol"" M+H"	C[C@@H](C1[C@@H](O)CC2C3C=CC4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)[C@@H]5CCCCN5	0			1+	NA	402.337
CCMSLIB00000078681	"""NCGC00160261-01!10b-Methyl-3,4,5,6,10b,11-hexahydro-2H-4b-aza-chrysene-1,12-dione"" M+H"	C[C@@]12CC(=O)C3=C(CCCC3=O)N1CCC4=CC=CC=C24	0			1+	NA	282.149
CCMSLIB00000078682	"""NCGC00160261-01!10b-Methyl-3,4,5,6,10b,11-hexahydro-2H-4b-aza-chrysene-1,12-dione"" M+Na"	C[C@@]12CC(=O)C3=C(CCCC3=O)N1CCC4=CC=CC=C24	0			1+	NA	304.131
CCMSLIB00000078683	NCGC00021127-04!NAPROXEN M+H	COC1=CC=C2C=C(C=CC2=C1)C(C)C(O)=O	0			1+	NA	231.102
CCMSLIB00000078684	"""NCGC00160297-01!5-[2-(6-Hydroxy-4,7-dimethoxy-benzofuran-5-yl)-2-oxo-ethyl]-4-methoxy-6,6-dimethyl-5,6,7,8-tetrahydro-[1,3]dioxolo[4,5-g]isoquinolin-6-ium"" M+H"	COC1=C2OC=CC2=C(OC)C(C(=O)CC3C4=C(OC)C5=C(OCO5)C=C4CC[N+]3(C)C)=C1O	0			1+	NA	470.181
CCMSLIB00000078685	NCGC00160189-01!8-OXO-PSEUDOPALMATINE M+H	COC1=CC2=C(C=C1OC)C3=CC4=C(C=C(OC)C(OC)=C4)C(=O)N3CC2	0			1+	NA	368.15
CCMSLIB00000078686	NCGC00160175-01!PTEROCARPIN METHYLETHER M+H	COC1=CC2=C(C=C1)[C@@H]3OC4=C(C=C5OCOC5=C4)[C@@H]3CO2	0			1+	NA	299.092
CCMSLIB00000078687	"""NCGC00160147-01!2-[2-(4-Methyl-2-oxo-2H-chromen-7-yloxy)-acetyl]-1,2,3,4-tetrahydro-beta-carbolin-3-ylcarboxylic acid methyl ester"" M+H"	COC(=O)[C@H]1CC2=C(CN1C(=O)COC3=CC=C4C(C)=CC(=O)OC4=C3)NC5=CC=CC=C25	0			1+	NA	447.156
CCMSLIB00000078688	"""NCGC00160277-01!3-Methoxy-dictamnine-4-(2,3,4-trimethoxy)-benzoic acid"" M+H"	COC1=CC(=CC(OC)=C1OC)C(=O)OC2=C(OC)C3=C(C=C2)C(OC)=C4C=COC4=N3	0			1+	NA	440.135
CCMSLIB00000078689	NCGC00160322-01!DESMOTROPOSANTONIN M+H	C[C@H]1[C@@H]2CCC3=C([C@H]2OC1=O)C(C)=C(O)C=C3C	0			1+	NA	247.133
CCMSLIB00000078690	NCGC00015959-03!SANGUINARINE M+H	C[N+]1=CC(C3=C5OCO3)=C(C=C5)C(C=C4)=C1C2=C4C=C6C(OCO6)=C2	0			1+	NA	332.092
