spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00010129725	Imeglimin M+H	C[C@@H]1N=C(N)NC(N(C)C)=N1	0			0+	NA	156.124
CCMSLIB00010129726	Imeglimin M+H	C[C@@H]1N=C(N)NC(N(C)C)=N1	0			0+	NA	156.124
CCMSLIB00010129727	Imeglimin M+H	C[C@@H]1N=C(N)NC(N(C)C)=N1	0			0+	NA	156.124
CCMSLIB00010129728	Imeglimin M+H	C[C@@H]1N=C(N)NC(N(C)C)=N1	0			0+	NA	156.124
CCMSLIB00010129729	Imeglimin M+H	C[C@@H]1N=C(N)NC(N(C)C)=N1	0			0+	NA	156.124
CCMSLIB00010129730	1800405-30-4 M+H	CC(C)c1nc2c([nH]1)C(=O)C(=O)c1ccccc1-2	0			1+	NA	241.097
CCMSLIB00010129731	1800405-30-4 M+H	CC(C)c1nc2c([nH]1)C(=O)C(=O)c1ccccc1-2	0			1+	NA	241.097
CCMSLIB00010129732	1800405-30-4 M+H	CC(C)c1nc2c([nH]1)C(=O)C(=O)c1ccccc1-2	0			1+	NA	241.097
CCMSLIB00010129733	1800405-30-4 M+H	CC(C)c1nc2c([nH]1)C(=O)C(=O)c1ccccc1-2	0			1+	NA	241.097
CCMSLIB00010129734	1800405-30-4 (Chimeric precursor selection) M+H	CC(C)c1nc2c([nH]1)C(=O)C(=O)c1ccccc1-2	0			1+	NA	241.097
CCMSLIB00010129735	1800405-30-4 M+H	CC(C)c1nc2c([nH]1)C(=O)C(=O)c1ccccc1-2	0			1+	NA	241.097
CCMSLIB00010129736	1800405-30-4 M+H	CC(C)c1nc2c([nH]1)C(=O)C(=O)c1ccccc1-2	0			1+	NA	241.097
CCMSLIB00010129737	Dienogest M+H	C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N	0			1+	NA	312.196
CCMSLIB00010129738	Dienogest M+H	C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N	0			1+	NA	312.196
CCMSLIB00010129739	Dienogest M+H	C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N	0			1+	NA	312.196
CCMSLIB00010129740	Dienogest M+H	C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N	0			1+	NA	312.196
CCMSLIB00010129741	Dienogest M+H	C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N	0			1+	NA	312.196
CCMSLIB00010129742	glimepiride M+H	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O	0			1+	NA	491.232
CCMSLIB00010129743	glimepiride M+H	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O	0			1+	NA	491.232
CCMSLIB00010129744	glimepiride M+H	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O	0			1+	NA	491.232
CCMSLIB00010129745	glimepiride M+H	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O	0			1+	NA	491.232
CCMSLIB00010129746	glimepiride M+H	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O	0			1+	NA	491.232
CCMSLIB00010129747	glimepiride M+H	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O	0			1+	NA	491.232
CCMSLIB00010129748	glimepiride M+H	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O	0			1+	NA	491.232
CCMSLIB00010129749	glimepiride M+H	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O	0			1+	NA	491.232
CCMSLIB00010129750	RO4987655 M+H	O=C(NOCCO)c1c(Nc2c(F)cc(I)cc2)c(F)c(F)c(CN2OCCCC2=O)c1	0			1+	NA	566.039
CCMSLIB00010129751	RO4987655 M+H	O=C(NOCCO)c1c(Nc2c(F)cc(I)cc2)c(F)c(F)c(CN2OCCCC2=O)c1	0			1+	NA	566.039
CCMSLIB00010129752	RO4987655 M+H	O=C(NOCCO)c1c(Nc2c(F)cc(I)cc2)c(F)c(F)c(CN2OCCCC2=O)c1	0			1+	NA	566.039
CCMSLIB00010129753	RO4987655 M+H	O=C(NOCCO)c1c(Nc2c(F)cc(I)cc2)c(F)c(F)c(CN2OCCCC2=O)c1	0			1+	NA	566.039
CCMSLIB00010129754	RO4987655 M+H	O=C(NOCCO)c1c(Nc2c(F)cc(I)cc2)c(F)c(F)c(CN2OCCCC2=O)c1	0			1+	NA	566.039
CCMSLIB00010129755	RO4987655 M+H	O=C(NOCCO)c1c(Nc2c(F)cc(I)cc2)c(F)c(F)c(CN2OCCCC2=O)c1	0			1+	NA	566.039
CCMSLIB00010129756	RO4987655 M+H	O=C(NOCCO)c1c(Nc2c(F)cc(I)cc2)c(F)c(F)c(CN2OCCCC2=O)c1	0			1+	NA	566.039
CCMSLIB00010129757	RO4987655 M+H	O=C(NOCCO)c1c(Nc2c(F)cc(I)cc2)c(F)c(F)c(CN2OCCCC2=O)c1	0			1+	NA	566.039
CCMSLIB00010129758	Icotinib M+H	C#Cc1cc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)ccc1	0			1+	NA	392.16
CCMSLIB00010129759	Icotinib M+H	C#Cc1cc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)ccc1	0			1+	NA	392.16
CCMSLIB00010129760	Icotinib M+H	C#Cc1cc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)ccc1	0			1+	NA	392.16
CCMSLIB00010129761	Icotinib M+H	C#Cc1cc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)ccc1	0			1+	NA	392.16
CCMSLIB00010129762	Icotinib M+H	C#Cc1cc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)ccc1	0			1+	NA	392.16
CCMSLIB00010129763	Icotinib M+H	C#Cc1cc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)ccc1	0			1+	NA	392.16
CCMSLIB00010129764	Icotinib M+H	C#Cc1cc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)ccc1	0			1+	NA	392.16
CCMSLIB00010129765	Icotinib M+H	C#Cc1cc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)ccc1	0			1+	NA	392.16
CCMSLIB00010129766	QUISINOSTAT M+H	Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21	0			1+	NA	395.219
CCMSLIB00010129767	QUISINOSTAT M+H	Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21	0			1+	NA	395.219
CCMSLIB00010129768	QUISINOSTAT (Chimeric precursor selection) M+H	Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21	0			1+	NA	395.219
CCMSLIB00010129769	QUISINOSTAT (Chimeric precursor selection) M+H	Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21	0			1+	NA	395.219
CCMSLIB00010129770	QUISINOSTAT (Chimeric precursor selection) M+H	Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21	0			1+	NA	395.219
CCMSLIB00010129771	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129772	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129773	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129774	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129775	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129776	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129777	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129778	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129779	Azilsartan medoxomil M+H	CCOc1nc2cccc(C(=O)OCc3c(C)oc(=O)o3)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	0			1+	NA	569.167
CCMSLIB00010129780	Tesevatinib M+H	COc1c(OCC2C[C@@H]3CN(C)C[C@@H]3C2)cc2ncnc(Nc3c(F)c(Cl)c(Cl)cc3)c2c1	0			1+	NA	491.141
CCMSLIB00010129781	Tesevatinib M+H	COc1c(OCC2C[C@@H]3CN(C)C[C@@H]3C2)cc2ncnc(Nc3c(F)c(Cl)c(Cl)cc3)c2c1	0			1+	NA	491.141
CCMSLIB00010129782	Tesevatinib M+H	COc1c(OCC2C[C@@H]3CN(C)C[C@@H]3C2)cc2ncnc(Nc3c(F)c(Cl)c(Cl)cc3)c2c1	0			1+	NA	491.141
