spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00004722107	MMV553002 M-H	CS(=O)(=O)CC1=Nc2ccccc2OC1=O	0			1+	NA	238.02
CCMSLIB00004722108	MMV188296 M-H	CNC(=O)C1Cc2ccccc2N1C(=O)Cc3ccc(F)cc3	0			1+	NA	311.121
CCMSLIB00004722109	MMV690028 M-H	COC1=C(OCCCCOC2=CC=C(C3=NNN=N3)C=C2)C=C(C4=NN(C5CCCCCC5)C(C4(C)C)=O)C=C1	0			1+	NA	545.292
CCMSLIB00004722110	MMV688798 M-H	CS(=O)(=O)c1ccccc1C(=O)N(Cc2ccccc2)c3ccccc3	0			1+	NA	364.101
CCMSLIB00004722111	MMV676539 M-H	O=C(NCCc1c[nH]c2ccccc12)C3=Cc4ccccc4OC3=O	0			1+	NA	331.11
CCMSLIB00004722112	MMV676526 M-H	COc1ccc(cc1)c2cc(NC(=O)c3ccc(F)cc3Cl)ccc2OC	0			1+	NA	384.084
CCMSLIB00004722113	MMV053220 M-H	NC(=O)COc1ccc(cc1)c2ccc(cc2)C#N	0			1+	NA	251.083
CCMSLIB00004722114	MMV676476 M-H	CC1=C(CCC(=O)O)C(=O)Oc2c(C)c(OCc3cc(C)cc(C)c3)ccc12	0			1+	NA	379.156
CCMSLIB00004722115	MMV202458 M-H	COc1ccc(OC(C)C(=O)Nc2ccc(Cl)cc2C)cc1	0			1+	NA	318.092
CCMSLIB00004722116	MMV676431 M-H	Cc1ccc(NC(=O)CC2COc3ccccc3O2)cc1Cl	0			1+	NA	316.075
CCMSLIB00004722117	MMV676379 M-H	COc1cccc(OCC(=O)c2ccc(Br)cc2)c1	0			1+	NA	318.996
CCMSLIB00004722118	MMV690027 M-H	COC1=C(OCCCCOC2=CC=C(C3=NNN=N3)C=C2)C=C(C([C@@H]4[C@H]5CC=CC4)=NN(C6CCCCCC6)C5=O)C=C1	0			1+	NA	583.3
CCMSLIB00004722119	MMV019189 M-H	Cc1ccc2c(NC(=O)C23NN=C(S3)c4ccccc4)c1C	0			1+	NA	308.085
CCMSLIB00004722120	MMV687800 M-H	CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5	0			1+	NA	471.119
CCMSLIB00004722121	MMV020321 M-H	COc1ccccc1C(C)NCC(=O)Nc2cc(ccc2Cl)C(F)(F)F	0			1+	NA	385.097
CCMSLIB00004722122	MMV006239 M-H	Brc1ccc2NC(=O)C3(NCCc4c3[nH]c5ccccc45)c2c1	0			1+	NA	366.026
CCMSLIB00004722123	MMV020591 M-H	CC(C)C(NC(=O)Cc1cccc2ccccc12)C(=O)Nc3cccc(c3)C#N	0			1+	NA	384.175
CCMSLIB00004722124	MMV020512 M-H	Cc1ccc(Oc2ccc(NC(=O)CNc3ccccc3N4CCCC4=O)cc2)cc1	0			1+	NA	414.184
CCMSLIB00004722125	MMV085210 M-H	Clc1ccc(cc1)S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N4CCCCC4	0			1+	NA	444.119
CCMSLIB00004722126	MMV676053 M-H	COc1cc(NC(=O)CC2=NN(C)C(=O)c3ccccc23)ccc1Cl	0			1+	NA	356.084
CCMSLIB00004722127	MMV676191 M-H	CC(C)C(Oc1cccc2ccccc12)C(=O)O	0			1+	NA	243.104
CCMSLIB00004722128	MMV688179 M-H	NC(=N)Nc1ccc(c(Cl)c1)c2oc(cc2)c3ccc(NC(=N)N)cc3Cl	0			1+	NA	401.07
CCMSLIB00004722129	MMV687146 M-H	Cc1cc(C)c2cc([nH]c2c1)C(=O)NC3CCCCCCC3	0			1+	NA	297.198
CCMSLIB00004722130	MMV688125 M-H	CCCc1ccc(cc1)S(=O)(=O)Nc2ccc(CN3CCN(CC4CC4)CC3)cc2	0			1+	NA	426.223
CCMSLIB00004722131	MMV1198433 M-H	CC(C)c1ccc(NC(=O)COC2=CC(=C(C#N)C(=O)N2C)C)cc1	0			1+	NA	338.151
CCMSLIB00004722132	MMV687807 M-H	Oc1ccc(Cl)cc1C(=O)Nc2ccc(c(c2)C(F)(F)F)C(F)(F)F	0			1+	NA	382.009
CCMSLIB00004722133	MMV689061 M-H	CC1=C(F)C=CC=C1CN2CCCC(CC3=NC(C4=CC=C(NC(C)=O)C=C4)=NO3)C2	0			1+	NA	421.205
CCMSLIB00004722134	MMV688124 M-H	CCc1ccc(cc1)S(=O)(=O)Nc2cc(CN3CCN(CCC(C)C)CC3)ccc2C	0			1+	NA	442.253
CCMSLIB00004722135	MMV689709 M-H	O=C(N1CC(C2=CC(NC)=CC(C)=N2)OCC1)C3=NNC4=C3C=CC=C4	0			1+	NA	350.162
