spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00006680154	IS_N-BENZOYL-D5-GLYCINE M+H	N/A	0			1+	NA	185.097
CCMSLIB00006680155	METHYL VIOLOGEN M+H	N/A	0			1+	NA	257.061
CCMSLIB00006680156	1-METHYLGUANIDINE M+H	CNC(=N)N	0			1+	NA	74.0713
CCMSLIB00006680157	METHYL VIOLOGEN M+H	N/A	0			1+	NA	257.061
CCMSLIB00006680158	IS_N-BENZOYL-D5-GLYCINE M+H	N/A	0			1+	NA	185.097
CCMSLIB00006680159	1-METHYLGUANIDINE M+H	CNC(=N)N	0			1+	NA	74.0713
CCMSLIB00006680160	IS_CARNITINE-TRIMETHYL-D9 M	N/A	0			1+	NA	171.169
CCMSLIB00006680161	THIOUREA M+H	C(=N)(N)S	0			1+	NA	77.0168
CCMSLIB00006680162	METHYL VIOLOGEN M+H	N/A	0			1+	NA	257.061
CCMSLIB00006680163	IS_CARNITINE-TRIMETHYL-D9 M	N/A	0			1+	NA	171.169
CCMSLIB00006680164	IS_CARNITINE-TRIMETHYL-D9 M	N/A	0			1+	NA	171.169
CCMSLIB00006680165	METHYL VIOLOGEN M+H	N/A	0			1+	NA	257.061
CCMSLIB00006680166	METHYL VIOLOGEN M+H	N/A	0			1+	NA	257.061
CCMSLIB00006680167	IS_N-BENZOYL-D5-GLYCINE M+H	N/A	0			1+	NA	185.097
CCMSLIB00006680168	METHYL VIOLOGEN M+H	N/A	0			1+	NA	257.061
CCMSLIB00006680169	THIOUREA M+H	C(=N)(N)S	0			1+	NA	77.0168
CCMSLIB00006680170	THIOUREA M+H	C(=N)(N)S	0			1+	NA	77.0168
CCMSLIB00006680171	IS_N-BENZOYL-D5-GLYCINE M-H	N/A	0			1+	NA	183.082
CCMSLIB00006680172	THIOUREA M+H	C(=N)(N)S	0			1+	NA	77.0168
CCMSLIB00006680173	THIOUREA M+H	C(=N)(N)S	0			1+	NA	77.0168
CCMSLIB00006680174	IS_CARNITINE-TRIMETHYL-D9 M	N/A	0			1+	NA	171.169
CCMSLIB00006680175	IS_N-BENZOYL-D5-GLYCINE M-H	N/A	0			1+	NA	183.082
CCMSLIB00006680176	"""1,3-DIAMINOPROPANE"" M+H"	C(CN)CN	0			1+	NA	75.0917
CCMSLIB00006680177	THIOUREA M+H	C(=N)(N)S	0			1+	NA	77.0168
CCMSLIB00006680178	IS_CARNITINE-TRIMETHYL-D9 M	N/A	0			1+	NA	171.169
CCMSLIB00006680179	IS_CARNITINE-TRIMETHYL-D9 M	N/A	0			1+	NA	171.169
CCMSLIB00006680180	2-AMINOBUTYRIC ACID M+H	CCC(C(=O)O)N	0			1+	NA	104.071
CCMSLIB00006680181	ADIPIC ACID M+Na	C(CCC(=O)O)CC(=O)O	0			1+	NA	169.047
CCMSLIB00006680182	"""N,N-DIMETHYLGLYCINE"" M+H"	CN(C)CC(=O)O	0			1+	NA	104.071
CCMSLIB00006680183	CREATININE M+H	CN1CC(=NC1=N)O	0			1+	NA	114.066
CCMSLIB00006680184	TRIMETHYLAMINE N-OXIDE M+H	CN(=O)(C)C	0			1+	NA	76.0757
CCMSLIB00006680185	IS_D15-OCTANOIC ACID M+H	CCCCCCCC(=O)O	0			1+	NA	160.216
CCMSLIB00006680186	SUCCINIC ACID M-H	C(CC(=O)O)C(=O)O	0			1+	NA	117.019
CCMSLIB00006680187	ERYTHRITOL M-H	C([C@@H]([C@@H](CO)O)O)O	0			1+	NA	121.051
CCMSLIB00006680188	PHOSPHONOACETIC ACID M-H	C(C(=O)O)P(=O)(O)O	0			1+	NA	138.98
CCMSLIB00006680189	2-HYDROXYBUTYRIC ACID M-H	CC[C@@H](C(=O)O)O	0			1+	NA	103.04
CCMSLIB00006680190	ALANINE M-H	C[C@@H](C(=O)O)N	0			1+	NA	88.0404
CCMSLIB00006680191	3-HYDROXYINDOLE M-H	C1=CC2=C(C=C1)NC=C2O	0			1+	NA	132.045
CCMSLIB00006680192	LEVULINIC ACID M-H	CC(=O)CCC(=O)O	0			1+	NA	115.04
CCMSLIB00006680193	GLUTARIC ACID M-H	C(CC(=O)O)CC(=O)O	0			1+	NA	131.035
CCMSLIB00006680194	DIETHANOLAMINE M+H	C(CO)NCCO	0			1+	NA	106.086
CCMSLIB00006680195	ACRYLAMIDE M+H	C=CC(=N)O	0			1+	NA	72.0444
CCMSLIB00006680196	1-METHYLGUANIDINE M+H	CNC(=N)N	0			1+	NA	74.0713
CCMSLIB00006680197	(2-AMINOETHYL)PHOSPHONATE M+H	C(CP(=O)(O)O)N	0			1+	NA	126.031
