cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:mock	ATTRIBUTE_treatment:GNPSGROUP:untreated	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_phase:GNPSGROUP:inf_1	ATTRIBUTE_phase:GNPSGROUP:inf_2	ATTRIBUTE_phase:GNPSGROUP:nan	ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp	component	#Scan#	Compound_Name
1	283.0699158616697	0.47480375	0	0.0	1138792.1	0	0.0	759194.7333333334	0	0.0	0.0	0.0	0.0	0.0	2277584.2	0	0	0.0	122	1.0	ipriflavone
2	262.0914899351369	0.4926713	0	0.0	386286.78	0	0.0	257524.52	0	0.0	0.0	0.0	0.0	0.0	772573.56	0	0	0.0	-1		
3	216.9228362536939	0.49590462	0	0.0	232259.1	0	0.0	154839.4	0	0.0	0.0	0.0	0.0	0.0	464518.2	0	0	0.0	210		
4	240.1091082577922	0.5079962	0	0.0	1526310.4	0	0.0	1017540.2666666666	0	0.0	0.0	0.0	0.0	0.0	3052620.8	0	0	0.0	-1		
5	283.14343543693377	0.49590462	0	0.0	610304.2	0	0.0	406869.4666666666	0	0.0	0.0	0.0	0.0	0.0	1220608.4	0	0	0.0	122		
6	297.15911784238773	0.49590462	0	0.0	431474.35	0	0.0	287649.56666666665	0	0.0	0.0	0.0	0.0	0.0	862948.7	0	0	0.0	-1		
7	261.0880913964739	0.50139207	0	0.0	4682639.0	0	0.0	3121759.333333333	0	0.0	0.0	0.0	0.0	0.0	9365278.0	0	0	0.0	220		
8	140.06825188689146	0.5029394	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1419478.4	-1		
9	239.10613979655943	0.5052293	0	0.0	17646318.0	0	0.0	11764212.0	0	0.0	0.0	0.0	0.0	0.0	35292636.0	0	0	0.0	-1	9.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14
10	258.11031362083867	0.50690347	0	0.0	540354.8	0	0.0	360236.5333333334	0	0.0	0.0	0.0	0.0	0.0	1080709.6	0	0	0.0	-1	10.0	GLYCERO-3-PHOSPHOCHOLINE
11	120.1021469322452	0.5135076	0	0.0	407535.875	0	0.0	271690.5833333333	0	0.0	0.0	0.0	0.0	0.0	815071.75	0	0	0.0	-1		
12	138.05504492299153	0.5181438	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	-1	12.0	
13	137.0459120903909	0.5202596	0	0.0	489526.03	0	0.0	326350.6866666667	0	0.0	0.0	0.0	0.0	0.0	979052.06	0	0	0.0	-1		
14	162.11255694742133	0.5202596	0	0.0	719370.55	0	0.0	479580.3666666667	0	0.0	0.0	0.0	0.0	0.0	1438741.1	0	0	0.0	-1	14.0	L-Carnitine
15	204.123223215884	0.5290006	0	312594.15	1506133.25	0	0.0	1212484.933333333	0	0.0	0.0	0.0	625188.3	0.0	3012266.5	0	0	0.0	243	15.0	O-ACETYLCARNITINE
