formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C9H21ClN2O3SSi	[M - H2O + H]+	C9H20ClN2O2SSi+	Amino acids and Peptides	0.316	Small peptides	0.334	N-acyl amines	0.107	Lipids and lipid-like molecules	0.512	Fatty Acyls	0.561					Fatty Acyls	0.561	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Sulfonyls; Organochlorides; Carbonyl compounds; Alkyl halides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283.070	29	0.475	847477418242078152	847477215023845812	847477214998679987	1	
1	C9H16O4Si2	[M + H3N + H]+	C9H20NO4Si2+	Fatty acids	0.806	Fatty Acids and Conjugates	0.641	Halogenated fatty acids	0.492	Lipids and lipid-like molecules	0.580							Lipids and lipid-like molecules	0.580	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	262.091	30	0.493	847477409987687071	847477215208395192	847477215204200887	2	
1	C9H24N4O5S	[M - H2O + H]+	C9H23N4O4S+	Amino acids and Peptides	0.987	Small peptides	0.975	Aminoacids	0.692	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.910	Amino acids, peptides, and analogues	0.870	Amino acids and derivatives	0.867	Alpha amino acids	0.852	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; N-acyl amines; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283.143	30	0.495	847477410818159380	847477215514579396	847477215510385091	5	
1	C10H26N4O5S	[M - H2O + H]+	C10H25N4O4S+	Amino acids and Peptides	0.917	Small peptides	0.802	Polyamines	0.198	Organic acids and derivatives	0.948	Carboxylic acids and derivatives	0.782	Amino acids, peptides, and analogues	0.818	Amino acids and derivatives	0.814	Alpha amino acids	0.651	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.159	30	0.495	847477413464765345	847477215590076872	847477215585882567	6	
1	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	Alkaloids	0.108	Small peptides	0.003	Sphingoid bases	0.030	Organoheterocyclic compounds	0.981	Diazinanes	0.996	Piperazines	0.997	N-alkylpiperazines	0.997	N-alkylpiperazines	0.997	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Diazinanes; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.088	30	0.501	847477412332303182	847477215669768652	847477215665574347	7	
1	C5H11NO2	[M + Na]+	C5H11NNaO2+	Amino acids and Peptides	0.975	Small peptides	0.980	Aminoacids	0.969	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.918	Amino acids and derivatives	0.917	Alpha amino acids and derivatives	0.752	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Primary amines; Methyl esters; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	140.068	30	0.503	847477428509735489	847477215736877520	847477215732683215	8	
1	C8H20N2O5S	[M - H2O + H]+	C8H19N2O4S+	Fatty acids	0.237	Spingolipids	0.008	Sphingoid bases	0.134	Organoheterocyclic compounds	0.065	Diazinanes	0.947	Piperazines	0.964	N-alkylpiperazines	0.968	N-alkylpiperazines	0.968	Organic compounds; Organosulfur compounds; Alcohols and polyols; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Diazinanes; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239.106	30	0.505	847477410201596594	847477215808180692	847477215808180691	9	
1	C9H15N5O4	[M - H2O + H]+	C9H14N5O3+	Carbohydrates	0.841	Nucleosides	0.685	Purine nucleosides	0.528	Organoheterocyclic compounds	0.982	Imidazopyrimidines	0.975	Purines and purine derivatives	0.975	Xanthines	0.590	Xanthines	0.590	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Primary alcohols; Pyrimidones; Organooxygen compounds; Azoles; Ureas; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Alkanolamines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	240.109	30	0.508	847477408360296944	847477215430693312	847477215426499007	4	
1	C9H17ClO5	[M + H3N + H]+	C9H21ClNO5+	Fatty acids	0.691	Fatty Acids and Conjugates	0.308	Halogenated fatty acids	0.201	Lipids and lipid-like molecules	0.545							Lipids and lipid-like molecules	0.545	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Carboxylic acid derivatives; Carboxylic acid esters; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	258.110	30	0.508	847477413187941254	847477215879483864	847477215875289559	10	
1	C5H10O2	[M + H3N + H]+	C5H14NO2+	Fatty acids	0.976	Fatty acyls	0.782	Fatty alcohols	0.573	Organic oxygen compounds	0.999	Organooxygen compounds	0.998	Alcohols and polyols	0.666			Alcohols and polyols	0.666	Organic compounds; Alcohols and polyols; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	120.102	31	0.509	847477404514119852	847477215942398428	847477215942398427	11	
