formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C9H21ClN2O3SSi	[M - H2O + H]+	C9H20ClN2O2SSi+	0.205	0.181	14.250	14.250	0.000	9	0.153	1.040	1.687	-63625.336		283.070	29	0.475	847477418242078152	847477215023845812	847477214998679987	1	
1	C9H16O4Si2	[M + H3N + H]+	C9H20NO4Si2+	0.373	0.318	35.162	35.162	0.000	12	0.165	0.628	0.733	-3.997		262.091	30	0.493	847477409987687071	847477215208395192	847477215204200887	2	
1	C9H24N4O5S	[M - H2O + H]+	C9H23N4O4S+	0.402	0.333	66.678	66.678	0.000	24	0.701	0.602	0.733	-63609.300		283.143	30	0.495	847477410818159380	847477215514579396	847477215510385091	5	
1	C10H26N4O5S	[M - H2O + H]+	C10H25N4O4S+	0.418	0.333	101.477	101.477	0.000	29	0.711	0.615	0.746	-60609.048		297.159	30	0.495	847477413464765345	847477215590076872	847477215585882567	6	
1	C6H4N2Se	[M + K]+	C6H4KN2Se+	0.143	0.111	0.302	0.302	0.000	0	0.000	-1.063	1.063	-1.188		216.923	30	0.497	847477414941160509	847477215300669884	847477215296475579	3	
1	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	1.000	0.998	32.819	28.148	4.671	9	0.411	0.818	0.881	0.541		261.088	30	0.501	847477412332303182	847477215669768652	847477215665574347	7	
1	C5H11NO2	[M + Na]+	C5H11NNaO2+	0.999	1.000	13.331	13.331	0.000	3	0.094	7.912	7.912	0.362		140.068	30	0.503	847477428509735489	847477215736877520	847477215732683215	8	
1	C8H20N2O5S	[M - H2O + H]+	C8H19N2O4S+	0.476	0.333	45.103	39.709	5.394	21	0.799	2.149	2.149	-75323.993		239.106	30	0.505	847477410201596594	847477215808180692	847477215808180691	9	
1	C9H15N5O4	[M - H2O + H]+	C9H14N5O3+	0.664	0.323	28.823	27.307	1.516	6	0.365	5.746	5.746	-75009.942		240.109	30	0.508	847477408360296944	847477215430693312	847477215426499007	4	
1	C9H17ClO5	[M + H3N + H]+	C9H21ClNO5+	0.930	0.124	108.856	108.856	0.000	20	0.181	0.733	0.768	0.109		258.110	30	0.508	847477413187941254	847477215879483864	847477215875289559	10	
1	C5H10O2	[M + H3N + H]+	C5H14NO2+	0.831	0.500	55.202	55.202	0.000	7	0.937	7.305	7.305	2.039		120.102	31	0.509	847477404514119852	847477215942398428	847477215942398427	11	
1	C7H4O2	[M + H3N + H]+	C7H8NO2+	0.995	0.333	55.063	55.063	0.000	7	0.611	5.296	5.296	0.616		138.055	31	0.518	847477408368685575	847477216009507296	847477216009507295	12	
1	C7H12O3	[M + H3N + H]+	C7H16NO3+	0.719	0.333	54.674	51.614	3.060	8	0.850	4.367	4.367	0.556		162.113	31	0.520	847477404937744562	847477216139530728	847477216135336423	14	
1	C5HN3O	[M + H3N + H]+	C5H5N4O+	0.343	0.333	18.795	18.795	0.000	2	0.261	3.443	3.443	0.896		137.046	31	0.520	847477406187647219	847477216072421860	847477216068227555	13	
1	C8H13NO4S	[M - H2O + H]+	C8H12NO3S+	0.341	0.333	11.778	11.778	0.000	6	0.031	3.635	3.635	-89137.128		202.053	32	0.527	847477408087667163	847477216256971248	847477216252776943	16	
1	C9H14O4	[M + H3N + H]+	C9H18NO4+	0.525	0.333	50.894	47.584	3.310	10	0.993	0.884	0.884	0.909		204.123	32	0.529	847477406305087766	847477216198250988	847477216198250987	15	
1	C10H22N6O6	[M - H2O + H]+	C10H21N6O5+	0.394	0.333	80.263	80.263	0.000	30	0.558	0.749	0.766	-59019.803		305.157	32	0.529	847477418514707987	847477216361828856	847477216361828855	18	
1	C8H18N6O5	[M - H2O + H]+	C8H17N6O4+	0.345	0.282	33.878	31.353	2.525	9	0.434	2.804	2.804	-68970.258		261.131	32	0.533	847477409031385702	847477216483463680	847477216479269375	20	
1	C9H15NO2	[M + H3N + H]+	C9H19N2O2+	1.000	0.333	84.095	84.095	0.000	20	0.376	0.873	0.873	0.672		187.144	32	0.533	847477425926043864	847477216311497204	847477216307302899	17	
1	C11H19NO3	[M + H3N + H]+	C11H23N2O3+	1.000	0.333	183.875	183.875	0.000	36	0.687	0.669	0.669	0.221		231.170	32	0.535	847477410423894762	847477216923865632	847477216919671327	28	
1	C10H17NO4	[M + Na]+	C10H17NNaO4+	1.000	1.000	123.893	123.893	0.000	30	0.735	0.764	0.777	0.509		238.105	32	0.535	847477409727640198	847477216592515592	847477216592515591	22	
1	C10H22O5	[M + H3N + H]+	C10H26NO5+	1.000	0.022	73.137	73.137	0.000	10	0.150	0.473	0.527	-0.310		240.180	32	0.536	847477406217007369	847477216873533980	847477216873533979	27	
1	C9H18N2O2	[M + Na]+	C9H18N2NaO2+	1.000	1.000	152.199	152.199	0.000	28	0.611	0.785	0.873	0.987		209.126	32	0.536	847477455005156769	847477216420549116	847477216420549115	19	
1	C8H12O3	[M + H3N + H]+	C8H16NO3+	1.000	0.333	157.822	154.692	3.131	26	0.833	6.488	6.488	0.403		174.113	32	0.538	847477406326059320	847477216714150416	847477216714150415	24	
1	C8H18O4	[M + H3N + H]+	C8H22NO4+	1.000	1.000	52.243	52.243	0.000	9	0.161	0.748	0.748	0.129		196.154	32	0.538	847477404711252141	847477216823202328	847477216823202327	26	
1	C13H25NO4	[M + H3N + H]+	C13H29N2O4+	1.000	0.333	166.900	166.900	0.000	34	0.668	0.614	0.657	-0.050		277.212	32	0.540	847477415947793661	847477216772870676	847477216772870675	25	
