structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	3	0.012	0.012	-101.389	0.173	0.181	14.250	C9H16ClNO2SSi	[M + H3N + H]+	C9H20ClN2O2SSi+	BUARKVUIBBYSAZ	InChI=1S/C9H16ClNO2SSi/c1-5-14-9(15(2,3)4)8(10)6-7-11(12)13/h6-7H,5H2,1-4H3	[(1Z,3E)-2-chloro-1-ethylsulfanyl-4-nitrobuta-1,3-dienyl]-trimethylsilane	CCSC(=C(C=C[N+](=O)[O-])Cl)[Si](C)(C)C	4.069	23272305	PUBCHEM:(23272305)	2	283.070	29	0.475	847477418242078151	847477215023845812	847477214998679987	1	
1	1	0.005	0.005	-58.301	0.373	0.318	35.162	C9H16O4Si2	[M + H3N + H]+	C9H20NO4Si2+	GVGCXZISEASNDX	InChI=1S/C9H16O4Si2/c1-10-8(11-2)5-14-7-15-6-9(12-3)13-4/h5-6H,7H2,1-4H3		COC(=C[Si]C[Si]C=C(OC)OC)OC	1.766	87220872	PUBCHEM:(87220872)	2	262.091	30	0.493	847477409987687071	847477215208395192	847477215204200887	2	
1	3	0.013	0.013	-313.697	0.266	0.333	66.678	C9H19N3O4S	[M + H3N + H]+	C9H23N4O4S+	ITCNSJCDIXSYGU	InChI=1S/C9H19N3O4S/c1-9(2,3)16-8(13)11-4-6-12(7-5-11)17(10,14)15/h4-7H2,1-3H3,(H2,10,14,15)	tert-Butyl 4-sulfamoylpiperazine-1-carboxylate	CC(C)(C)OC(=O)N1CCN(CC1)S(=O)(=O)N	-0.500	53628347	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(53628347);DSSTox:(DTXSID40705502)	137506062338	283.143	30	0.495	847477410818159379	847477215514579396	847477215510385091	5	
1	3	0.019	0.019	-189.232	0.263	0.333	101.477	C10H21N3O4S	[M + H3N + H]+	C10H25N4O4S+	IQTUSUHEIOWQKD	InChI=1S/C10H21N3O4S/c1-2-5-12-10(15)8-18(16,17)7-3-9(14)13-6-4-11/h2-8,11H2,1H3,(H,12,15)(H,13,14)	N-(2-aminoethyl)-3-[2-oxo-2-(propylamino)ethyl]sulfonylpropanamide	CCCNC(=O)CS(=O)(=O)CCC(=O)NCCN	-1.900	82182769	PUBCHEM:(82182769)	2	297.159	30	0.495	847477413464765344	847477215590076872	847477215585882567	6	
1	1	0.745	0.751	-16.974	1.000	0.998	32.819	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	JKMHFZQWWAIEOD	InChI=1S/C8H18N2O4S/c11-7-5-9-1-3-10(4-2-9)6-8-15(12,13)14/h11H,1-8H2,(H,12,13,14)	Hepes	C1CN(CCN1CCO)CCS(=O)(=O)O	-4.000	4099749;87826964;3275884;90874349;23830;23831;3725082;71309498;24941255	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0062295);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23831);SUPERNATURAL:(SN0167890);MESH:(23831);PUBCHEM:(4099749 87826964 3275884 90874349 23830 23831 3725082 71309498 24941255);COCONUT:(CNP0212794);NORMAN:(NS00004939);METACYC:(HEPES);CHEBI:(46757 46758 46755 42334);DSSTox:(DTXSID00635730 DTXSID4044458 DTXSID5040382 DTXSID90859665);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998318	261.088	30	0.501	847477412332303182	847477215669768652	847477215665574347	7	
1	1	0.197	0.335	-75.993	0.999	1.000	13.331	C5H11NO2	[M + Na]+	C5H11NNaO2+	LRZFEBJUJIQVDQ	InChI=1S/C5H11NO2/c1-6(2)4-5(7)8-3/h4H2,1-3H3	methyl 2-(dimethylamino)acetate	CN(C)CC(=O)OC	0.200	6993637;10772964;81569	COCONUT:(CNP0318263);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0213799);LotusExpanded;PUBCHEM:(6993637 10772964 81569);DSSTox:(DTXSID60221693)	146099142658	140.068	30	0.503	847477428509735489	847477215736877520	847477215732683215	8	
1	2	0.895	0.920	-8.720	0.456	0.333	45.103	C8H18N2O4S	[M + H]+	C8H19N2O4S+	JKMHFZQWWAIEOD	InChI=1S/C8H18N2O4S/c11-7-5-9-1-3-10(4-2-9)6-8-15(12,13)14/h11H,1-8H2,(H,12,13,14)	Hepes	C1CN(CCN1CCO)CCS(=O)(=O)O	-4.000	4099749;87826964;3275884;90874349;23830;23831;3725082;71309498;24941255	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0062295);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23831);SUPERNATURAL:(SN0167890);MESH:(23831);PUBCHEM:(4099749 87826964 3275884 90874349 23830 23831 3725082 71309498 24941255);COCONUT:(CNP0212794);NORMAN:(NS00004939);METACYC:(HEPES);CHEBI:(46757 46758 46755 42334);DSSTox:(DTXSID00635730 DTXSID4044458 DTXSID5040382 DTXSID90859665);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998318	239.106	30	0.505	847477410201596592	847477215808180692	847477215808180691	9	
1	2	0.159	0.159	-95.421	0.200	0.323	28.823	C9H13N5O3	[M + H]+	C9H14N5O3+	WJAUQIMFNXKELG	InChI=1S/C9H13N5O3/c1-10-8-11-6-5(14(8)3-4-15)7(16)12-9(17)13(6)2/h15H,3-4H2,1-2H3,(H,10,11)(H,12,16,17)	7-(2-hydroxyethyl)-3-methyl-8-(methylamino)-1H-purine-2,6(3H,7H)-dione	CNC1=NC2=C(N1CCO)C(=O)NC(=O)N2C	-1.000	941388	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(941388)	67108866	240.109	30	0.508	847477408360296942	847477215430693312	847477215426499007	4	
1	2	0.025	0.025	-151.700	0.059	0.734	110.633	C10H21NO4	[M + K]+	C10H21KNO4+	DJODATOGFCFXID	InChI=1S/C10H21NO4/c11-5-3-8-14-6-1-2-7-15-9-4-10(12)13/h1-9,11H2,(H,12,13)		C(CCOCCC(=O)O)COCCCN	-0.064		NORMAN:(NS00102775)	262144	258.110	30	0.508	847477413187941252	847477215879483864	847477215875289559	10	
1	2	0.750	0.821	-18.548	0.169	0.500	55.202	C5H13NO2	[M + H]+	C5H14NO2+	IFPJFPROEPHIMI	InChI=1S/C5H13NO2/c7-4-1-2-6-3-5-8/h6-8H,1-5H2	2-Hydroxyethyl(3-hydroxypropyl)azanium	C(CNCCO)CO	-1.200	40152643;3015059	NORMAN:(NS00020395);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(40152643 3015059);DSSTox:(DTXSID50172948)	137506324482	120.102	31	0.509	847477404514119851	847477215942398428	847477215942398427	11	
