feature_id	sources_IK2D	sources_number_IK2D	sources_npc_pathway	sources_npc_superclass	sources_npc_class	canopus_formulaRank	canopus_molecularFormula	canopus_adduct	canopus_precursorFormula	canopus_npc_pathway	canopus_NPC#pathway Probability	canopus_npc_superclass	canopus_NPC#superclass Probability	canopus_npc_class	canopus_NPC#class Probability	canopus_ClassyFire#superclass	canopus_ClassyFire#superclass probability	canopus_ClassyFire#class	canopus_ClassyFire#class Probability	canopus_ClassyFire#subclass	canopus_ClassyFire#subclass Probability	canopus_ClassyFire#level 5	canopus_ClassyFire#level 5 Probability	canopus_ClassyFire#most specific class	canopus_ClassyFire#most specific class Probability	canopus_ClassyFire#all classifications	canopus_ionMass	canopus_retentionTimeInSeconds	canopus_retentionTimeInMinutes	canopus_formulaId	canopus_alignedFeatureId	canopus_compoundId	canopus_overallFeatureQuality	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_IK2D	gnps_superclass	gnps_class	gnps_subclass	gnps_npc_superclass	gnps_npc_class	gnps_npc_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_IK2D	isdb_npc_pathway	isdb_npc_superclass	isdb_npc_class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_IK2D	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality	gnps_mn_parent mass	gnps_mn_RTMean	gnps_mn_ATTRIBUTE_treatment:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_treatment:GNPSGROUP:mock	gnps_mn_ATTRIBUTE_treatment:GNPSGROUP:untreated	gnps_mn_ATTRIBUTE_treatment:GNPSGROUP:PET	gnps_mn_ATTRIBUTE_phase:GNPSGROUP:inf_1	gnps_mn_ATTRIBUTE_phase:GNPSGROUP:inf_2	gnps_mn_ATTRIBUTE_phase:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_1	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_2	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_1	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_2	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_1	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_2	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_1	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_2	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp	gnps_mn_component	gnps_mn_#Scan#	gnps_mn_Compound_Name
1	gnps & sirius	1.0	canopus & gnps	canopus & gnps	canopus & gnps	3.0	C9H16ClNO2SSi	[M + H3N + H]+	C9H20ClN2O2SSi+	Fatty acids	0.515	Fatty amides	0.208	Halogenated fatty acids	0.111	Organic acids and derivatives	0.969	Carboxylic acids and derivatives	0.897	Carboxylic acid derivatives	0.657	Carboxylic acid amides	0.612	Carboxylic acid amides	0.612	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283.07	29.0	0.475	8.474774182420782e+17	8.474772150238458e+17	8.474772149986799e+17		CCMSLIB00013034157	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.912235	366379.0	0.0	6946.97	6.0	1.95291	283.07	1.0	temp/spectra_filtered.mgf1	1.0	ipriflavone	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M+H]+	281.117	280.11	1.0			CC(C)Oc1cc2c(cc1)c(=O)c(-c1ccccc1)co2	InChI=1S/C18H16O3/c1-12(2)21-14-8-9-15-17(10-14)20-11-16(18(15)19)13-6-4-3-5-7-13/h3-12H,1-2H3	SFBODOKJTYAUCM-UHFFFAOYSA-N	1.0	Positive	MSNLIB-POSITIVE	281.117	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C18H16O3	SFBODOKJTYAUCM-UHFFFAOYSA-N	SFBODOKJTYAUCM	Phenylpropanoids and polyketides	Isoflavonoids	Isoflav-2-enes	Isoflavonoids	Isoflavones	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013034157																																																	1.0	3.0	0.012	0.012	-101.389	0.173	0.181	14.25	C9H16ClNO2SSi	[M + H3N + H]+	C9H20ClN2O2SSi+	BUARKVUIBBYSAZ	InChI=1S/C9H16ClNO2SSi/c1-5-14-9(15(2,3)4)8(10)6-7-11(12)13/h6-7H,5H2,1-4H3	[(1Z,3E)-2-chloro-1-ethylsulfanyl-4-nitrobuta-1,3-dienyl]-trimethylsilane	CCSC(=C(C=C[N+](=O)[O-])Cl)[Si](C)(C)C	4.069	23272305	PUBCHEM:(23272305)	2.0	283.07	29.0	0.475	8.474774182420782e+17	8.474772150238458e+17	8.474772149986799e+17		283.0699158616697	0.47480375	0	0.0	1138792.1	0	0.0	759194.7333333334	0	0.0	0.0	0.0	0.0	0.0	2277584.2	0	0	0.0	122	1.0	ipriflavone
2	sirius	1.0	canopus	canopus	canopus	1.0	C9H16O4Si2	[M + H3N + H]+	C9H20NO4Si2+	Fatty acids	0.806	Fatty Acids and Conjugates	0.641	Halogenated fatty acids	0.492	Lipids and lipid-like molecules	0.58							Lipids and lipid-like molecules	0.58	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	262.091	30.0	0.493	8.47477409987687e+17	8.474772152083951e+17	8.474772152042008e+17																																																																																															1.0	1.0	0.005	0.005	-58.301	0.373	0.318	35.162	C9H16O4Si2	[M + H3N + H]+	C9H20NO4Si2+	GVGCXZISEASNDX	InChI=1S/C9H16O4Si2/c1-10-8(11-2)5-14-7-15-6-9(12-3)13-4/h5-6H,7H2,1-4H3		COC(=C[Si]C[Si]C=C(OC)OC)OC	1.766	87220872	PUBCHEM:(87220872)	2.0	262.091	30.0	0.493	8.47477409987687e+17	8.474772152083951e+17	8.474772152042008e+17		262.0914899351369	0.4926713	0	0.0	386286.78	0	0.0	257524.52	0	0.0	0.0	0.0	0.0	0.0	772573.56	0	0	0.0	-1		
3																																																																																																																																																									216.9228362536939	0.49590462	0	0.0	232259.1	0	0.0	154839.4	0	0.0	0.0	0.0	0.0	0.0	464518.2	0	0	0.0	210		
4	sirius	1.0	canopus	canopus	canopus	2.0	C9H13N5O3	[M + H]+	C9H14N5O3+	Carbohydrates	0.627	Pseudoalkaloids (transamidation)	0.912	Purine alkaloids	0.771	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.998	Purines and purine derivatives	0.998	Xanthines	0.754	Xanthines	0.754	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Oxazinanes; Alcohols and polyols; Lactams; Purines and purine derivatives; Hypoxanthines; Xanthines; Ethers; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Morpholines; Azoles; Ureas; Purinones; Dialkyl ethers; Aminoimidazoles; Aminopyrimidines and derivatives; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	240.109	30.0	0.508	8.47477408360297e+17	8.474772154306934e+17	8.47477215426499e+17																																																																																															1.0	2.0	0.159	0.159	-95.421	0.2	0.323	28.823	C9H13N5O3	[M + H]+	C9H14N5O3+	WJAUQIMFNXKELG	InChI=1S/C9H13N5O3/c1-10-8-11-6-5(14(8)3-4-15)7(16)12-9(17)13(6)2/h15H,3-4H2,1-2H3,(H,10,11)(H,12,16,17)	7-(2-hydroxyethyl)-3-methyl-8-(methylamino)-1H-purine-2,6(3H,7H)-dione	CNC1=NC2=C(N1CCO)C(=O)NC(=O)N2C	-1.0	941388	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(941388)	67108866.0	240.109	30.0	0.508	8.47477408360297e+17	8.474772154306934e+17	8.47477215426499e+17		240.1091082577922	0.5079962	0	0.0	1526310.4	0	0.0	1017540.2666666666	0	0.0	0.0	0.0	0.0	0.0	3052620.8	0	0	0.0	-1		
5	sirius	1.0	canopus	canopus	canopus	3.0	C9H19N3O4S	[M + H3N + H]+	C9H23N4O4S+	Amino acids and Peptides	0.909	Small peptides	0.921	Tripeptides	0.305	Organic acids and derivatives	0.989	Carboxylic acids and derivatives	0.962	Amino acids, peptides, and analogues	0.793	Amino acids and derivatives	0.788	Alpha amino acids	0.719	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283.143	30.0	0.495	8.474774108181594e+17	8.474772155145795e+17	8.474772155103852e+17																																																																																															1.0	3.0	0.013	0.013	-313.697	0.266	0.333	66.678	C9H19N3O4S	[M + H3N + H]+	C9H23N4O4S+	ITCNSJCDIXSYGU	InChI=1S/C9H19N3O4S/c1-9(2,3)16-8(13)11-4-6-12(7-5-11)17(10,14)15/h4-7H2,1-3H3,(H2,10,14,15)	tert-Butyl 4-sulfamoylpiperazine-1-carboxylate	CC(C)(C)OC(=O)N1CCN(CC1)S(=O)(=O)N	-0.5	53628347	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(53628347);DSSTox:(DTXSID40705502)	137506062338.0	283.143	30.0	0.495	8.474774108181594e+17	8.474772155145795e+17	8.474772155103852e+17		283.14343543693377	0.49590462	0	0.0	610304.2	0	0.0	406869.4666666666	0	0.0	0.0	0.0	0.0	0.0	1220608.4	0	0	0.0	122		
6	sirius	1.0	canopus	canopus	canopus	3.0	C10H21N3O4S	[M + H3N + H]+	C10H25N4O4S+	Amino acids and Peptides	0.793	Small peptides	0.836	Tripeptides	0.324	Organic acids and derivatives	0.927	Carboxylic acids and derivatives	0.881	Amino acids, peptides, and analogues	0.653	Amino acids and derivatives	0.647	Alpha amino acids	0.534	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.159	30.0	0.495	8.474774134647653e+17	8.474772155900769e+17	8.474772155858826e+17																																																																																															1.0	3.0	0.019	0.019	-189.232	0.263	0.333	101.477	C10H21N3O4S	[M + H3N + H]+	C10H25N4O4S+	IQTUSUHEIOWQKD	InChI=1S/C10H21N3O4S/c1-2-5-12-10(15)8-18(16,17)7-3-9(14)13-6-4-11/h2-8,11H2,1H3,(H,12,15)(H,13,14)	N-(2-aminoethyl)-3-[2-oxo-2-(propylamino)ethyl]sulfonylpropanamide	CCCNC(=O)CS(=O)(=O)CCC(=O)NCCN	-1.9	82182769	PUBCHEM:(82182769)	2.0	297.159	30.0	0.495	8.474774134647653e+17	8.474772155900769e+17	8.474772155858826e+17		297.15911784238773	0.49590462	0	0.0	431474.35	0	0.0	287649.56666666665	0	0.0	0.0	0.0	0.0	0.0	862948.7	0	0	0.0	-1		
7	sirius	1.0	canopus	canopus	canopus	1.0	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	Alkaloids	0.108	Small peptides	0.003	Sphingoid bases	0.03	Organoheterocyclic compounds	0.981	Diazinanes	0.996	Piperazines	0.997	N-alkylpiperazines	0.997	N-alkylpiperazines	0.997	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Diazinanes; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.088	30.0	0.501	8.474774123323032e+17	8.474772156697687e+17	8.474772156655744e+17																																																																																															1.0	1.0	0.745	0.751	-16.974	1.0	0.998	32.819	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	JKMHFZQWWAIEOD	InChI=1S/C8H18N2O4S/c11-7-5-9-1-3-10(4-2-9)6-8-15(12,13)14/h11H,1-8H2,(H,12,13,14)	Hepes	C1CN(CCN1CCO)CCS(=O)(=O)O	-4.0	4099749;87826964;3275884;90874349;23830;23831;3725082;71309498;24941255	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0062295);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23831);SUPERNATURAL:(SN0167890);MESH:(23831);PUBCHEM:(4099749 87826964 3275884 90874349 23830 23831 3725082 71309498 24941255);COCONUT:(CNP0212794);NORMAN:(NS00004939);METACYC:(HEPES);CHEBI:(46757 46758 46755 42334);DSSTox:(DTXSID00635730 DTXSID4044458 DTXSID5040382 DTXSID90859665);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998318.0	261.088	30.0	0.501	8.474774123323032e+17	8.474772156697687e+17	8.474772156655744e+17		261.0880913964739	0.50139207	0	0.0	4682639.0	0	0.0	3121759.333333333	0	0.0	0.0	0.0	0.0	0.0	9365278.0	0	0	0.0	220		
8	sirius	1.0	canopus	canopus	canopus	1.0	C5H11NO2	[M + Na]+	C5H11NNaO2+	Amino acids and Peptides	0.975	Small peptides	0.98	Aminoacids	0.969	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.918	Amino acids and derivatives	0.917	Alpha amino acids and derivatives	0.752	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Primary amines; Methyl esters; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	140.068	30.0	0.503	8.474774285097356e+17	8.474772157368776e+17	8.474772157326833e+17																																																																																															1.0	1.0	0.197	0.335	-75.993	0.999	1.0	13.331	C5H11NO2	[M + Na]+	C5H11NNaO2+	LRZFEBJUJIQVDQ	InChI=1S/C5H11NO2/c1-6(2)4-5(7)8-3/h4H2,1-3H3	methyl 2-(dimethylamino)acetate	CN(C)CC(=O)OC	0.2	6993637;10772964;81569	COCONUT:(CNP0318263);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0213799);LotusExpanded;PUBCHEM:(6993637 10772964 81569);DSSTox:(DTXSID60221693)	146099142658.0	140.068	30.0	0.503	8.474774285097356e+17	8.474772157368776e+17	8.474772157326833e+17		140.06825188689146	0.5029394	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1419478.4	-1		
9	sirius	1.0	canopus	canopus	canopus	2.0	C8H18N2O4S	[M + H]+	C8H19N2O4S+	Alkaloids	0.123	Diterpenoids	0.002	Sphingoid bases	0.034	Organoheterocyclic compounds	0.985	Diazinanes	0.997	Piperazines	0.997	N-alkylpiperazines	0.997	N-alkylpiperazines	0.997	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Diazinanes; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239.106	30.0	0.505	8.474774102015965e+17	8.474772158081807e+17	8.474772158081807e+17		CCMSLIB00003140197	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.78275	3958580.0	0.0	4.78622	8.0	0.00114441	239.106	1.0	temp/spectra_filtered.mgf9	1.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14	ESI	IT/ion trap	Isolated	Data from Luan	Data deposited by rsilva	M+H	239.105	0.0	1.0	7365459					3.0	Positive	GNPS-NIST14-MATCHES	239.105	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003140197																																																	1.0	2.0	0.895	0.92	-8.72	0.456	0.333	45.103	C8H18N2O4S	[M + H]+	C8H19N2O4S+	JKMHFZQWWAIEOD	InChI=1S/C8H18N2O4S/c11-7-5-9-1-3-10(4-2-9)6-8-15(12,13)14/h11H,1-8H2,(H,12,13,14)	Hepes	C1CN(CCN1CCO)CCS(=O)(=O)O	-4.0	4099749;87826964;3275884;90874349;23830;23831;3725082;71309498;24941255	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0062295);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23831);SUPERNATURAL:(SN0167890);MESH:(23831);PUBCHEM:(4099749 87826964 3275884 90874349 23830 23831 3725082 71309498 24941255);COCONUT:(CNP0212794);NORMAN:(NS00004939);METACYC:(HEPES);CHEBI:(46757 46758 46755 42334);DSSTox:(DTXSID00635730 DTXSID4044458 DTXSID5040382 DTXSID90859665);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998318.0	239.106	30.0	0.505	8.474774102015965e+17	8.474772158081807e+17	8.474772158081807e+17		239.10613979655943	0.5052293	0	0.0	17646318.0	0	0.0	11764212.0	0	0.0	0.0	0.0	0.0	0.0	35292636.0	0	0	0.0	-1	9.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14
10	gnps & sirius	1.0	canopus	canopus	canopus	2.0	C10H21NO4	[M + K]+	C10H21KNO4+	Amino acids and Peptides	0.796	Small peptides	0.665	Aminoacids	0.439	Organic acids and derivatives	0.985	Carboxylic acids and derivatives	0.977	Amino acids, peptides, and analogues	0.625	Amino acids and derivatives	0.622	Amino acids and derivatives	0.622	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	258.11	30.0	0.508	8.474774131879412e+17	8.474772158794839e+17	8.474772158752896e+17		CCMSLIB00013022844	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.97181	414426.0	0.0	1.30058	6.0	0.000335693	258.11	1.0	temp/spectra_filtered.mgf10	1.0	GLYCERO-3-PHOSPHOCHOLINE	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M]+	258.11	258.11	1.0			C[N+](C)(C)CCOP(=O)(O)OC[C@H](O)CO	InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/p+1/t8-/m1/s1	SUHOQUVVVLNYQR-MRVPVSSYSA-O	1.0	Positive	MSNLIB-POSITIVE	258.11	UPDATE-SINGLE-ANNOTATED-GOLD	Gold			SUHOQUVVVLNYQR-MRVPVSSYSA-O	SUHOQUVVVLNYQR	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013022844																																																	1.0	2.0	0.025	0.025	-151.7	0.059	0.734	110.633	C10H21NO4	[M + K]+	C10H21KNO4+	DJODATOGFCFXID	InChI=1S/C10H21NO4/c11-5-3-8-14-6-1-2-7-15-9-4-10(12)13/h1-9,11H2,(H,12,13)		C(CCOCCC(=O)O)COCCCN	-0.064		NORMAN:(NS00102775)	262144.0	258.11	30.0	0.508	8.474774131879412e+17	8.474772158794839e+17	8.474772158752896e+17		258.11031362083867	0.50690347	0	0.0	540354.8	0	0.0	360236.5333333334	0	0.0	0.0	0.0	0.0	0.0	1080709.6	0	0	0.0	-1	10.0	GLYCERO-3-PHOSPHOCHOLINE
