spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00017426498	Phenethylamine_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 1) [M+H]+	CC(NCCc1ccccc1)[C@H]1CC[C@H]2[C@@H]3CCC4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	422.341
CCMSLIB00017426499	Phenethylamine_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 1) [M+H]+	CC(NCCc1ccccc1)[C@H]1CC[C@H]2[C@@H]3CCC4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	422.341
CCMSLIB00017426500	L-DOPA_Pregnanolone (known isomers: 0; isobaric peaks in run: 5) [M+H]+	CC(NC(Cc1ccc(O)c(O)c1)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	500.336
CCMSLIB00017426501	L-DOPA_Pregnanolone (known isomers: 0; isobaric peaks in run: 5) [M+H]+	CC(NC(Cc1ccc(O)c(O)c1)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	500.336
CCMSLIB00017426502	L-DOPA_Pregnanolone (known isomers: 0; isobaric peaks in run: 5) [M+H]+	CC(NC(Cc1ccc(O)c(O)c1)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	500.336
CCMSLIB00017426503	L-DOPA_Pregnanolone (known isomers: 0; isobaric peaks in run: 5) [M+H]+	CC(NC(Cc1ccc(O)c(O)c1)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	500.336
CCMSLIB00017426504	L-DOPA_Pregnanolone (known isomers: 0; isobaric peaks in run: 5) [M+H]+	CC(NC(Cc1ccc(O)c(O)c1)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	500.339
CCMSLIB00017426505	Histamine_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 4) [M+H]+	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4CC(NCCc5c[nH]cn5)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	412.331
CCMSLIB00017426506	Histamine_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 4) [M+H]+	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4CC(NCCc5c[nH]cn5)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	412.331
CCMSLIB00017426507	Histamine_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 4) [M+H]+	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4CC(NCCc5c[nH]cn5)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	412.332
CCMSLIB00017426508	Histamine_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 4) [M+H]+	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4CC(NCCc5c[nH]cn5)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	412.332
CCMSLIB00017426509	Hydroxyproline_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 1) [M+H]+	CC([C@H]1CC[C@H]2[C@@H]3CCC4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)N1CC(O)CC1C(=O)O	0			1+	NA	432.31
CCMSLIB00017426510	GABA_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 2) [M+H]+	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4CC(NCCCC(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	404.315
CCMSLIB00017426511	GABA_dihydroprogesteron (known isomers: 1; isobaric peaks in run: 2) [M+H]+	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4CC(NCCCC(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C	0			1+	NA	404.315
