spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00001058235	Pesticide6_Fuberidazole_C11H8N2O_2-(2-Furyl)-1H-benzimidazole M-H	C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3	0			1+	NA	183.057
CCMSLIB00001058238	Pesticide6_Ethirimol_C11H19N3O_882476 M-H	CCCCC1=C(NC(=NC1=O)NCC)C	0			1+	NA	208.146
CCMSLIB00001058241	Pesticide6_Diniconazole_C15H17Cl2N3O_(1E)-1-(2,4-Dichlorphenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pent-1-en-3-ol M+FA-H	CC(C)(C)C(C(=CC1=C(C=C(C=C1)Cl)Cl)N2C=NC=N2)O	0			1+	NA	370.073
CCMSLIB00001058242	Pesticide3_Fluometuron_C10H11F3N2O_Urea, N,N-dimethyl-N'-[3-(trifluoromethyl)phenyl]- M-H	CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F	0			1+	NA	231.075
CCMSLIB00001058245	Pesticide3_Forchlorfenuron_C12H10ClN3O_Urea, N-(2-chloro-4-pyridinyl)-N'-phenyl- M-H	C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl	0			1+	NA	246.044
CCMSLIB00001058248	Pesticide3_Forchlorfenuron_C12H10ClN3O_Urea, N-(2-chloro-4-pyridinyl)-N'-phenyl- M+Cl	C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl	0			1+	NA	282.02
CCMSLIB00001058251	Pesticide3_Forchlorfenuron_C12H10ClN3O_Urea, N-(2-chloro-4-pyridinyl)-N'-phenyl- M+FA-H	C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl	0			1+	NA	292.049
CCMSLIB00001058256	Pesticide3_Chlorotoluron_C10H13ClN2O_Urea, N'-(3-chloro-4-methylphenyl)-N,N-dimethyl- M-H	CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl	0			1+	NA	211.065
CCMSLIB00001058257	Pesticide3_Diuron_C9H10Cl2N2O_3-(3,4-Dichlorophenyl)-1,1-dimethylurea M-H	CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl	0			1+	NA	231.01
CCMSLIB00001058264	Pesticide3_Diflubenzuron_C14H9ClF2N2O2_N-[(4-Chlorophenyl)carbamoyl]-2,6-difluorobenzamide M-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F	0			1+	NA	309.025
CCMSLIB00001058267	Pesticide3_Neburon_C12H16Cl2N2O_Urea, N-butyl-N'-(3,4-dichlorophenyl)-N-methyl- M-H	CCCCN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl	0			1+	NA	273.057
CCMSLIB00001058269	Pesticide3_Triflumuron_C15H10ClF3N2O3_Benzamide, 2-chloro-N-[[[4-(trifluoromethoxy)phenyl]amino]carbonyl]- M-H	C1=CC=C(C(=C1)C(=O)NC(=O)NC2=CC=C(C=C2)OC(F)(F)F)Cl	0			1+	NA	357.026
CCMSLIB00001058272	Pesticide3_Hexaflumuron_C16H8Cl2F6N2O3_ M-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F	0			1+	NA	458.975
CCMSLIB00001058277	Pesticide3_Novaluron_C17H9ClF8N2O4_N-({3-Chloro-4-[1,1,2-trifluoro-2-(trifluoromethoxy)ethoxy]phenyl}carbamoyl)-2,6-difluorobenzamide M-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)OC(C(OC(F)(F)F)F)(F)F)Cl)F	0			1+	NA	491.005
CCMSLIB00001058278	Pesticide3_Novaluron_C17H9ClF8N2O4_N-({3-Chloro-4-[1,1,2-trifluoro-2-(trifluoromethoxy)ethoxy]phenyl}carbamoyl)-2,6-difluorobenzamide M-H2O-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)OC(C(OC(F)(F)F)F)(F)F)Cl)F	0			1+	NA	472.994
CCMSLIB00001058282	Pesticide3_Novaluron_C17H9ClF8N2O4_N-({3-Chloro-4-[1,1,2-trifluoro-2-(trifluoromethoxy)ethoxy]phenyl}carbamoyl)-2,6-difluorobenzamide M+Cl	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)OC(C(OC(F)(F)F)F)(F)F)Cl)F	0			1+	NA	526.981
CCMSLIB00001058285	Pesticide3_Teflubenzuron_C14H6Cl2F4N2O2_N-[(3,5-Dichloro-2,4-difluorophenyl)carbamoyl]-2,6-difluorobenzamide M-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)F)Cl)F	0			1+	NA	378.967
CCMSLIB00001058289	Pesticide3_Lufenuron_C17H8Cl2F8N2O3_N-[[[2,5-Dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl]amino]carbonyl]-2,6-difluorobenzamide M-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2Cl)OC(C(C(F)(F)F)F)(F)F)Cl)F	0			1+	NA	508.971
CCMSLIB00001058291	Pesticide3_Hexaflumuron_C16H8Cl2F6N2O3_ M-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F	0			1+	NA	458.975
CCMSLIB00001058293	Pesticide3_Flufenoxuron_C21H11ClF6N2O3_N-({4-[2-Chloro-4-(trifluoromethyl)phenoxy]-2-fluorophenyl}carbamoyl)-2,6-difluorobenzamide M-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F	0			1+	NA	487.029
CCMSLIB00001058295	Pesticide3_Novaluron_C17H9ClF8N2O4_N-({3-Chloro-4-[1,1,2-trifluoro-2-(trifluoromethoxy)ethoxy]phenyl}carbamoyl)-2,6-difluorobenzamide M-H	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)OC(C(OC(F)(F)F)F)(F)F)Cl)F	0			1+	NA	491.005
CCMSLIB00001058366	Pesticide4_Metaflumizone_C24H16F6N4O2_(2E)-2-{2-(4-Cyanophenyl)-1-[3-(trifluoromethyl)phenyl]ethylidene}-N-[4-(trifluoromethoxy)phenyl]hydrazinecarboxamide M+Cl	C1=CC(=CC(=C1)C(F)(F)F)C(=NNC(=O)NC2=CC=C(C=C2)OC(F)(F)F)CC3=CC=C(C=C3)C#N	0			1+	NA	541.087
