spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00000425029	HMDB:HMDB0002364 Oleanolic acid M-H	[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O	0			1+	NA	455.711
CCMSLIB00000425030	HMDB:HMDB00099-156 L-Cystathionine M+H	N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O	0			1+	NA	223.075
CCMSLIB00000425031	HMDB:HMDB00021-38 Iodotyrosine M+H	N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O	0			1+	NA	307.978
CCMSLIB00000425032	HMDB:HMDB00145-218 Estrone M+H	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	0			1+	NA	271.17
CCMSLIB00000425033	HMDB:HMDB00258-449 Sucrose M+H	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	0			1+	NA	343.124
CCMSLIB00000425034	HMDB:HMDB00032-52 7-Dehydrocholesterol M+H	[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC=C2C[C@@H](O)CC[C@]12C	0			1+	NA	385.347
CCMSLIB00000425035	HMDB:HMDB00536-758 Adenylsuccinic acid M+H	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2NC(CC(O)=O)C(O)=O	0			1+	NA	464.082
CCMSLIB00000425036	HMDB:HMDB00620-837 Glutaconic acid M-H	OC(=O)C\C=C\C(O)=O	0			1+	NA	129.019
CCMSLIB00000425037	HMDB:HMDB00700-976 Hydroxypropionic acid M+H	OCCC(O)=O	0			1+	NA	91.0395
CCMSLIB00000425038	HMDB:HMDB00705-984 Hexanoylcarnitine M+H	CCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	0			1+	NA	260.186
CCMSLIB00000425039	HMDB:HMDB00805-1149 Pyrrolidonecarboxylic acid M+H	OC(=O)C1CCC(=O)N1	0			1+	NA	130.05
CCMSLIB00000425040	HMDB:HMDB00734-1039 Indoleacrylic acid M+H	OC(=O)\C=C\C1=CC2=C(N1)C=CC=C2	0			1+	NA	188.071
CCMSLIB00000425041	HMDB:HMDB00721-1015 Glycylproline M+H	NCC(=O)N1CCCC1C(O)=O	0			1+	NA	173.093
CCMSLIB00000425042	HMDB:HMDB01542-1637 N-Acetyllactosamine M+H	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O	0			1+	NA	384.151
CCMSLIB00000425043	HMDB:HMDB01548-1649 D-Ribose 5-phosphate M+H	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	0			1+	NA	231.027
CCMSLIB00000425044	HMDB:HMDB00699-972 1-Methylnicotinamide M+H	C[N+]1=CC=CC(=C1)C(N)=O	0			1+	NA	138.079
CCMSLIB00000425045	HMDB:HMDB03331-2245 1-Methyladenosine M+H	CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N	0			1+	NA	282.12
CCMSLIB00000425046	HMDB:HMDB00256-443 Squalene M+H	CC(C)=CCC\C(C)=C/CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C	0			1+	NA	411.399
CCMSLIB00000425047	HMDB:HMDB00139-213 Glyceric acid M-H	OC[C@@H](O)C(O)=O	0			1+	NA	105.019
CCMSLIB00000425048	HMDB:HMDB00701-979 Hexanoylglycine M+H	CCCCCC(=O)NCC(O)=O	0			1+	NA	174.113
CCMSLIB00000425049	HMDB:HMDB00630-860 Cytosine M+H	NC1=CC=NC(=O)N1	0			1+	NA	112.051
CCMSLIB00000425050	HMDB:HMDB00053-84 Androstenedione M+H	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	0			1+	NA	287.201
CCMSLIB00000425051	HMDB:HMDB00896-1267 Taurodeoxycholic acid M+H	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O	0			1+	NA	500.305
CCMSLIB00000425052	HMDB:HMDB01644-1668 D-Xylulose M+H	OC[C@@H](O)[C@H](O)C(=O)CO	0			1+	NA	151.061
CCMSLIB00000425053	HMDB:HMDB00118-170 Homovanillic acid M-H	COC1=CC(CC(O)=O)=CC=C1O	0			1+	NA	181.05
CCMSLIB00000425054	HMDB:HMDB00238-402 Sepiapterin M+H	C[C@H](O)C(=O)C1=NC2=C(NC1)NC(N)=NC2=O	0			1+	NA	238.094
CCMSLIB00000425055	HMDB:HMDB01888-1789 N,N-Dimethylformamide M+H	CN(C)C=O	0			1+	NA	74.0606
CCMSLIB00000425056	HMDB:HMDB00857-1207 Pimelic acid M-H	OC(=O)CCCCCC(O)=O	0			1+	NA	159.066
CCMSLIB00000425057	HMDB:HMDB00755-1085 Hydroxyphenyllactic acid M+H	OC(CC1=CC=C(O)C=C1)C(O)=O	0			1+	NA	183.066
CCMSLIB00000425058	HMDB:HMDB00679-943 Homocitrulline M+H	N[C@@H](CCCCNC(N)=O)C(O)=O	0			1+	NA	190.119
CCMSLIB00000425059	HMDB:HMDB02108-2008 Methylcysteine M+H	CSC[C@H](N)C(O)=O	0			1+	NA	136.043
CCMSLIB00000425060	HMDB:HMDB00825-1174 3'-Sialyllactose M+H	[H][C@]1(O[C@@](C[C@H](O)[C@H]1NC(C)=O)(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@@H]1O)C(O)=O)[C@H](O)[C@H](O)CO	0			1+	NA	634.219
CCMSLIB00000425061	HMDB:HMDB00721-1016 Glycylproline M+H	NCC(=O)N1CCCC1C(O)=O	0			1+	NA	173.093
CCMSLIB00000425062	HMDB:HMDB00913-1301 Vanillactic acid M+H	COC1=CC(CC(O)C(O)=O)=CC=C1O	0			1+	NA	213.076
CCMSLIB00000425063	HMDB:HMDB02434-2108 Hydroquinone M+H	OC1=CC=C(O)C=C1	0			1+	NA	111.045
CCMSLIB00000425064	HMDB:HMDB00958-1362 trans-Aconitic acid M+H	OC(=O)C\C(=C/C(O)=O)C(O)=O	0			1+	NA	175.024
CCMSLIB00000425065	HMDB:HMDB01587-1662 Phenylglyoxylic acid M+H	OC(=O)C(=O)C1=CC=CC=C1	0			1+	NA	151.04
CCMSLIB00000425066	HMDB:HMDB00899-1274 Androstanedione M+H	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C	0			1+	NA	289.217
CCMSLIB00000425067	HMDB:HMDB00733-1037 Hyodeoxycholic acid M-H	[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)C2C[C@H](O)CC[C@]12C	0			1+	NA	391.285
CCMSLIB00000425068	HMDB:HMDB01218-1471 Coumarin M+H	O=C1OC2=CC=CC=C2C=C1	0			1+	NA	147.045
CCMSLIB00000425069	HMDB:HMDB02899-2155 Ellagic acid M+H	OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2	0			1+	NA	303.014
CCMSLIB00000425070	HMDB:HMDB02991-2178 Cysteamine M+H	NCCS	0			1+	NA	78.0377
CCMSLIB00000425071	HMDB:HMDB02322-2056 Cadaverine M+H	NCCCCCN	0			1+	NA	103.124
CCMSLIB00000425072	HMDB:HMDB01916-1833 Azythromycin M+H	CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@H](O[C@H]2O[C@@H](C)C[C@H]([C@@H]2O)N(C)C)[C@@](C)(O)C[C@H](C)CN(C)[C@@H](C)[C@@H](O)[C@]1(C)O	0			1+	NA	749.516
CCMSLIB00000425073	HMDB:HMDB11624-2490 Decyl alcohol  M+H	CCCCCCCCCCO	0			1+	NA	159.175
CCMSLIB00000425074	HMDB:HMDB01310-1510 D-Alanine M+H	C[C@@H](N)C(O)=O	0			1+	NA	90.0555
CCMSLIB00000425075	HMDB:HMDB03219-2213 Sedoheptulose M+H	OCC(O)C(O)C(O)C(O)C(=O)CO	0			1+	NA	211.082
CCMSLIB00000425076	HMDB:HMDB01033-1394 Hydrogen sulfite M+H	OS([O-])=O	0			1+	NA	81.9725
CCMSLIB00000425077	HMDB:HMDB00402-609 2-Isopropylmalic acid M-H	CC(C)[C@@](O)(CC(O)=O)C(O)=O	0			1+	NA	175.061
CCMSLIB00000425078	HMDB:HMDB00863-1217 Isopropyl alcohol M+H	CC(C)O	0			1+	NA	61.0653
