spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00005725552	Massbank:IA000419 11-HDoHE M-H1	CC\C=C/C\C=C/C\C=C/CC(O)\C=C\C=C/C\C=C/CCC(O)=O	0			1+	NA	343.228
CCMSLIB00005725553	Massbank:IA000432 5(6)-EET-[d11] M-H1	CCCCC\C=C/C\C=C/C\C=C/CC1OC1CCCC(O)=O	0			1+	NA	330.297
CCMSLIB00005725554	Massbank:IA000279 9(10)-EpOME-[d4] M-H1	CCCCC\C=C/CC1OC1CCCCCCCC(O)=O	0			1+	NA	299.253
CCMSLIB00005725555	Massbank:IA000344 TXB1 M-H1	CCCCC[C@H](O)\C=C\[C@H]1OC(O)C[C@H](O)[C@@H]1CCCCCCC(O)=O	0			1+	NA	371.244
CCMSLIB00005725556	Massbank:IA000090 15-HETE-[d8] M-H1	CCCCCC(O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O	0			1+	NA	327.278
CCMSLIB00005725557	Massbank:IA000230 12(13)-EpOME-[d4] M-H1	CCCCCC1OC1C\C=C/CCCCCCCC(O)=O	0			1+	NA	299.253
CCMSLIB00005725558	Massbank:IA000016 8-HDoHE M-H1	CC\C=C/C\C=C/C\C=C/C\C=C/CC(O)\C=C\C=C/CCC(O)=O	0			1+	NA	343.228
CCMSLIB00005725559	Massbank:IA000333 8,9-DHET-[d11] M-H1	CCCCC\C=C/C\C=C/CC(O)C(O)C\C=C/CCCC(O)=O	0			1+	NA	348.307
CCMSLIB00005725560	Massbank:IA000507 13-HODE-[d4] M-H1	C(CCCCCCC/C=C\C=C\C(CCCCC)O)(=O)O	0			1+	NA	299.253
CCMSLIB00005725561	Massbank:IA000378 9-HODE M-H1	CCCCC\C=C/C=C/C(O)CCCCCCCC(O)=O	0			1+	NA	295.228
CCMSLIB00005725562	Massbank:IA000226 15d-PGJ2-[d4] M-H1	CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)C=CC1=O	0			1+	NA	319.222
CCMSLIB00005725563	Massbank:IA000462 9-HETE M-H1	CCCCC\C=C/C\C=C/CC(O)\C=C\C=C/CCCC(O)=O	0			1+	NA	319.228
CCMSLIB00005725564	Massbank:IA000452 15-HEPE M-H1	C(\CC)=C\CC(/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)O	0			1+	NA	317.212
CCMSLIB00005725565	Massbank:IA000420 11-HDoHE M-H1	CC\C=C/C\C=C/C\C=C/CC(O)\C=C\C=C/C\C=C/CCC(O)=O	0			1+	NA	343.228
CCMSLIB00005725566	Massbank:IA000237 LTD4-[d5] M-H1	CCCCC\C=C/C\C=C/C=C/C=C/[C@@H](SC[C@H](N)C(=O)NCC(O)=O)[C@@H](O)CCCC(O)=O	0			1+	NA	500.285
CCMSLIB00005725567	Massbank:IA000167 Resolvin D2-[d5] M-H1	C(C/C=C\C[C@@H](/C=C/C=C\C=C\C=C\[C@H]([C@H](C/C=C\CC)O)O)O)C(O)=O	0			1+	NA	380.249
CCMSLIB00005725568	Massbank:IA000111 PGB2-[d4] M-H1	CCCCC[C@H](O)\C=C\C1=C(C\C=C/CCCC(O)=O)C(=O)CC1	0			1+	NA	337.232
CCMSLIB00005725569	Massbank:IA000233 5,6-DiHETE M-H1	C([C@@H]([C@@H](/C=C/C=C/C=C\C/C=C\CCCCC)O)O)CCC(=O)O	0			1+	NA	335.223
