spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00012738564	Z2000276698 [M+H]+	Cc1nc(N2CCC3(CCO3)CC2)c2cc[nH]c2n1	0			1+	NA	259.155
CCMSLIB00012738565	Z2000276698 [M+H]+	Cc1nc(N2CCC3(CCO3)CC2)c2cc[nH]c2n1	0			1+	NA	259.155
CCMSLIB00012738566	Z2000276698 [M+H]+	Cc1nc(N2CCC3(CCO3)CC2)c2cc[nH]c2n1	0			1+	NA	259.155
CCMSLIB00012738567	Z2000276698 [M+H]+	Cc1nc(N2CCC3(CCO3)CC2)c2cc[nH]c2n1	0			1+	NA	259.155
CCMSLIB00012738569	Z2000276698 [M+H]+	Cc1nc(N2CCC3(CCO3)CC2)c2cc[nH]c2n1	0			1+	NA	259.155
CCMSLIB00012738570	Z2000276698 [M+H]+	Cc1nc(N2CCC3(CCO3)CC2)c2cc[nH]c2n1	0			1+	NA	259.155
CCMSLIB00012738571	Z2000276698 [M+H]+	Cc1nc(N2CCC3(CCO3)CC2)c2cc[nH]c2n1	0			1+	NA	259.155
CCMSLIB00012738572	Z2000276698 [M+H]+	Cc1nc(N2CCC3(CCO3)CC2)c2cc[nH]c2n1	0			1+	NA	259.155
CCMSLIB00012738573	Z1623901771 [M+H]+	NC(=O)c1c(N2CCC(c3ccccc3)CC2)ccnc1	0			1+	NA	282.16
CCMSLIB00012738574	Z1623901771 [M+H]+	NC(=O)c1c(N2CCC(c3ccccc3)CC2)ccnc1	0			1+	NA	282.16
CCMSLIB00012738576	Z1623901771 [M+H]+	NC(=O)c1c(N2CCC(c3ccccc3)CC2)ccnc1	0			1+	NA	282.16
CCMSLIB00012738577	Z1623901771 [M+H]+	NC(=O)c1c(N2CCC(c3ccccc3)CC2)ccnc1	0			1+	NA	282.16
CCMSLIB00012738578	Z1623901771 [M+H]+	NC(=O)c1c(N2CCC(c3ccccc3)CC2)ccnc1	0			1+	NA	282.16
CCMSLIB00012738580	AKOS034783833 [M+H]+	CCC(NC(=O)CC1C=CS(=O)(=O)C1)C1CCCCC1	0			1+	NA	300.163
CCMSLIB00012738581	AKOS034783833 [M+H]+	CCC(NC(=O)CC1C=CS(=O)(=O)C1)C1CCCCC1	0			1+	NA	300.163
CCMSLIB00012738582	AKOS034783833 [M+H]+	CCC(NC(=O)CC1C=CS(=O)(=O)C1)C1CCCCC1	0			1+	NA	300.163
CCMSLIB00012738583	AKOS034783833 [M+H]+	CCC(NC(=O)CC1C=CS(=O)(=O)C1)C1CCCCC1	0			1+	NA	300.163
CCMSLIB00012738584	AKOS034783833 [M+H]+	CCC(NC(=O)CC1C=CS(=O)(=O)C1)C1CCCCC1	0			1+	NA	300.163
CCMSLIB00012738585	Z1505283424 [M+H]+	CCC(CC)n1nccc1C(=O)N1CC(C)Oc2c1cccn2	0			1+	NA	315.182
CCMSLIB00012738586	Z1505283424 [M+H]+	CCC(CC)n1nccc1C(=O)N1CC(C)Oc2c1cccn2	0			1+	NA	315.182
CCMSLIB00012738587	Z1505283424 [M+H]+	CCC(CC)n1nccc1C(=O)N1CC(C)Oc2c1cccn2	0			1+	NA	315.182
CCMSLIB00012738589	Z1505283424 [M+H]+	CCC(CC)n1nccc1C(=O)N1CC(C)Oc2c1cccn2	0			1+	NA	315.182
CCMSLIB00012738590	Z1505283424 [M+H]+	CCC(CC)n1nccc1C(=O)N1CC(C)Oc2c1cccn2	0			1+	NA	315.182
CCMSLIB00012738591	Z1505283424 [M+H]+	CCC(CC)n1nccc1C(=O)N1CC(C)Oc2c1cccn2	0			1+	NA	315.182
CCMSLIB00012738592	Z1505283424 [M+H]+	CCC(CC)n1nccc1C(=O)N1CC(C)Oc2c1cccn2	0			1+	NA	315.182
CCMSLIB00012738593	Z1505283424 [M+H]+	CCC(CC)n1nccc1C(=O)N1CC(C)Oc2c1cccn2	0			1+	NA	315.182
CCMSLIB00012738594	AKOS034077221 [M+H]+	CN(c1nnnn1Cc1ccc(CN2CCCC2=O)cc1)C1CC1	0			1+	NA	327.193
CCMSLIB00012738595	AKOS034077221 [M+H]+	CN(c1nnnn1Cc1ccc(CN2CCCC2=O)cc1)C1CC1	0			1+	NA	327.193
CCMSLIB00012738596	AKOS034077221 [M+H]+	CN(c1nnnn1Cc1ccc(CN2CCCC2=O)cc1)C1CC1	0			1+	NA	327.193
CCMSLIB00012738598	AKOS034077221 [M+H]+	CN(c1nnnn1Cc1ccc(CN2CCCC2=O)cc1)C1CC1	0			1+	NA	327.193
CCMSLIB00012738600	AKOS034077221 [M+H]+	CN(c1nnnn1Cc1ccc(CN2CCCC2=O)cc1)C1CC1	0			1+	NA	327.193
CCMSLIB00012738601	AKOS034077221 [M+H]+	CN(c1nnnn1Cc1ccc(CN2CCCC2=O)cc1)C1CC1	0			1+	NA	327.193
CCMSLIB00012738603	AKOS034077221 [M+H]+	CN(c1nnnn1Cc1ccc(CN2CCCC2=O)cc1)C1CC1	0			1+	NA	327.193
CCMSLIB00012738604	AKOS034077221 [M+H]+	CN(c1nnnn1Cc1ccc(CN2CCCC2=O)cc1)C1CC1	0			1+	NA	327.193
CCMSLIB00012738605	AKOS034123029 [M+H]+	COC(=O)C(C)(Cn1cnc2ccccc21)NC(=O)Cn1cccn1	0			1+	NA	342.156
CCMSLIB00012738606	AKOS034123029 [M+H]+	COC(=O)C(C)(Cn1cnc2ccccc21)NC(=O)Cn1cccn1	0			1+	NA	342.156
CCMSLIB00012738607	AKOS034123029 [M+H]+	COC(=O)C(C)(Cn1cnc2ccccc21)NC(=O)Cn1cccn1	0			1+	NA	342.156
CCMSLIB00012738608	AKOS034123029 [M+H]+	COC(=O)C(C)(Cn1cnc2ccccc21)NC(=O)Cn1cccn1	0			1+	NA	342.156
CCMSLIB00012738610	AKOS034123029 [M+H]+	COC(=O)C(C)(Cn1cnc2ccccc21)NC(=O)Cn1cccn1	0			1+	NA	342.156
CCMSLIB00012738611	AKOS034123029 [M+H]+	COC(=O)C(C)(Cn1cnc2ccccc21)NC(=O)Cn1cccn1	0			1+	NA	342.156
CCMSLIB00012738612	AKOS034123029 [M+H]+	COC(=O)C(C)(Cn1cnc2ccccc21)NC(=O)Cn1cccn1	0			1+	NA	342.156
