spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00010059112	PE(16:1/0:0); [M-H]- C21H41N1O7P1 M-H	N/A	0			1+	NA	450.262
CCMSLIB00010059114	PE(16:1/0:0); [M-H]- C21H41N1O7P1 M-H	N/A	0			1+	NA	450.262
CCMSLIB00010059115	PE(18:2/0:0); [M-H]- C23H43N1O7P1 M-H	N/A	0			1+	NA	476.278
CCMSLIB00010059116	PE(18:2/0:0); [M-H]- C23H43N1O7P1 M-H	N/A	0			1+	NA	476.278
CCMSLIB00010059117	PE(18:1/0:0); [M-H]- C23H45N1O7P1 M-H	N/A	0			1+	NA	478.293
CCMSLIB00010059118	PE(18:1/0:0); [M-H]- C23H45N1O7P1 M-H	N/A	0			1+	NA	478.293
CCMSLIB00010059119	PE(16:0/0:0); [M-H]- C21H43N1O7P1 M-H	N/A	0			1+	NA	452.278
CCMSLIB00010059121	PE(16:0/0:0); [M-H]- C21H43N1O7P1 M-H	N/A	0			1+	NA	452.278
CCMSLIB00010059122	PS(16:1/18:2); [M-H]- C40H71N1O10P1 M-H	N/A	0			1+	NA	756.482
CCMSLIB00010059123	PS(16:1/18:2); [M-H]- C40H71N1O10P1 M-H	N/A	0			1+	NA	756.482
CCMSLIB00010059125	PA(16:1/16:1); [M-H]- C35H64O8P1 M-H	N/A	0			1+	NA	643.434
CCMSLIB00010059126	PA(16:1/16:1); [M-H]- C35H64O8P1 M-H	N/A	0			1+	NA	643.434
CCMSLIB00010059128	PS(16:1/18:1); [M-H]- C40H73N1O10P1 M-H	N/A	0			1+	NA	758.497
CCMSLIB00010059129	PS(16:1/18:1); [M-H]- C40H73N1O10P1 M-H	N/A	0			1+	NA	758.497
CCMSLIB00010059130	PA(16:1/18:2); [M-H]- C37H66O8P1 M-H	N/A	0			1+	NA	669.45
CCMSLIB00010059132	PA(16:1/18:2); [M-H]- C37H66O8P1 M-H	N/A	0			1+	NA	669.45
CCMSLIB00010059133	PE(16:2/16:1); [M-H]- C37H67N1O8P1 M-H	N/A	0			1+	NA	684.46
CCMSLIB00010059134	PE(16:2/16:1); [M-H]- C37H67N1O8P1 M-H	N/A	0			1+	NA	684.46
CCMSLIB00010059135	PG(16:1/18:1); [M-H]- C40H74O10P1 M-H	N/A	0			1+	NA	745.502
CCMSLIB00010059136	PG(16:1/18:1); [M-H]- C40H74O10P1 M-H	N/A	0			1+	NA	745.502
CCMSLIB00010059137	PA(18:2/18:2); [M-H]- C39H68O8P1 M-H	N/A	0			1+	NA	695.465
