spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00012465023	MAFENIDE [M+H]+	C1=CC(=CC=C1CN)S(=O)(=O)N	0			1+	NA	187.054
CCMSLIB00012465024	MAFENIDE [M+K]+	C1=CC(=CC=C1CN)S(=O)(=O)N	0			1+	NA	225.01
CCMSLIB00012465025	MAFENIDE [M+H-H2O]+	C1=CC(=CC=C1CN)S(=O)(=O)N	0			1+	NA	169.044
CCMSLIB00012465026	NEFOPAM [M+H]+	CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3	0			1+	NA	254.154
CCMSLIB00012465027	NEFOPAM [M+Na]+	CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3	0			1+	NA	276.137
CCMSLIB00012465028	NEFOPAM [M+K]+	CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3	0			1+	NA	292.11
CCMSLIB00012465029	NEFOPAM [M+H-H2O]+	CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3	0			1+	NA	236.144
CCMSLIB00012465030	NEFOPAM_metabolite_002 [M+H]+	N/A	0			1+	NA	270.149
CCMSLIB00012465031	NEFOPAM_metabolite_003 [M]+	N/A	0			1+	NA	430.187
CCMSLIB00012465032	NEFOPAM_metabolite_004 [M+H]+	c1ccc(C2OCCNCc3ccccc32)cc1	0			1+	NA	240.139
CCMSLIB00012465033	NEFOPAM_metabolite_004 [M+Na]+	c1ccc(C2OCCNCc3ccccc32)cc1	0			1+	NA	262.121
CCMSLIB00012465034	MAPROTILINE [M+H]+	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24	0			1+	NA	278.191
CCMSLIB00012465035	MAPROTILINE [M+Na]+	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24	0			1+	NA	300.173
CCMSLIB00012465036	MAPROTILINE [M+K]+	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24	0			1+	NA	316.147
CCMSLIB00012465037	MAPROTILINE [M+H-H2O]+	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24	0			1+	NA	260.18
CCMSLIB00012465038	MAPROTILINE_metabolite_001 [M+H-H2O]+	N/A	0			1+	NA	274.159
CCMSLIB00012465039	MAPROTILINE_metabolite_002 [M+H]+	N/A	0			1+	NA	294.186
CCMSLIB00012465040	MAPROTILINE_metabolite_004 [M+H]+	NCCCC12CCC(c3ccccc31)c1ccccc12	0			1+	NA	264.175
CCMSLIB00012465041	MAPROTILINE_metabolite_004 [M+K]+	NCCCC12CCC(c3ccccc31)c1ccccc12	0			1+	NA	302.131
CCMSLIB00012465042	MAPROTILINE_metabolite_004 [M+H-H2O]+	NCCCC12CCC(c3ccccc31)c1ccccc12	0			1+	NA	246.165
CCMSLIB00012465043	MAPROTILINE_metabolite_008 [M+Na]+	N/A	0			1+	NA	302.152
CCMSLIB00012465044	MAPROTILINE_metabolite_009 [M+K]+	N/A	0			1+	NA	508.174
CCMSLIB00012465045	PIRENZEPINE [M+H]+	CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4	0			1+	NA	352.177
CCMSLIB00012465046	PIRENZEPINE [M+Na]+	CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4	0			1+	NA	374.159
CCMSLIB00012465047	PIRENZEPINE [M+K]+	CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4	0			1+	NA	390.133
CCMSLIB00012465048	PIRENZEPINE [M+H-H2O]+	CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4	0			1+	NA	334.167
CCMSLIB00012465049	PIRENZEPINE_metabolite_007 [M+Na]+	O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C(=O)N1c2ccccc2C(O)=Nc2cccnc21	0			1+	NA	482.081
CCMSLIB00012465050	FENSPIRIDE [M+Na]+	C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3	0			1+	NA	283.142
CCMSLIB00012465051	FENSPIRIDE [M+K]+	C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3	0			1+	NA	299.116
CCMSLIB00012465052	FENSPIRIDE [M+H-H2O]+	C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3	0			1+	NA	243.15
CCMSLIB00012465053	PRAMOXINE [M+H]+	CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2	0			1+	NA	294.207
CCMSLIB00012465054	PRAMOXINE [M+K]+	CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2	0			1+	NA	332.163
CCMSLIB00012465055	PRAMOXINE [M+H-H2O]+	CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2	0			1+	NA	276.196
CCMSLIB00012465056	PRAMOXINE_metabolite_008 [M+H]+	C=CCCOc1ccc(OCCCN2CCOCC2)cc1	0			1+	NA	292.191
CCMSLIB00012465057	PRAMOXINE_metabolite_013 [M+H]+	N/A	0			1+	NA	310.202
CCMSLIB00012465058	PRAMOXINE_metabolite_013 [M+H-H2O]+	N/A	0			1+	NA	292.191
CCMSLIB00012465059	PRAMOXINE_metabolite_033 [M+H]+	Oc1ccc(OCCCN2CCOCC2)cc1	0			1+	NA	238.144
CCMSLIB00012465060	PRAMOXINE_metabolite_033 [M+Na]+	Oc1ccc(OCCCN2CCOCC2)cc1	0			1+	NA	260.126
CCMSLIB00012465061	PRAMOXINE_metabolite_037 [M+Na]+	Oc1ccc(OCC(O)CN2CCOCC2)cc1	0			1+	NA	276.121
CCMSLIB00012465062	MECLIZINE [M+H]+	CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl	0			1+	NA	391.194
CCMSLIB00012465063	MECLIZINE [M+Na]+	CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl	0			1+	NA	413.176
CCMSLIB00012465064	MECLIZINE [M+K]+	CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl	0			1+	NA	429.15
CCMSLIB00012465065	MECLIZINE [M+H-H2O]+	CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl	0			1+	NA	373.184
CCMSLIB00012465066	SULFACHLORPYRIDAZINE [M+H]+	C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl	0			1+	NA	285.021
CCMSLIB00012465067	SULFACHLORPYRIDAZINE [M+Na]+	C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl	0			1+	NA	307.003
CCMSLIB00012465068	SULFACHLORPYRIDAZINE [M+H-H2O]+	C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl	0			1+	NA	267.011
CCMSLIB00012465069	SULFACHLORPYRIDAZINE_metabolite_013 [M+Na]+	N/A	0			1+	NA	365.009
CCMSLIB00012465070	MECLOFENAMATE [M+H]+	CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl	0			1+	NA	296.025
CCMSLIB00012465071	MECLOFENAMATE [M+Na]+	CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl	0			1+	NA	318.007
CCMSLIB00012465072	MECLOFENAMATE [M+K]+	CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl	0			1+	NA	333.98
CCMSLIB00012465073	MECLOFENAMATE [M+H-H2O]+	CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl	0			1+	NA	278.014
CCMSLIB00012465074	MECLOFENAMATE_metabolite_005 [M+Na]+	O=C(O)c1ccccc1Nc1c(Cl)ccc(COC2OC(C(=O)O)C(O)C(O)C2O)c1Cl	0			1+	NA	510.034
CCMSLIB00012465075	MECLOFENAMATE_metabolite_006 [M+Na]+	N/A	0			1+	NA	512.049
CCMSLIB00012465076	MECLOFENAMATE_metabolite_007 [M+Na]+	N/A	0			1+	NA	641.085
CCMSLIB00012465077	MECLOFENAMATE_metabolite_008 [M+K]+	O=C(O)CN=C(O)c1ccccc1Nc1c(Cl)ccc(CO)c1Cl	0			1+	NA	406.997
CCMSLIB00012465078	MECLOFENAMATE_metabolite_010 [M+Na]+	Cc1ccc(Cl)c(Nc2ccccc2C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)c1Cl	0			1+	NA	494.039
CCMSLIB00012465079	MECLOFENAMATE_metabolite_010 [M+K]+	Cc1ccc(Cl)c(Nc2ccccc2C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)c1Cl	0			1+	NA	510.013
CCMSLIB00012465080	MECLOFENAMATE_metabolite_012 [M+H-H2O]+	N/A	0			1+	NA	294.009
CCMSLIB00012465081	SULFADIMETHOXINE [M+H]+	COc1cc(nc(n1)OC)NS(=O)(=O)c2ccc(cc2)N	0			1+	NA	311.081
CCMSLIB00012465082	SULFADIMETHOXINE [M+Na]+	COc1cc(nc(n1)OC)NS(=O)(=O)c2ccc(cc2)N	0			1+	NA	333.063
CCMSLIB00012465083	SULFADIMETHOXINE [M+K]+	COc1cc(nc(n1)OC)NS(=O)(=O)c2ccc(cc2)N	0			1+	NA	349.037
CCMSLIB00012465084	SULFADIMETHOXINE [M+H-H2O]+	COc1cc(nc(n1)OC)NS(=O)(=O)c2ccc(cc2)N	0			1+	NA	293.071
CCMSLIB00012465085	SULFADIMETHOXINE_metabolite_013 [M+K]+	COc1cc(NS(=O)(=O)c2ccc(N)c(O)c2)nc(OC)n1	0			1+	NA	365.032
