spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00001058205	Pesticide3_3-Hydroxycarbofuran_C12H15NO4_3,7-Benzofurandiol, 2,3-dihydro-2,2-dimethyl-, 7-(methylcarbamate) M+H	CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C	0			1+	NA	238.107
CCMSLIB00001058207	Pesticide3_3-Hydroxycarbofuran_C12H15NO4_3,7-Benzofurandiol, 2,3-dihydro-2,2-dimethyl-, 7-(methylcarbamate) M-H2O+H	CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C	0			1+	NA	220.096
CCMSLIB00001058209	Pesticide3_Dioxacarb_C11H13NO4_Phenol, 2-(1,3-dioxolan-2-yl)-, methylcarbamate M+H	CNC(=O)OC1=CC=CC=C1C2OCCO2	0			1+	NA	224.091
CCMSLIB00001058211	Pesticide3_Fenuron_C9H12N2O_Urea, N,N-dimethyl-N'-phenyl- M+H	CN(C)C(=O)NC1=CC=CC=C1	0			1+	NA	165.102
CCMSLIB00001058213	Pesticide3_Fenuron_C9H12N2O_Urea, N,N-dimethyl-N'-phenyl- M+NH4	CN(C)C(=O)NC1=CC=CC=C1	0			1+	NA	182.129
CCMSLIB00001058966	Pesticide3_Iprovalicarb Isomer 1*_C18H28N2O3_Isopropyl [(2S)-3-methyl-1-{[1-(4-methylphenyl)ethyl]amino}-1-oxo-2-butanyl]carbamate M+Na	CC1=CC=C(C=C1)C(C)NC(=O)C(C(C)C)NC(=O)OC(C)C	0			1+	NA	343.199
CCMSLIB00001059020	Pesticide7_Spinetoram_C42H69NO10_1H-as-Indaceno[3,2-d]oxacyclododecin-7,15-dione, 2-[(6-deoxy-3-O-ethyl-2,4-di-O-methyl-alpha-L-mannopyranosyl)oxy]-13-[[(2R,5S,6R)-5-(dimethylamino)tetrahydro-6-methyl-2H-pyran-2-yl]oxy]-9-ethyl-2,3,3a,4,5,5a,5b,6,9,10,11,12,13,14,16a,16b-hexadecahydro-14-methyl-, (3aR,5aR,9S,13S,14R,16aS,16bR)- M+H	CCC1CCCC(C(C(=O)C2=CC3C(C2CC(=O)O1)CCC4C3CC(C4)OC5C(C(C(C(O5)C)OC)OCC)OC)C)OC6CCC(C(O6)C)N(C)C	0			1+	NA	748.499
CCMSLIB00001058221	Pesticide3_Pirimicarb_C11H18N4O2_2-(Dimethylamino)-5,6-dimethyl-4-pyrimidinyl dimethylcarbamate M+H	CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C	0			1+	NA	239.15
CCMSLIB00001058902	Pesticide6_Triflumizole_C15H15ClF3N3O_4-Chloro-N-[(1E)-1-(1H-imidazol-1-yl)-2-propoxyethylidene]-2-(trifluoromethyl)benzenamine M+H	CCCOC\C(=N/c1ccc(Cl)cc1C(F)(F)F)\n2ccnc2	0			1+	NA	346.093
CCMSLIB00001058225	Pesticide3_Isoprocarb_C11H15NO2_2-Isopropylphenyl methylcarbamate M+H	CC(C)C1=CC=CC=C1OC(=O)NC	0			1+	NA	194.117
CCMSLIB00001058508	Pesticide4_Boscalid_C18H12Cl2N2O_3-Pyridinecarboxamide, 2-chloro-N-(4'-chloro[1,1'-biphenyl]-2-yl)- M+Na	C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl	0			1+	NA	391.199
CCMSLIB00001058229	Pesticide3_Forchlorfenuron_C12H10ClN3O_Urea, N-(2-chloro-4-pyridinyl)-N'-phenyl- M+H	C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl	0			1+	NA	248.058
CCMSLIB00001058231	Pesticide3_Metobromuron_C9H11BrN2O2_Urea, N'-(4-bromophenyl)-N-methoxy-N-methyl- M+H	CN(C(=O)NC1=CC=C(C=C1)Br)OC	0			1+	NA	259.007
CCMSLIB00001058234	Pesticide3_Chlorotoluron_C10H13ClN2O_Urea, N'-(3-chloro-4-methylphenyl)-N,N-dimethyl- M+H	CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl	0			1+	NA	213.079
CCMSLIB00001058699	Pesticide4_Imazalil_C14H14Cl2N2O_Freshgard M+H	C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl	0			1+	NA	297.055
CCMSLIB00001059031	Pesticide7_Spirodiclofen_C21H24Cl2O4_Butanoic acid, 2,2-dimethyl-, 3-(2,4-dichlorophenyl)-2-oxo-1-oxaspiro[4.5]dec-3-en-4-yl ester M+H	CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)C3=C(C=C(C=C3)Cl)Cl	0			1+	NA	411.112
CCMSLIB00001058562	Pesticide4_Rotenone_C23H22O6_Furo[2',3':7,8][1]benzopyrano[2,3-c][1]benzopyran-6(6aH)-one, 1,2,12,12a-tetrahydro-8,9-dimethoxy-2-(1-methylethenyl)-, (2R,6aS,12aS)- M+H	CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC	0			1+	NA	395.149
CCMSLIB00001058249	Pesticide3_Diethofencarb_C14H21NO4_Powmil M+H	CCOC1=C(C=C(C=C1)NC(=O)OC(C)C)OCC	0			1+	NA	268.154
CCMSLIB00001058252	Pesticide3_Cycluron_C11H22N2O_3-Cyclooctyl-1,1-dimethylurea M+H	CN(C)C(=O)NC1CCCCCCC1	0			1+	NA	199.18
CCMSLIB00001058258	Pesticide3_Linuron_C9H10Cl2N2O2_Urea, N'-(3,4-dichlorophenyl)-N-methoxy-N-methyl- M+H	CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC	0			1+	NA	249.019
CCMSLIB00001058703	Pesticide4_Metalaxyl_C15H21NO4_N-(2,6-Dimethylphenyl)-N-(methoxyacetyl)-DL-alanine methyl ester M+Na	CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC	0			1+	NA	302.136
CCMSLIB00001058263	Pesticide3_Iprovalicarb Isomer 1*_C18H28N2O3_Isopropyl [(2S)-3-methyl-1-{[1-(4-methylphenyl)ethyl]amino}-1-oxo-2-butanyl]carbamate M+Na	CC1=CC=C(C=C1)C(C)NC(=O)C(C(C)C)NC(=O)OC(C)C	0			1+	NA	343.199
CCMSLIB00001058266	Pesticide3_Bifenazate_C17H20N2O3_1-Methylethyl 2-(4-methoxybiphenyl-3-yl)hydrazinecarboxylate M+H	CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC	0			1+	NA	301.154
CCMSLIB00001058778	Pesticide4_Mepanipyrim_C14H13N3_ M+H	CC#CC1=CC(=NC(=N1)NC2=CC=CC=C2)C	0			1+	NA	224.118
CCMSLIB00001058273	Pesticide3_Chloroxuron_C15H15ClN2O2_Urea, N'-[4-(4-chlorophenoxy)phenyl]-N,N-dimethyl- M+H	CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl	0			1+	NA	291.089
CCMSLIB00001058659	Pesticide4_Moxidectin_C37H53NO8_(1'R,2R,4Z,4'S,5S,6S,8'R,10'E,13'R,14'E,16'E,20'R,21'R,24'S)-21',24'-Dihydroxy-4-(methoxyimino)-5,11',13',22'-tetramethyl-6-[(2E)-4-methyl-2-penten-2-yl]-3,4,5,6-tetrahydro-2'H-spiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-2'-one M+Na	CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C	0			1+	NA	662.366
CCMSLIB00001058279	Pesticide3_Neburon_C12H16Cl2N2O_Urea, N-butyl-N'-(3,4-dichlorophenyl)-N-methyl- M+H	CCCCN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl	0			1+	NA	275.071
CCMSLIB00001058281	Pesticide3_Pyraclostrobin_C19H18ClN3O4_Methyl [2-({[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy}methyl)phenyl]methoxycarbamate M+H	COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC	0			1+	NA	388.106
CCMSLIB00001058284	Pesticide10_Carbendazim_C9H9N3O2_mecarzole M+H	COC(=O)NC1=NC2=CC=CC=C2N1	0			1+	NA	192.076
CCMSLIB00001058286	Pesticide3_Pyraclostrobin_C19H18ClN3O4_Methyl [2-({[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy}methyl)phenyl]methoxycarbamate M+Na	COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC	0			1+	NA	410.088
CCMSLIB00001059008	Pesticide4_Avermectin B1b_C48H72O14_(1'R,2S,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-2-Butanyl]-21',24'-dihydroxy-5,11',13',22'-tetramethyl-2'-oxo-5,6-dihydrospiro[pyran-2,6'-[3,7,19]trioxatetracyclo[15.6.1.1~4,8~.0~20,24~]pentacosa[10,14,16,22]tetraen]-12'-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)-3-O-methyl-alpha-L-arabino-hexopyranoside M+Na	CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C	0			1+	NA	895.481
CCMSLIB00001058290	Pesticide3_Thiobencarb_C12H16ClNOS_S-(4-Chlorobenzyl) diethylcarbamothioate M+H	CCN(CC)C(=O)SCC1=CC=C(C=C1)Cl	0			1+	NA	258.071
CCMSLIB00001058684	Pesticide1_Dicrotophos_C8H16NO5P_(2E)-4-(Dimethylamino)-4-oxo-2-buten-2-yl dimethyl phosphate M+H	CC(=CC(=O)N(C)C)OP(=O)(OC)OC	0			1+	NA	238.084
CCMSLIB00001058294	Pesticide3_Indoxacarb_C22H17ClF3N3O7_Methyl (4aS)-7-chloro-2-{(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]carbamoyl}-2,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a(3H)-carboxylate M+H	COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl	0			1+	NA	528.078
CCMSLIB00001058296	Pesticide2_Aldicarb sulfone_C7H14N2O4S_Propanal, 2-methyl-2-(methylsulfonyl)-, O-[(methylamino)carbonyl]oxime, (1E)- M+Na	CC(C)(C=NOC(=O)NC)S(=O)(=O)C	0			1+	NA	245.056
CCMSLIB00001058789	Pesticide4_Picoxystrobin_C18H16F3NO4_Acanto M+H	COC=C(C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)C(=O)OC	0			1+	NA	368.11
CCMSLIB00001058301	Pesticide9_Propamocarb_C9H20N2O2_Propyl [3-(dimethylamino)propyl]carbamate M+H	CCCOC(=O)NCCCN(C)C	0			1+	NA	189.159
CCMSLIB00001058307	Pesticide9_Aminocarb_C11H16N2O2_4-(Dimethylamino)-3-methylphenyl methylcarbamate M+H	CC1=C(C=CC(=C1)OC(=O)NC)N(C)C	0			1+	NA	209.128
CCMSLIB00001058630	Pesticide1_Omethoate_C5H12NO4PS_ M+H	CNC(=O)CSP(=O)(OC)OC	0			1+	NA	214.029
CCMSLIB00001058314	Pesticide9_Mexacarbate_C12H18N2O2_4-(Dimethylamino)-3,5-dimethylphenyl methylcarbamate M+H	CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC	0			1+	NA	223.144
CCMSLIB00001058762	Pesticide5_Simetryn_C8H15N5S_Ethanamine, N,N'-[6-(methylthio)-1,3,5-triazine-2,4(1H,3H)-diylidene]bis- M+H	CCNC1=NC(=NC(=N1)SC)NCC	0			1+	NA	214.112
