spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00000479754	Xanthine M-H	N/A	0			1+	NA	151.025
CCMSLIB00000577881	NAD M+H	O=P([O-])(OP(O)(OCC1C(O)C(O)C(N2C=NC3=C2N=CN=C3N)O1)=O)OCC(O4)C(O)C(O)C4[N+]5=CC=CC(C(N)=O)=C5	0			0+	NA	664.12
CCMSLIB00000577910	L-ASPARAGINE M+H	O=C(N)CC(N)C(=O)O	0			0+	NA	133.06
CCMSLIB00000577883	HYPOTAURINE M+H	C(CS(=O)O)N	0			0+	NA	110.03
CCMSLIB00000577884	L-THREONINE M+H	O=C(O)C(N)C(O)C	0			0+	NA	120.07
CCMSLIB00000577904	CREATINE M+H	CN(CC(=O)O)C(=N)N	0			0+	NA	132.08
CCMSLIB00000577886	N-ACETYLNEURAMINATE M+H	CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O	0			0+	NA	310.11
CCMSLIB00000578316	THIOPURINE S-METHYLETHER M-H	CSc1c2nc[nH]c2ncn1	0			0+	NA	165.024
CCMSLIB00000577888	PYRIMIDINE M+H	n1cccnc1	0			0+	NA	81.045
CCMSLIB00000577889	L-ISOLEUCINE M+H	O=C(O)C(N)C(C)CC	0			0+	NA	132.1
CCMSLIB00000577890	QUINATE M+H	O=C(O)C1(O)C[C@@H](O)C(O)[C@H](O)C1	0			0+	NA	193.07
CCMSLIB00000578041	L-ALLOTHREONINE M+H	CC(C(C(=O)O)N)O	0			0+	NA	120.07
CCMSLIB00000577892	MALONATE M+H	C(C(=O)O)C(=O)O	0			0+	NA	105.02
CCMSLIB00000577893	L-METHIONINE M+H	CSCCC(C(=O)O)N	0			0+	NA	150.06
CCMSLIB00000577894	ADENINE M+H	C1=NC2=C(N1)C(=NC=N2)N	0			0+	NA	136.06
CCMSLIB00000577895	5'-METHYLTHIOADENOSINE M+H	CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O	0			0+	NA	298.1
CCMSLIB00000577896	L-ALANINE M+H	C(=O)([C@@H](C)N)O	0			0+	NA	90.06
CCMSLIB00000577897	L-TRYPTOPHAN M+H	c1cccc2c1c(c[nH]2)C[C@@H](N)C(=O)O	0			0+	NA	205.1
CCMSLIB00000577898	L-PROLINE M+H	O=C(O)C1NCCC1	0			0+	NA	116.07
CCMSLIB00000577899	URIDINE M+H	C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O	0			0+	NA	245.08
CCMSLIB00000578064	2-HYDROXYPYRIDINE M+H	O=C1/C=C\C=C/N1	0			0+	NA	96.04
CCMSLIB00000578107	L-ISOLEUCINE M-H	O=C(O)C(N)C(C)CC	0			0+	NA	130.087
CCMSLIB00000578205	N-ACETYLGLYCINE M-H	O=C(NCC(=O)O)C	0			0+	NA	116.035
CCMSLIB00000577934	SELENOMETHIONINE M+H	C[Se]CCC(C(=O)O)N	0			0+	NA	198.0
CCMSLIB00000577905	"""3,4-DIHYDROXY-L-PHENYLALANINE"" M+H"	C1=CC(=C(C=C1CC(C(=O)O)N)O)O	0			0+	NA	198.08
CCMSLIB00000578174	GALACTITOL M-H	C(C(C(C(C(CO)O)O)O)O)O	0			0+	NA	181.071
CCMSLIB00000577907	"""5,6-DIHYDROURACIL"" M+H"	C1CNC(=O)NC1=O	0			0+	NA	115.05
CCMSLIB00000578261	"""2,4-DIHYDROXYPTERIDINE"" M-H"	O=C2c1nccnc1NC(=O)N2	0			0+	NA	163.026
CCMSLIB00000577909	L-TYROSINE M+H	O=C(O)C(N)Cc1ccc(O)cc1	0			0+	NA	182.08
CCMSLIB00000577929	D-TRYPTOPHAN M+H	c1cccc2c1c(c[nH]2)C[C@@H](N)C(=O)O	0			0+	NA	205.1
CCMSLIB00000577912	GUANINE M+H	C1=NC2=C(N1)C(=O)N=C(N2)N	0			0+	NA	152.06
CCMSLIB00000577913	HOMOSERINE M+H	C(CO)C(C(=O)O)N	0			0+	NA	120.07
CCMSLIB00000578091	D-GULONIC ACID GAMA-LACTONE M+H	O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO	0			0+	NA	179.06
CCMSLIB00000577915	DAMP M+H	C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O	0			0+	NA	332.08
CCMSLIB00000577935	D-(+)-GLUCOSAMINE M+H	C(C1C(C(C(C(O1)O)N)O)O)O	0			0+	NA	180.09
