spectrum_id	compound_name	smiles	collision_energy	instrument	ion_source	charge	adduct	precursormz
CCMSLIB00005464607	ADENOSINE TRIPHOSPHATE M-H	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	0			1-	NA	505.988
CCMSLIB00005464592	GLYCOCHOLATE M-H2O+H	[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C	0			1+	NA	448.305
CCMSLIB00005463932	VALINE M-H2O+H	CC(C)[C@H](N)C(O)=O	0			1+	NA	100.075
CCMSLIB00005464606	"""3,5-DIIODO-L-TYROSINE"" M-H"	N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O	0			1-	NA	431.86
CCMSLIB00005464532	COENZYME A M-H	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS	0			1-	NA	766.108
CCMSLIB00005464612	DTDP-D-GLUCOSE M-H	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)C(=O)NC1=O	0			1-	NA	563.068
CCMSLIB00005464381	GLUCOSAMINATE M+Na	C(C(C(C(C(C(=O)O)N)O)O)O)O	0			1+	NA	218.064
CCMSLIB00005464608	S-ADENOSYLHOMOCYSTEINE M+H	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O	0			1+	NA	385.129
CCMSLIB00005464542	FOLATE M-H	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	0			1-	NA	440.132
CCMSLIB00005464574	DIDECANOYL-GLYCEROPHOSPHOCHOLINE M+Na	CCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC	0			1+	NA	588.364
CCMSLIB00005464569	INOSINE MONOPHOSPHATE M+Na	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O	0			1+	NA	371.036
CCMSLIB00005464591	GLYCOCHOLATE M+H	[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C	0			1+	NA	466.316
CCMSLIB00005464582	URIDINE MONOPHOSPHATE M+H	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O	0			1+	NA	325.043
CCMSLIB00005464614	AICAR M+H	NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	0			1+	NA	339.07
CCMSLIB00005464611	GUANOSINE DIPHOSPHATE MANNOSE M-H	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C(=O)N1	0			1-	NA	604.07
CCMSLIB00005464593	GLYCOCHOLATE M+Na	[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C	0			1+	NA	488.298
CCMSLIB00005464502	"""3,5-DIIODO-L-THYRONINE"" M-H"	NC(CC1=CC(I)=C(OC2=CC=C(O)C=C2)C(I)=C1)C(O)=O	0			1-	NA	523.886
CCMSLIB00005464578	THYROTROPIN RELEASING HORMONE M+Na	C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N	0			1+	NA	385.159
CCMSLIB00005463595	BENZYL ALCOHOL M+H	OCC1=CC=CC=C1	0			1+	NA	109.065
CCMSLIB00005463618	3-METHYL-2-OXOVALERATE 2M+Na	CCC(C)C(=O)C(O)=O	0			1+	NA	283.115
CCMSLIB00005464554	CYCLIC AMP M+H	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O	0			1+	NA	330.06
CCMSLIB00005464587	S-ADENOSYLMETHIONINE M+H	C[S+](C[C@H]1O[C@@H](N2C=NC3=C(N=CN=C23)N)[C@@H]([C@@H]1O)O)CC[C@@H](C([O-])=O)N	0			1+	NA	399.145
CCMSLIB00005464460	N-ACETYLNEURAMINATE M+H	CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O	0			1+	NA	310.113
CCMSLIB00005464480	SACCHARATE M+Na	OC(C(O)C(O)C(O)=O)C(O)C(O)=O	0			1+	NA	233.027
CCMSLIB00005464609	S-ADENOSYLHOMOCYSTEINE M+Na	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O	0			1+	NA	407.111
CCMSLIB00005464123	URATE M+H	O=C1NC2=C(N1)C(=O)NC(=O)N2	0			1+	NA	169.036
CCMSLIB00005463992	PANTOLACTONE 2M+Na	CC1(C)COC(=O)C1O	0			1+	NA	283.115
CCMSLIB00005464404	DEOXYCYTIDINE MONOPHOSPHATE M+H	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	0			1+	NA	308.064
CCMSLIB00005464231	SEROTONIN M+Na	C1=CC2=C(C=C1O)C(=CN2)CCN	0			1+	NA	199.084
CCMSLIB00005463886	OMEGA-HYDROXYDODECANOATE M+H	OCCCCCCCCCCCC(O)=O	0			1+	NA	217.18
