row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260624_CVOL_Darleen_A549_110626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_110626_untreated.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_180626_untreated.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_210626_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PS100.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_B_120626_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML Peak area,20260624_CVOL_Darleen_QC_01.mzML Peak area,20260624_CVOL_Darleen_QC_02.mzML Peak area,20260624_CVOL_Darleen_QC_03.mzML Peak area,20260624_CVOL_Darleen_QC_04.mzML Peak area,20260624_CVOL_Darleen_QC_05.mzML Peak area,20260624_CVOL_Darleen_QC_06.mzML Peak area,20260624_CVOL_Darleen_QC_07.mzML Peak area,20260624_CVOL_Darleen_QC_08.mzML Peak area,20260624_CVOL_Darleen_QC_09.mzML Peak area,20260624_CVOL_Darleen_bk.mzML Peak area,20260624_CVOL_Darleen_mock.mzML Peak area,20260624_CVOL_bk_mapp_pre_04.mzML Peak area,Unnamed: 55
1,283.14343617504306,0.48865008,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3199669.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,239.10609833946936,0.5011868,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716472.8,3658862.2,0.0,0.0,1240727.1,0.0,21930578.0,11523715.0,45334584.0,17296836.0,0.0,6621195.0,1594185.6,3437220.0,0.0,4882533.5,5079299.0,4975623.0,5243102.5,5230361.0,5136592.5,4976042.5,4667088.0,4990749.0,0.0,0.0,0.0,
3,258.1102161955351,0.50216275,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4756894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,173.1285039460811,0.50807905,height,,,,,,,,,,,0.0,1590943.5,0.0,1882829.0,0.0,0.0,1472738.6,0.0,0.0,0.0,6148178.0,0.0,0.0,5160984.5,3046765.0,0.0,0.0,0.0,7061530.5,0.0,0.0,1377370.8,0.0,0.0,1575582.5,0.0,0.0,0.0,0.0,0.0,1341507.1,1279938.2,0.0,1236910.2,1454975.9,1423259.9,1718519.1,1614217.1,1801056.4,0.0,0.0,0.0,
5,261.0880920094228,0.50712436,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3832319.2,1443840.1,8234532.0,5202635.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,138.05504042699874,0.51306057,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,162.11255682162954,0.51306057,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4847316.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,204.1232061230845,0.52337897,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3518130.0,0.0,0.0,3202275.2,1873467.8,0.0,1221590.4,0.0,3978776.5,0.0,0.0,1787470.9,0.0,1094739.4,2490963.0,0.0,0.0,0.0,0.0,0.0,1108011.9,0.0,0.0,0.0,0.0,0.0,1181781.4,0.0,0.0,0.0,0.0,0.0,
9,187.14420705001967,0.52173716,height,,,,,,,,,,,2527908.8,5967170.0,4561899.5,7192591.5,5122665.0,3516002.5,5800273.0,0.0,3664890.5,2922047.5,15812030.0,4530655.5,1320085.4,14251349.0,9833197.0,3074933.2,4624254.0,2611038.8,19516266.0,2085777.8,0.0,4798880.5,2376666.0,1863297.1,5550342.0,4234979.5,0.0,2654769.2,2322108.0,1731195.0,4533059.5,4407832.5,4398149.0,4450191.5,4881626.0,4646792.0,5508390.0,5561002.5,5445744.0,0.0,2521589.0,0.0,
10,216.1232490540893,0.5239706,height,,,,,,,,,,,0.0,1344447.0,0.0,1522967.4,0.0,0.0,1176516.9,0.0,0.0,0.0,5274844.5,0.0,0.0,4791526.5,2640797.0,0.0,0.0,0.0,5971022.5,0.0,0.0,1247075.0,0.0,0.0,1416142.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106288.8,0.0,0.0,0.0,0.0,0.0,
11,238.1050825930636,0.52957934,height,,,,,,,,,,,0.0,0.0,0.0,1182826.6,1187995.2,0.0,0.0,0.0,0.0,0.0,5800342.5,0.0,0.0,5717668.0,2792726.8,0.0,0.0,0.0,6407178.5,0.0,0.0,1679054.1,0.0,0.0,2474202.2,0.0,0.0,0.0,0.0,0.0,1290370.8,0.0,1263286.9,0.0,0.0,0.0,1210042.8,0.0,0.0,0.0,0.0,0.0,
12,121.03986204584322,0.5273011,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419300.0,0.0,0.0,
13,139.0502720405685,0.5273011,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4110785.0,0.0,0.0,
14,256.17547038788973,0.53618443,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1174231.9,0.0,0.0,0.0,0.0,0.0,0.0,1325116.1,0.0,0.0,0.0,0.0,0.0,1366785.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684623.4,1341054.8,0.0,1210463.1,1239997.0,1203921.4,0.0,1286159.5,0.0,1336942.1,1161230.4,1353858.6,2465637.5,0.0,0.0,
15,233.1859403291793,0.5293649,height,,,,,,,,,,,3367993.8,4820369.0,2376268.5,3932886.2,4147258.8,3468598.8,4768411.0,0.0,2304306.0,3724805.8,5640256.5,2718596.2,1666438.1,5057262.5,5799147.0,3274347.5,3132300.0,3215230.5,4157398.0,2004227.8,0.0,3325061.5,2433097.2,2397667.0,3315004.8,1916793.6,1236441.1,2863347.2,2949137.0,2698326.5,2782342.5,3082261.5,2659977.2,3109535.8,3109930.2,3400407.8,3940130.5,3854242.0,4050831.5,1551028.0,1890718.6,0.0,
16,240.18054065083845,0.5339212,height,,,,,,,,,,,0.0,0.0,1939865.9,0.0,1597640.8,2250101.5,1807332.5,1860801.9,1649089.9,0.0,0.0,2706549.2,2618349.2,0.0,0.0,1691460.5,0.0,2608815.0,0.0,2055250.0,0.0,0.0,0.0,0.0,0.0,1732969.1,0.0,1691665.2,1682644.6,1819063.1,1080418.2,0.0,1201501.6,0.0,0.0,1510252.0,1526315.9,1593597.9,1904859.4,3986190.5,2396365.8,0.0,
