CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1164	1235	-200.177	0.000	0.7339	0.6652	1
1164	1274	-200.177	0.000	0.7302	0.6470	1
1165	1193	-0.000	0.000	0.7840	0.4328	1
1165	1319	-14.016	0.000	0.8066	0.4971	1
1166	1190	0.000	0.000	0.8865	0.7565	1
1166	1194	-42.011	0.000	0.8039	0.5953	1
1166	1219	-105.083	0.000	0.8233	0.7708	1
1166	1233	-123.093	0.000	0.7928	0.7316	1
1166	1262	-10.968	0.000	0.7744	0.7480	1
1166	1269	17.063	0.000	0.8196	0.7584	1
1166	1277	-105.083	0.000	0.8214	0.7501	1
1166	1278	3.047	0.000	0.8084	0.7318	1
1166	1280	-139.088	0.000	0.7125	0.6251	1
1166	1302	-14.016	0.000	0.8061	0.6440	1
1166	1306	-121.077	0.000	0.7474	0.6714	1
1166	1318	-14.016	0.000	0.8151	0.6664	1
1166	1389	-28.033	0.000	0.8901	0.7579	1
1166	1392	-28.033	0.000	0.8428	0.7368	1
1166	1431	-28.032	0.000	0.8914	0.7899	1
1166	1502	-63.072	0.000	0.7314	0.5620	1
1166	1534	-53.051	0.000	0.8296	0.7913	1
1166	1572	-53.052	0.000	0.8324	0.8020	1
1166	1603	-79.067	0.000	0.8087	0.7654	1
1166	1643	-79.066	0.000	0.8345	0.8005	1
1166	1700	-105.082	0.000	0.8175	0.7609	1
1166	1704	-67.067	0.000	0.7310	0.7469	1
1166	1731	-105.083	0.000	0.7177	0.6514	1
1166	1836	-81.082	0.000	0.7998	0.6680	1
1166	1849	-107.098	0.000	0.8343	0.7836	1
1166	1887	-81.083	0.000	0.8252	0.7501	1
1166	1912	-125.110	0.000	0.7769	0.7302	1
1166	1914	-107.098	0.000	0.8116	0.7308	1
1166	1965	-108.102	0.000	0.7794	0.7594	1
1166	1971	-107.099	0.000	0.8216	0.7518	1
1167	1209	-199.157	0.000	0.9129	0.4136	1
1167	1373	-183.162	0.000	0.9177	0.4409	1
1167	1990	-108.131	0.000	0.8988	0.4098	1
1167	3140	-74.927	0.000	0.9391	0.5666	1
1168	1210	11.963	0.000	0.7516	0.7047	1
1170	1175	120.069	0.000	0.8502	0.3290	1
1170	1214	119.072	0.000	0.7865	0.3193	1
1170	1222	12.995	0.000	0.8453	0.4332	1
1170	1235	8.964	0.000	0.7415	0.3230	1
1170	1237	165.116	0.000	0.7818	0.3462	1
1170	1298	190.277	0.000	0.8327	0.3215	1
