feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
3484	318	Fatty acids	0.3333333333333333	Fatty Acids and Conjugates	0.3333333333333333	Unsaturated fatty acids	0.3333333333333333	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q422634	QZZGJDVWLFXDLK-UHFFFAOYSA-N	InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)	CCCCCCCCCCCCCCCCCCCCCCCC(=O)O	C24H48O2	pos_2MHCH3CN	368.3654307759999	Tetracosanoic acid	QZZGJDVWLFXDLK	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7	3	8.5	1
3483	10	Fatty acids	0.16842105263157894	Glycerophospholipids	0.1368421052631579	Glycerophosphoethanolamines	0.06315789473684211	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27161942	MDCUASFVKLEFPW-AXYZMXSISA-N	InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h16,19,25,27,52H,4-15,17-18,20-24,26,28-51H2,1-3H3/b19-16-,27-25-/t52-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	C55H102O6	pos_1_1proton1ethylamine	858.767640984	TG(16:0/18:0/18:2(9Z,12Z))[iso6]	MDCUASFVKLEFPW	Fatty acids	Glycerolipids	Triacylglycerols	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7	1	7.5	1
3452	10	Fatty acids	0.16842105263157894	Glycerophospholipids	0.1368421052631579	Glycerophosphoethanolamines	0.06315789473684211	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27161942	MDCUASFVKLEFPW-AXYZMXSISA-N	InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h16,19,25,27,52H,4-15,17-18,20-24,26,28-51H2,1-3H3/b19-16-,27-25-/t52-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	C55H102O6	pos_1_1proton1ammonium	858.767640984	TG(16:0/18:0/18:2(9Z,12Z))[iso6]	MDCUASFVKLEFPW	Fatty acids	Glycerolipids	Triacylglycerols	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7	1	7.5	1
3449	318	Fatty acids	0.3333333333333333	Fatty Acids and Conjugates	0.3333333333333333	Unsaturated fatty acids	0.3333333333333333	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q414231	GWHCXVQVJPWHRF-KTKRTIGZSA-N	InChI=1S/C24H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h9-10H,2-8,11-23H2,1H3,(H,25,26)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O	C24H46O2	pos_2MHNH3	366.349780712	Nervonic acid	GWHCXVQVJPWHRF	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7	3	8.5	1
3432	318	Fatty acids	0.3333333333333333	Fatty Acids and Conjugates	0.3333333333333333	Unsaturated fatty acids	0.3333333333333333	1.0	0.28764236	ISDB									GOVPHPDMLRTVEF							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.1505694389343262	1
3430	10	Fatty acids	0.16842105263157894	Glycerophospholipids	0.1368421052631579	Glycerophosphoethanolamines	0.06315789473684211	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27161942	MDCUASFVKLEFPW-AXYZMXSISA-N	InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h16,19,25,27,52H,4-15,17-18,20-24,26,28-51H2,1-3H3/b19-16-,27-25-/t52-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	C55H102O6	pos_1_1proton1acetonitrile	858.767640984	TG(16:0/18:0/18:2(9Z,12Z))[iso6]	MDCUASFVKLEFPW	Fatty acids	Glycerolipids	Triacylglycerols	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7	1	7.5	1
3410	10	Fatty acids	0.16842105263157894	Glycerophospholipids	0.1368421052631579	Glycerophosphoethanolamines	0.06315789473684211	1.0	0.22277202	ISDB	http://www.wikidata.org/entity/Q105028596	HHURHFHNEVCPBD-PORBNOOBSA-N	InChI=1S/C45H70O20/c1-17-16-58-45(12-24(17)49)18(2)30-25(65-45)10-23-21-6-5-19-9-20(7-8-43(19,3)22(21)11-29(50)44(23,30)4)59-40-37(57)35(55)38(28(15-48)62-40)63-42-39(34(54)32(52)27(14-47)61-42)64-41-36(56)33(53)31(51)26(13-46)60-41/h5,17-18,20-28,30-42,46-49,51-57H,6-16H2,1-4H3/t17-,18+,20+,21-,22+,23+,24?,25+,26-,27-,28-,30+,31-,32-,33+,34+,35-,36-,37-,38+,39-,40-,41+,42+,43+,44-,45-/m1/s1	C[C@@H]1CO[C@]2(CC1O)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC(=O)[C@]3(C)[C@H]1[C@@H]2C	C45H70O20		930.44604464	Kingianoside I	HHURHFHNEVCPBD	Terpenoids	Steroids	Spirostane steroids	http://www.wikidata.org/entity/Q12840920	Polygonatum kingianum	676684.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asparagales']	['Asparagaceae']	['Unknown']	['Polygonatum']	['Polygonatum kingianum']		['Eukaryota']									1	0	1.89108806848526	1
3398	318	Fatty acids	0.3333333333333333	Fatty Acids and Conjugates	0.3333333333333333	Unsaturated fatty acids	0.3333333333333333	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q422590	UKMSUNONTOPOIO-UHFFFAOYSA-N	InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)	CCCCCCCCCCCCCCCCCCCCCC(=O)O	C22H44O2	pos_2MHCH3CN	340.3341306479999	Docosanoic acid	UKMSUNONTOPOIO	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7	3	8.5	1
3395	104	Fatty acids	0.18181818181818182	Fatty esters	0.18181818181818182	Fatty acyl CoAs	0.18181818181818182	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27123069	OMKFKBGZHNJNEX-PQBHNYBOSA-N	InChI=1S/C39H64N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h5-6,8-9,11-12,26-28,32-34,38,49-50H,4,7,10,13-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/b6-5-,9-8-,12-11-/t28-,32-,33-,34+,38-/m1/s1	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	C39H64N7O17P3S	pos_2MFe	1027.329224478	alpha-Linolenoyl-CoA	OMKFKBGZHNJNEX	Fatty acids	Fatty esters	Fatty acyl CoAs	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7	3	8.5	1
3395	104	Fatty acids	0.18181818181818182	Fatty esters	0.18181818181818182	Fatty acyl CoAs	0.18181818181818182	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27089490	XZQYPTBYQYZGRU-FHDVEODPSA-N	InChI=1S/C39H64N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h8-9,11-12,14-15,26-28,32-34,38,49-50H,4-7,10,13,16-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/b9-8-,12-11-,15-14-/t28-,32-,33-,34+,38-/m1/s1	CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	C39H64N7O17P3S	pos_2MFe	1027.329224478	gamma-Linolenoyl-CoA	XZQYPTBYQYZGRU	Fatty acids	Fatty esters	Fatty acyl CoAs	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7	3	8.5	1
