"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
1358	"NA_[1358_502.34_5]"	1.59630090258368	-0.0528875501190728	-0.117545904373711
2519	"NA_[2519_748.62_8.3]"	1.56669961668391	-0.0765406810189472	-0.0850240211185929
715	"Eerectquione B_[715_502.32_2.8]"	1.50645825284368	-0.0742563587640342	-0.0818132425070569
724	"NA_[724_147.08_2.8]"	1.49910499871333	-0.0629460323518678	-0.0885972749993325
720	"Eerectquione B_[720_485.29_2.8]"	1.49478823951659	-0.0685172453311734	-0.0922369642016047
718	"NA_[718_487.3_2.8]"	1.49387604739685	-0.0667154842712437	-0.0907677012161802
2259	"NA_[2259_812.62_7.6]"	1.48175546697997	-0.0589600717971181	-0.108133866126583
2090	"PC(22:1(11Z)/12:0)_[2090_760.59_7.1]"	1.46488450867839	-0.0481636835840067	0.0838358459071202
732	"NA_[732_503.32_2.8]"	1.44167886831682	-0.0718535260609638	-0.0755671419365014
709	"Talarazine A_[709_486.29_2.8]"	1.44032335451002	-0.0627378064721168	-0.0940841814921213
947	"NA_[947_507.27_3.6]"	1.42287948001496	-0.0474164411839353	0.0828170557253814
823	"Eerectquione B_[823_523.25_3.1]"	1.41481896577516	-0.0514438057435112	0.0884725079700907
710	"NA_[710_467.28_2.8]"	1.40546563839716	-0.0614405573262909	-0.0929504884634299
634	"NA_[634_483.27_2.5]"	1.38707061097873	-0.0716525612040272	-0.0612189953393904
714	"NA_[714_149.1_2.8]"	1.38604400467884	-0.0723856777606334	-0.0615677892563978
1889	"batzelladine A_[1889_790.57_6.7]"	1.37163234364828	-0.0723860436027615	-0.0604627975469729
1542	"NA_[1542_705.59_5.8]"	1.36664322996282	-0.0447442682335176	0.0762893932447623
711	"NA_[711_337.2_2.8]"	1.34248202361287	-0.0625002239609797	-0.0814013135705071
2196	"PC(P-18:1(9Z)/18:1(9Z))_[2196_770.61_7.5]"	1.33920288324459	-0.0474078252078738	0.0847689287689773
965	"Eerectquione B_[965_485.29_3.5]"	1.33752427600823	-0.0393280366380147	0.0764417382102819
721	"NA_[721_189.11_2.8]"	1.33512984416713	-0.0684691431192808	-0.0535915470395086
2122	"NA_[2122_794.57_7.2]"	1.32762064984183	-0.0668022791819762	0.0385580081211661
853	"Eerectquione B_[853_485.29_3.3]"	1.32143870431465	-0.0564527691197494	0.0664514930903203
1899	"NA_[1899_768.55_6.7]"	1.31006163692312	-0.0590950634956903	-0.0714775267321855
819	"Eerectquione B_[819_485.29_3.1]"	1.30449995130143	-0.0413241340689552	0.0758507751208925
818	"NA_[818_337.2_3.1]"	1.30051126611502	-0.0389742490428477	0.0785316033251564
85	"NA_[85_262.24_0.6]"	1.29347388273546	-0.0624743853361708	0.0168032550377124
1781	"NA_[1781_766.57_6.4]"	1.29081987326953	-0.0441450568821508	0.0895141662878336
2019	"1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine zwitterion_[2019_792.55_7]"	1.28904156351052	-0.0683853434436698	-0.0433477059769806
1036	"NA_[1036_418.33_3.8]"	1.28884472929879	-0.0528470805004027	-0.095400627118052
1541	"NA_[1541_706.59_5.8]"	1.28489849082803	-0.0439398301046027	0.0729328734042348
966	"Eerectquione B_[966_502.32_3.6]"	1.28312973396622	-0.0374201383824371	0.0721481422813989
809	"Eerectquione B_[809_502.32_3.1]"	1.26679034191307	-0.0332978020231839	0.0726548725054383
2015	"NA_[2015_793.56_7]"	1.26335235285205	-0.0691708910517908	-0.0361620494055677
854	"Eerectquione B_[854_502.32_3.3]"	1.2597875120626	-0.0534342305817571	0.0618981574635416
1924	"NA_[1924_724.53_6.8]"	1.25648309499208	-0.0475758195516326	0.0736878315185602
159	"NA_[159_318.3_0.8]"	1.25634399838899	-0.0599844914185573	0.0334023503342921
2442	"NA_[2442_788.67_8.1]"	1.25632560125446	-0.0700048560805571	-0.00559202793610526
115	"7R-hydroxy-hexadecanoic acid_[115_290.27_0.7]"	1.25515079794778	-0.0612145169124721	0.0219353092879164
385	"NA_[385_314.34_1.5]"	1.25504603337327	-0.0631846048330762	0.019733568739277
181	"NA_[181_288.29_0.9]"	1.25472339953612	-0.0601489632979295	0.03186303998797
1846	"PC(17:1(9Z)/17:1(9Z))_[1846_780.55_6.6]"	1.25186630289226	-0.0695553984742796	0.0282889488719818
1615	"NA_[1615_780.55_6.1]"	1.25119991375625	-0.0431370117114285	0.0855817182369265
1916	"1-hexadecyl-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl]-sn-glycero-3-phosphocholine_[1916_792.59_6.8]"	1.24731680284757	-0.048335608355097	0.0764085523373654
2069	"PC(12:0/22:1(11Z))_[2069_782.57_7.1]"	1.24679631804138	-0.0377725811503076	-0.0798909039674995
1903	"NA_[1903_747.57_6.8]"	1.24511547176592	-0.0618190127697106	0.045308114966415
117	"11-dodecen-1-ol_[117_202.22_0.7]"	1.24023641994112	-0.064113392677722	0.0200497765014056
1669	"NA_[1669_764.52_6.2]"	1.23970541564654	-0.0683129349696781	0.0445571170132857
729	"Diapolic acid A_[729_153.09_2.8]"	1.23894377671461	-0.0665137234978775	-0.0464915306328649
162	"NA_[162_319.3_0.8]"	1.23673338137162	-0.0603920344284911	0.0252886391355568
1892	"NA_[1892_790.57_6.7]"	1.22965078746137	-0.0574127484875884	0.0558480714190446
2890	"NA_[2890_648.63_9.3]"	1.22281737827312	-0.0630695776253216	0.0160233879869009
1393	"NA_[1393_496.45_5.2]"	1.22269112846827	-0.0474245968322973	-0.106169822870116
3060	"NA_[3060_650.65_9.6]"	1.21986667543462	-0.0491822099184954	0.0564172351327576
2096	"dioleoyl phosphatidylethanolamine_[2096_744.56_7.2]"	1.21517976954123	-0.0692897838975456	0.00037702497690324
429	"NA_[429_339.3_1.7]"	1.21435486180054	-0.0551907630905061	-0.0746047084044102
