"features"	"LV1"	"LV2"
1	-0.0016393413929587	-0.00383864339769771
10	-0.00605232838805452	-0.0348778638216214
100	-0.0274509698699518	-0.0150632664280021
1000	-0.0208432468028168	-0.00749174797466202
1001	-0.0258924857707852	0.001360203208954
1002	-0.0210217139189901	0.00375232690597274
1003	-0.0212100952845943	0.0110291480706005
1004	-0.0230933326741934	0.0166077495733261
1005	-0.0240316215534193	0.00841000764899301
1006	-0.0116984236788666	0.0383209243942075
1007	-0.0043427576086106	-0.0358569311851199
1008	-0.0264380145568529	-0.0243291571912833
1009	-0.0133641655481472	0.0277262745790049
101	-0.0257144417719816	-0.020139326932666
1010	-0.00604081120977642	-0.0380685918211653
1011	-0.0120217612276602	0.0240815792534082
1012	-0.0158973485162498	0.0299825761881308
1013	-0.0144909050238501	0.0281050667617549
1014	-0.0134056204567631	0.0250136605741607
1015	-0.027867579047983	-0.0126353232258263
1016	-0.0162251793459722	0.0282133436293808
1017	-0.0106924322757818	0.040777443657469
1018	-0.00396943496258586	-0.0318322132612393
1019	-0.00421733684260472	-0.0352642027185636
102	-0.0277194530319293	-0.0235190715535149
1020	-0.0110658846098412	0.022130028972438
1021	-0.0123175349661983	0.0226947166704779
1022	-0.012806184463915	0.023795076624421
1023	-0.00376259108751066	-0.0331151108044125
1024	-0.0169705888486353	0.034587060661026
1025	-0.0083648603264933	0.0357530911306002
1026	-0.0113202426196495	-0.0370061129120666
1027	-0.00998612319586884	-0.0353872504469686
1028	-0.0119146086832467	-0.0350316785495709
1029	-0.0153819968341401	-0.0346364321021146
103	-0.0225244039358483	-0.0206507400073698
1030	-0.0159880924418223	-0.0332979716919098
1031	-0.00461090557590774	-0.0309923638744281
1033	-0.00302044084471574	-0.0296077683652379
1034	-0.00657190954658245	0.0344602198524427
1035	-0.00710988352979315	0.0182094062278685
1036	-0.0233917125688782	-0.0424553110425032
1037	-0.0144138766052427	0.0306314644561162
1038	-0.0239004710300588	-0.00665242684824054
1039	-0.017868452443361	0.0117706666664839
104	-0.0223346150232719	-0.0208164411401183
1040	-0.0164561139993504	0.0356582187273304
1041	-0.00653322001571877	0.0190430056046231
1042	-0.0220159359841538	0.0126658394458496
1043	-0.0167472260027751	0.00741141480497501
1044	-0.0213723042683149	0.0142337098504209
1045	-0.0218352504869615	0.0136859731871881
1046	-0.0196455139914961	0.000178389220024581
1047	-0.0117276524177718	-0.011610468414815
1048	-0.0207504672725434	-0.00853961473966137
1049	-0.00855384264175573	-0.0251476235258045
105	-0.0030127329931881	4.32174900005723e-05
1050	-0.00875154502377992	-0.0336603358205172
1051	-0.00328469605001069	0.000708001608762076
1052	-0.00362902036571467	-0.0294694981268786
1053	-0.0111166314506366	0.0289703981397513
1054	-0.00238620899634364	-0.00778377526993276
1055	-0.00494911905460046	-0.0311955493628394
1056	-0.0138510866119085	-0.030255141705803
1057	-0.00226344576186351	-0.00216436757155946
1058	-0.0158650764386448	0.0315648222313863
1059	-0.0101106079488958	-0.0347127649849044
106	-0.0251761570695126	-0.00881787162638847
1060	-0.0125799929669787	-0.0373819056927353
1061	-0.0308818270040848	-0.0322748876998344
1062	-0.0217297560207392	-0.0303912020228764
1063	-0.00847027012244789	-0.032859232226885
1064	-0.0133739929707719	0.0368577914089849
1065	-0.0107090573183118	0.0353639495601882
1066	-0.0105900843030527	0.0337718967326794
1067	-0.00501201103135895	-0.0343641012754858
1068	-0.0112574722031945	0.0338719756557877
1069	-0.00872323587236474	-0.0386172927215531
107	-0.0107269123995052	-0.0192930889513587
1070	-0.0180785276505589	0.0332122549945162
1071	-0.0126646873410957	-0.0307539568868165
1072	-0.0191117910201678	-0.00274179535779631
1073	-0.00561160273212985	-0.000413978265161584
1074	-0.00352226645771405	-0.0310035587798339
1075	-0.0169504172205445	0.0113924979442187
1076	-0.00269825621357262	-0.0280851496757897
1077	-0.00787526505358122	-0.032584053460129
1078	-0.0060334241839557	-0.0355020739893825
1079	-0.00675142344261166	-0.0340211759828288
108	-0.0196977055482505	-0.0193028933468149
1080	-0.0059343609943754	-0.0348127721370615
1081	-0.0108226043740783	-0.0390302792596527
1082	-0.013682239799197	-0.0321422908560777
1083	-0.0219152783711206	-0.0285363439902426
1084	-0.0212038917695036	-0.0221632411172746
1085	-0.0171311559035518	-0.0371361417647157
1086	-0.0195508038916901	0.00127522879885471
1087	-0.0242097501869931	0.0201176161461823
1088	-0.0239761142971172	0.0125298794689021
1089	-0.0226213158548613	0.011157538204603
109	-0.0170716235739838	-0.00842173182731943
1090	-0.023596841262334	0.0121091959806488
1091	-0.0190167644531342	0.0313923718102165
1092	-0.00968196431655974	0.0195621498549626
1093	-0.0129929212567475	0.0229758648254682
1094	-0.00890643069132988	0.0194342069397562
1095	-0.00811233114091255	0.0168944485526614
1096	-0.0174973210235265	0.0298241364706422
1097	-0.0173199287290719	0.0299612185117359
1098	-0.0176329401283455	0.0407660193571972
1099	-0.0172223351582173	0.0299894020261985
11	-0.00654462298539105	-0.0342647693260463
110	-0.0141916323713995	-0.0151268881436485
1100	-0.0126976469949638	0.0231814894147132
1101	-0.0131711146854336	0.0275603844769443
1102	-0.0142833811592009	0.023530270344053
1103	-0.0146861292809356	0.0241402912031327
1104	-0.0192063308575487	0.00440618636073418
1105	-0.0212014002130826	0.0441183965716268
1106	-0.0273553023192212	-0.0318230108733765
1107	-0.019397930874315	0.012161966178066
1108	-0.0115298959810296	0.0346679436757115
1109	-0.0213532079891294	0.0331689166535582
111	-0.0175541990782525	-0.030686016740558
1110	-0.00370433976808445	-0.0320263002317081
1111	-0.0123847620464836	-0.0320012950788034
1112	-0.0189569426807279	-0.0385972218392943
1113	-0.010765893703803	-0.037501037802696
1114	-0.0227305456952257	-0.0310239583130855
1115	-0.0161991971655255	-0.0169119876940799
1116	-0.0270913624191075	-0.0340911081122387
1117	-0.0206411942300111	-0.0393799182913933
1118	-0.00992616189974882	0.0335862605796875
1119	-0.00982157330187512	0.0338531099669883
112	-0.0209470237167714	-0.0195665499143351
1120	-0.02098559980762	0.0237825685584113
1121	-0.019788896348846	0.00829133578132692
1122	-0.0188051034589253	0.0139298630910898
1123	-0.0176969955573184	0.0290758655285805
1124	-0.0153897687168489	0.0251221593374707
1125	-0.00436423000382962	-0.0325627051854143
1126	-0.0163318277051364	-0.0182254238218113
1127	-0.0190568064679777	0.0367942077991695
1128	-0.0175294689397958	0.0266928651365893
1129	-0.0177016179469253	0.0271216569431437
113	-0.02160244417553	0.00910117665529596
1130	-0.0204550812831633	0.0322150894571014
1131	-0.0181482884628154	0.0301321317587769
1132	-0.0197816488049464	0.0425694626582268
1133	-0.00844439321872275	0.0114297490027409
1134	-0.0188857766001208	0.0318132191036264
1135	-0.0076510575489253	0.0131373244028958
1136	-0.0100599678532979	0.0203577220114128
1137	-0.0101048114008174	0.0168726421356151
1138	-0.00789700330930532	0.0157293646016473
1139	-0.0268949223772568	-0.000531834942559827
114	-0.00314578761977209	-0.00803493736542157
1140	-0.00680423791429021	0.0129532482766689
1141	-0.00325972371993202	-0.0295218156148038
1142	-0.0130286117706508	0.0259824318120274
1143	-0.00614715439642226	0.00554703748106953
1144	-0.0255877586704057	0.0192744837392508
1145	-0.0159155061017329	0.0144321294901498
1146	-0.00715094754263803	-0.038362703523349
1147	-0.0256921485510342	0.0180194847269625
1148	-0.0040944204120962	0.00300030483192203
1149	-0.00898368548979639	0.0176613602993919
115	-0.0248817626638379	0.0200516219093256
1150	-0.0126857018370685	0.0297110443521571
1151	-0.00530994596488922	-0.0339173661307396
1152	-0.00442172512914363	-0.0333052625072084
1153	-0.0034384088105131	-0.0315830514011037
1154	-0.0176135221129005	0.00266943844284214
1155	-0.0160002712066549	0.00482691052519145
1156	-0.0158571227436834	-0.039992115455347
1157	-0.00850115841663409	0.0342491730053481
1159	-0.00489856428228471	-0.0317479683992626
116	-0.0255719172726466	-0.0215513176961818
1160	-0.010564007854058	-0.00579071753886896
1161	-0.0161825370117604	0.0163336750483531
1162	-0.0234322180496104	-0.0152897674996595
1163	-0.00361341398113078	-0.0213819508583621
1164	-0.00276005839610695	-0.0283772218265983
1165	-0.00667918154520253	-0.0392382272858523
1166	-0.0056252250020763	-0.0345327657705805
1167	-0.00914898461975248	-0.0365139253835495
1168	-0.00313674602169906	-0.0301574172902225
1169	-0.0210441123965499	0.0312183644965339
117	-0.027341691951966	0.0212147716343681
