data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	2172	PET	Untreated	0.45951905000433	0.45951905000433	0.454763055908184	0.580873441395512	0.67535864939533	0.586483741541812	0.47309091893822	0.291884369771195	0.215839599391	0.0563750052022483	0.0643822513009961	0.0643822513009961	0.0449919805246144	NA_[2172_808.58_7.3]	NA	1-(9Z-heptadecenoyl)-2-(11Z-docosenoyl)-glycero-3-phosphoethanolamine	[M + Na]+	45	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.999	1	0.998
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	2096	PET	Untreated	0.397207497291304	0.397207497291304	0.515469223643853	0.4718460607765	0.698029280244235	0.711858064447829	0.547556607734391	0.4718460607765	0.300821782952931	0.0530109042956152	0.0556519102070033	0.120034161507999	0.0509979449076109	dioleoyl phosphatidylethanolamine_[2096_744.56_7.2]	dioleoyl phosphatidylethanolamine	1,2-Di-[(9E)-Octadecenoyl]-Sn-Glycero-3-Phosphoethanolamine	[M + H]+	10	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.999	1	0.993
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	1803	PET	Untreated	0.395603939581775	0.395603939581775	0.41235760718115	0.285071677621998	0.556688000644314	0.704520562410813	0.519300759836598	0.285071677621998	0.161084061062539	0	0.055427239096133	0.175461400604132	0.0407965976796864	NA_[1803_790.54_6.5]	NA	(2-aminoethoxy)[2-(icosa-8,11,14,17-tetraenoyloxy)-3-(icosa-8,11,14-trienoyloxy)propoxy]phosphinic acid	[M + H]+	10	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.994	0.997	0.961
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	1799	PET	Untreated	0.385157542326179	0.385157542326179	0.471761811122949	0.418336522304179	0.627498663289311	0.763884578269342	0.545445649116402	0.418336522304179	0.242341120963132	0.102224069679162	0.0539636162641885	0.229425016868321	0.0466737522816408	PC(15:0/17:1(9Z))_[1799_732.55_6.4]	PC(15:0/17:1(9Z))	[2-[(Z)-heptadec-9-enoyl]oxy-3-pentadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	1	1	0.907
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	1805	PET	Untreated	0.377364954791697	0.377364954791697	0.364853317745252	0.24192118951419	0.543356707147021	0.661992044744499	0.38521149373341	0.155634481200231	0.165991752355325	0	0.0528718131519446	0.282296830020266	0.0360967610562666	NA_[1805_754.54_6.4]	NA	NA	[M + H]+	45	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	1	1	0.994
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	2022	PET	Untreated	0.375231311674229	0.375231311674229	0.56094394282745	0.469704924411668	0.737118609558003	0.83776317542687	0.583825921040573	0.469704924411668	0.361887297883774	0.175368575945219	0.0525728728852154	0.334869702905481	0.0554969860088824	PC(17:1(9Z)/14:0)_[2022_718.54_7]	PC(17:1(9Z)/14:0)	[(2R)-3-[(E)-heptadec-9-enoyl]oxy-2-tetradecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	10	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.984	0.996	0.785
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	2019	PS	Untreated	0.369043562143626	0.369043562143626	0.495931921220297	0.506435772975178	0.595881604511574	0.623759460974383	0.630478860646472	0.506435772975178	0.261435298502846	0.143861132945999	0.0517059202632008	0.386575623168682	0.049065021995945	1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine zwitterion_[2019_792.55_7]	1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine zwitterion	1-[(2-azaniumylethyl phosphonato)oxy]-3-(octadecanoyloxy)propan-2-yl docosa-4,7,10,13,16,19-hexaenoate	[M + H]+	10	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.998	0.999	0.968
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	2004	PS	Untreated	0.361489565133118	0.361489565133118	0.447704877886993	0.372568975288582	0.388439270712083	0.372568975288582	0.658082464041007	0.907373528576976	0.296592898907889	0.0070111168450674	0.0506475455693706	0.437223168738052	0.0442936797195182	NA_[2004_750.54_7]	NA	[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(9Z,12Z)-nonadeca-9,12-dienoyl]oxypropyl] (9Z,12Z)-nonadeca-9,12-dienoate	[M - H2O + H]+	48	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	1	1	0.998
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	2097	PS	Untreated	0.355692324493148	0.355692324493148	0.48853676912952	0.61119424519228	0.56747403298005	0.61119424519228	0.62691429945083	0.673188830208409	0.271221974957682	0.0714149418466414	0.0498353063298192	0.487058475067872	0.0483333826630614	NA_[2097_794.57_7.2]	NA	NA	[M + H]+	10	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.994	0.998	0.807
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	1669	PET	Untreated	0.355680715067995	0.355680715067995	0.392012207060766	0.218713339708494	0.596023422865185	0.569356928887061	0.339670490519923	0.143839588256266	0.24034270779719	0.109255091017599	0.0498336797575854	0.536892154825457	0.0387837256266702	NA_[1669_764.52_6.2]	NA	(2-aminoethoxy)[2-(icosa-8,11,14-trienoyloxy)-3-(octadeca-6,9,12-trienoyloxy)propoxy]phosphinic acid	[M + H]+	10	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.999	1	0.996
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	2090	PET	Untreated	0.341585248022672	0.341585248022672	0.565031726029493	0.697995900590909	0.69207965528749	0.697995900590909	0.652521115536171	0.800829261822121	0.350494407264818	0.162782241789338	0.0478587934030189	0.584750948228476	0.0559014108182985	PC(22:1(11Z)/12:0)_[2090_760.59_7.1]	PC(22:1(11Z)/12:0)	1-(11Z-docosenoyl)-2-dodecanoyl-glycero-3-phosphocholine	[M + H]+	-1	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	1	1	0.975
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	1881	PS	Untreated	0.336873177426859	0.336873177426859	0.444253349265263	0.40381157724015	0.54640959966702	0.614593848155776	0.561611812777814	0.40381157724015	0.224738635350955	0.0544711406186031	0.0471985950646806	0.631949543293156	0.0439522027536312	PE(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))_[1881_766.54_6.7]	PE(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))	(2-aminoethoxy)[2-(icosa-8,11,14-trienoyloxy)-3-(octadeca-9,12-dienoyloxy)propoxy]phosphinic acid	[M + H]+	10	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.999	1	0.997
filtered	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	2164	PS	Untreated	0.328633496472147	0.328633496472147	0.508408856494945	0.527050613063324	0.520532264755135	0.527050613063324	0.666663900600924	0.713752189226649	0.338030404128777	0.119489922170148	0.046044150630089	0.677993693923245	0.0502994275211757	NA_[2164_702.54_7.4]	NA	[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-tridecanoyloxypropan-2-yl] henicosanoate	[M - H2O + H]+	48	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	1	0.999	0.993
