data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3381	PET	Untreated	0.347757655952114	0.347757655952114	0.190531985988861	0	0.411278389446583	0.233835168339748	0.09679683502553	0	0.0635207334944691	0	0.18239690299458	0.18239690299458	0.053281898816604	NA_[3381_948.8_11.1]	NA	1-Vaccenoyl-2-vaccenoyl-3-docosahexaenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.997	1	0.999
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3416	PS	Untreated	0.333333333333333	0.333333333333333	0.197974983825291	0	0.26059161814254	0	0.333333333333333	0	0	0	0.174831428220899	0.35722833121548	0.0553633186661618	NA_[3416_848.77_11.3]	NA	[2-[(Z)-octadec-9-enoyl]oxy-3-tridecanoyloxypropyl] (Z)-nonadec-9-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3371	PET	Untreated	0.333333333333333	0.333333333333333	0.145358148974526	0	0.333333333333333	0	0.102741113590245	0	0	0	0.174831428220899	0.532059759436379	0.0406491232725741	TG(16:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3]_[3371_896.77_11.1]	TG(16:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3]	Triglyceride	[M + H3N + H]+	483	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3447	PS	Untreated	0.333333333333333	0.333333333333333	0.126593894100758	0	0.0464483489689403	0	0.333333333333333	0	0	0	0.174831428220899	0.706891187657278	0.0354017359409187	NA_[3447_850.79_11.6]	NA	2,3-di(tetradecanoyloxy)propyl (Z)-docos-11-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.997	1	1
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3376	PET	Untreated	0.289271876909465	0.289271876909465	0.207210881463686	0	0.39495488010641	0.184864640319231	0.120994761087702	0	0.105683003196945	0	0.151721446152666	0.858612633809944	0.0579461194536277	NA_[3376_922.79_11.1]	NA	1-Palmitoyl-2-meadoyl-3-eicsoatetraenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.999	1	1
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	1623	PET	PS	0.107522031350428	0.107522031350428	0.475379641471564	0.480709840717776	0.532475763184885	0.550128758478555	0.424953731834457	0.480709840717776	0.468709429395349	0.232529792583754	0.0563946909186227	0.915007324728567	0.132938990925346	1-stearoyl-2-arachidonoyl-sn-glycerol_[1623_627.53_6.1]	1-stearoyl-2-arachidonoyl-sn-glycerol	1-hydroxy-3-(octadecanoyloxy)propan-2-yl icosa-5,8,11,14-tetraenoate	[M - H2O + H]+	399	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	2335	PS	PET	0.0496763780854111	0.0496763780854111	0.45128416897969	0.424058694012186	0.429904327499955	0.424058694012186	0.479580705585366	0.438742116756099	0.444367473853748	0.382098265980364	0.0260549763885414	0.941062301117108	0.12620073896945	NA_[2335_526.52_7.8]	NA	5-hydroxytritriacontane-12,14-dione	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Diacylglycerols	0.988	0.962	0.578
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	1621	PET	Untreated	0.0431155453903085	0.0431155453903085	0.444997313978721	0.430824450917192	0.470613302927434	0.511486438920612	0.436880881471604	0.430824450917192	0.427497757537126	0.173687239141828	0.022613857137332	0.96367615825444	0.124442632212216	NA_[1621_887.56_6.1]	NA	methyl (3R,8Z,12Z,13E,19E,21S,22S)-16-ethenyl-11-ethyl-14-hydroxy-12-(hydroxymethylidene)-17,21,26-trimethyl-4-oxo-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-7,23,24,25-tetrazahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-2(6),5(26),8,10,13,15,17,19-octaene-3-carboxylate	[M - H2O + H]+	10	Fatty acids	Glycerolipids	Diacylglycerols	1	0.978	0.519
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	1964	PS	PET	0.0369100038971844	0.0369100038971844	0.446445899947498	0.3956929596286	0.423416123404026	0.3956929596286	0.46032612730121	0.397698189742775	0.455595449137257	0.366786347411771	0.0193590860909511	0.983035244345391	0.124847726457231	12-(octadecanoyloxy)octadecanoate_[1964_584.56_6.9]	12-(octadecanoyloxy)octadecanoate	12-Octadecanoyloxy-octadecanoic acid	[M + H3N + H]+	168	Fatty acids	Glycerolipids	Wax monoesters	0.999	0.963	0.771
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	2412	Untreated	PS	0.0163531347368395	0.0163531347368395	0.432191266013176	0.392097010675061	0.428790965192817	0.392097010675061	0.425714849054935	0.396285134606467	0.442067983791775	0.326203951375325	0.00857712570579133	0.991612370051183	0.120861445838707	NA_[2412_526.52_8]	NA	5-hydroxytritriacontane-12,14-dione	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Wax monoesters	0.991	0.935	0.576
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	1622	Untreated	PET	0.0159918424167603	0.0159918424167603	0.457955162970819	0.474886718601635	0.451180044251306	0.474886718601635	0.455513557993083	0.616629660256829	0.467171886668066	0.219374070821302	0.00838762994881727	1	0.128066269447163	NA_[1622_904.59_6.1]	NA	2-(6-{3-[20-(2-amino-3-hydroxypropoxy)-8-hydroxyicosyl]oxiran-2-yl}-2,6-dihydroxyhexanamido)-1-[4-(3-hydroxy-2-propanamidopropoxy)phenyl]ethyl acetate	[M + Na]+	10	Fatty acids	Glycerolipids	Glycerophosphoserines	1	0.803	0.683
