data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Aminoacids	NPC class: Aminoacids	211	PS	Untreated	9202771.23333333	9202771.23333333	13928912.9222222	9928833	13820089	15316752	18584710.5	9120082	9381939.26666667	9587031	0.379275361195334	0.379275361195334	0.280309292722038	NA_[211_293.23_1]	NA	3-[[N-amino-N'-(3-methoxypropyl)carbamimidoyl]amino]-N-(2-methoxyethyl)propanamide	[M + H3N + H]+	90	Amino acids and Peptides	Small peptides	Aminoacids	0.954	0.98	0.733
raw	class	Aminoacids	NPC class: Aminoacids	112	Untreated	PS	3300826.5	3300826.5	12399781.6888889	8608594	13420439.8333333	16406458	10239039.3666667	7898448.5	13539865.8666667	8608594	0.136037518622222	0.515312879817555	0.249536633226766	gabapentin_[112_154.12_0.7]	gabapentin	2-[1-(aminomethyl)cyclohexyl]acetic acid	[M - H2O + H]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.998	0.999	0.999
raw	class	Aminoacids	NPC class: Aminoacids	78	PET	Untreated	2678123.56666667	2678123.56666667	3593301.15555556	3466297	4557088.5	3485561.5	4343850.03333333	4929590	1878964.93333333	1156724.2	0.110373957726353	0.625686837543909	0.0723125854167782	NA_[78_217.19_0.6]	NA	2-[1-(Aminomethyl)-3,3-diethylcyclobutyl]acetic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.971	0.978	0.964
raw	class	Aminoacids	NPC class: Aminoacids	494	PET	Untreated	2603042.5	2603042.5	5819764.08888889	3102061	7489441.3	3102061	5083452.16666667	3825719	4886398.8	1312937.8	0.107279629077198	0.732966466621107	0.117118540741462	NA_[494_152.11_1.9]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.961	0.971	0.976
raw	class	Aminoacids	NPC class: Aminoacids	55	PS	Untreated	2406609.93333333	2406609.93333333	2903191	1606447.2	2798598.8	2734605	4158792.06666667	1263519.6	1752182.13333333	1013873.6	0.0991840206149148	0.832150487236021	0.0584246179433473	NA_[55_152.11_0.6]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.873	0.857	0.868
raw	class	Aminoacids	NPC class: Aminoacids	10	PS	PET	1574649.16666667	1574649.16666667	1635275.7	1013873.6	1091607.4	1013873.6	2666256.56666667	1013873.6	1147963.13333333	1013873.6	0.0648962813810064	0.897046768617028	0.0329087400741253	NA_[10_216.12_0.5]	NA	(1S,2R)-2-[(S)-amino(carboxy)methyl]-1-butylcyclopropane-1-carboxylic acid	[M + H]+	16	Amino acids and Peptides	Small peptides	Aminoacids	0.97	0.979	0.964
raw	class	Aminoacids	NPC class: Aminoacids	37	PS	Untreated	1077668.36666667	1077668.36666667	1463610.14444444	1348116.4	1285414.86666667	1348116.4	2091541.96666667	2408753.8	1013873.6	1013873.6	0.0444141279461359	0.941460896563164	0.0294540949965655	NA_[37_123.06_0.5]	NA	(6-Methoxypyridazin-3-yl)methanol	[M - H2O + H]+	-1	Amino acids and Peptides	Nicotinic acid alkaloids	Aminoacids	0.607	0.787	0.866
raw	class	Aminoacids	NPC class: Aminoacids	45	PET	PS	612782.433333333	612782.433333333	2509832.45555556	1995299.5	2866600.03333333	1995299.5	2253817.6	2099242	2409079.73333333	1013873.6	0.0252547056580992	0.966715602221263	0.0505085618953925	NA_[45_180.1_0.6]	NA	2-[1-(Aminomethyl)cyclopentyl]acetate	[M + Na]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.953	0.969	0.975
raw	class	Aminoacids	NPC class: Aminoacids	2425	PS	Untreated	498368.4	498368.4	1664271.27777778	1588866	1686250.96666667	1588866	1902465.63333333	2099845.8	1404097.23333333	1013873.6	0.0205393408274342	0.987254943048697	0.0334922550938788	NA_[2425_184.07_8.1]	NA	(2R)-2-(aminomethyl)-4-methylpentanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.833	0.824	0.833
raw	class	Aminoacids	NPC class: Aminoacids	1532	PS	PET	172395.166666667	172395.166666667	1216944.26666667	1013873.6	1144698.86666667	1172194.4	1317094.03333333	1013873.6	1189039.9	1013873.6	0.00710495104659323	0.99435989409529	0.0244901227092351	4-(trimethylammonio)butanoate_[1532_184.07_5.8]	4-(trimethylammonio)butanoate	4-(trimethylazaniumyl)butanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.825	0.805	0.813
raw	class	Aminoacids	NPC class: Aminoacids	535	PET	PS	136852.033333334	136852.033333334	2556343.11111111	1271827.6	2628568.56666667	1271827.6	2491716.53333333	1506908.5	2548744.23333333	1013873.6	0.00564010590470971	1	0.0514445551804116	NA_[535_210.11_2.1]	NA	Gabapentinalcohol	[M + Na]+	638	Amino acids and Peptides	Small peptides	Aminoacids	0.952	0.962	0.916
