data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Ceramides	NPC class: Ceramides	3068	PET	PS	406900583.333333	406900583.333333	188124730.444444	19281192	423993284	24161660	17092700.6666667	14500980	123288206.666667	17804520	0.444468543834744	0.444468543834744	0.120924013295688	NA_[3068_506.53_9.6]	NA	N-(3-hydroxyoctadecan-2-yl)hexadecanamide	[M - H2O + H]+	9	Fatty acids	Spingolipids	Ceramides	1	0.998	0.995
raw	class	Ceramides	NPC class: Ceramides	3143	PET	PS	148137464.166667	148137464.166667	98427199.7222222	9113016	155957381.666667	9547233	7819917.5	5662257.5	131504300	9113016	0.16181457014917	0.606283113983914	0.063267662788132	NA_[3143_506.53_10]	NA	N-(3-hydroxyoctadecan-2-yl)hexadecanamide	[M - H2O + H]+	9	Fatty acids	Spingolipids	Ceramides	1	0.979	0.963
raw	class	Ceramides	NPC class: Ceramides	2053	PS	Untreated	73200184.8666666	73200184.8666666	536135572.833333	557332740	532854459.3	561268600	574376222.033333	557332740	501176037.166667	514670100	0.0799585473915837	0.686241661375498	0.344620640701648	N-stearoylhexadecasphinganine_[2053_540.54_7.1]	N-stearoylhexadecasphinganine	2-Octadecanoylaminohexadecane-1,3-diol	[M + H]+	21	Fatty acids	Spingolipids	Ceramides	1	0.963	0.915
raw	class	Ceramides	NPC class: Ceramides	2301	PET	Untreated	44178067.8333333	44178067.8333333	18702298.2555556	4210067.5	47917802.9333333	4989267	4449356.73333333	4147746.5	3739735.1	4210067.5	0.0482569017681368	0.734498563143635	0.0120215824765399	NA_[2301_500.48_7.7]	NA	N-[(E,2R,3S)-3-ethynyl-1-hydroxyoctadec-4-en-2-yl]tetradecanamide	[M - H2O + H]+	299	Fatty acids	Spingolipids	Ceramides	1	1	0.999
raw	class	Ceramides	NPC class: Ceramides	2187	PS	PET	34989975.7333333	34989975.7333333	17369244.3888889	7189838.5	5267423.86666667	5894768	40257399.6	36368920	6582909.7	7189838.5	0.0382204995520184	0.772719062695653	0.0111647136155675	Cer(d18:0/17:0)_[2187_554.55_7.4]	Cer(d18:0/17:0)	C17 dihydro Ceramide (d18:0/17:0)	[M + H]+	20	Fatty acids	Spingolipids	Ceramides	1	0.999	0.991
raw	class	Ceramides	NPC class: Ceramides	2656	PS	Untreated	23726846.8	23726846.8	101387637.766667	84319510	96591778.3666667	105997000	115648990.866667	84319510	91922144.0666667	66499350	0.0259174783201205	0.798636541015774	0.0651705920234415	NA_[2656_596.6_8.8]	NA	N-(1,3-dihydroxyhexadecan-2-yl)docosanamide	[M + H]+	323	Fatty acids	Spingolipids	Ceramides	1	0.944	0.906
raw	class	Ceramides	NPC class: Ceramides	2217	PS	Untreated	22382681.1666667	22382681.1666667	85280732.4444444	80423950	80161021.1666667	80423950	99031928.6666667	80839560	76649247.5	67914840	0.0244492097400508	0.823085750755825	0.0548172927589837	Cer(d18:0/17:0)_[2217_554.55_7.5]	Cer(d18:0/17:0)	C17 dihydro Ceramide (d18:0/17:0)	[M + H]+	21	Fatty acids	Spingolipids	Ceramides	1	0.997	0.995
raw	class	Ceramides	NPC class: Ceramides	3045	PET	PS	13308588.5	13308588.5	8543005.12222222	1013873.6	14464501.0666667	1013873.6	1155912.56666667	1013873.6	10008601.7333333	1510615.6	0.0145373321970518	0.837623082952876	0.00549132728346848	NA_[3045_480.51_9.6]	NA	2-(2-Hydroxyethylamino)triacontan-1-ol	[M - H2O + H]+	84	Fatty acids	Spingolipids	Ceramides	1	0.994	0.837
raw	class	Ceramides	NPC class: Ceramides	1955	Untreated	PS	9331368	9331368	89990836.8888889	92703540	89568649.3333333	100385864	85536246.6666667	77474984	94867614.6666667	92703540	0.0101929063678645	0.847815989320741	0.0578448837148272	NA_[1955_578.56_6.8]	NA	2-aminoethyl N-[7-hexyl-6-oxo-5-(tetradecan-7-ylamino)tridecyl]carbamate	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Ceramides	0.998	0.989	0.994
raw	class	Ceramides	NPC class: Ceramides	2760	PS	Untreated	8726665.33333333	8726665.33333333	32514168.5333333	31477786	34679461.8666667	42491976	35794854.5333333	31477786	27068189.2	27183042	0.00953237324327538	0.857348362564016	0.0208996644871427	N-(2-hydroxydocosanoyl)sphinganine_[2760_622.61_9]	N-(2-hydroxydocosanoyl)sphinganine	N-(1,3-dihydroxyoctadecan-2-yl)-2-hydroxydocosanamide	[M - H2O + H]+	21	Fatty acids	Spingolipids	Ceramides	1	1	1
raw	class	Ceramides	NPC class: Ceramides	2162	PS	PET	8142930	8142930	8349768.47777778	5860973	5176817.53333333	5860973	13319747.5333333	3404565	6552740.36666667	7055578.5	0.00889474330559841	0.866243105869615	0.00536711740150979	Cer(d18:0/17:0)_[2162_554.55_7.4]	Cer(d18:0/17:0)	C17 dihydro Ceramide (d18:0/17:0)	[M + H]+	20	Fatty acids	Spingolipids	Ceramides	1	1	1
raw	class	Ceramides	NPC class: Ceramides	1643	PS	PET	7523362.33333333	7523362.33333333	12290551.4222222	9970842	9183955.83333333	8489731	16707318.1666667	13052913	10980380.2666667	9970842	0.00821797273831506	0.87446107860793	0.00790019898011781	N-tetradecanoylsphinganine_[1643_534.49_6.1]	N-tetradecanoylsphinganine	N-(1,3-dihydroxyoctadecan-2-yl)tetradecanamide	[M + Na]+	102	Fatty acids	Spingolipids	Ceramides	1	0.977	0.982
raw	class	Ceramides	NPC class: Ceramides	2457	PS	PET	5947119.33333333	5947119.33333333	64444298.9777778	56416236	61925993.2	56416236	67873112.5333333	60224484	63533791.2	54212010	0.00649619975583254	0.880957278363762	0.0414239172489947	N-(2-hydroxyeicosanoyl)sphinganine_[2457_594.58_8.2]	N-(2-hydroxyeicosanoyl)sphinganine	(2S)-N-[(2S,3R)-1,3-dihydroxyoctadecan-2-yl]-2-hydroxyicosanamide	[M - H2O + H]+	21	Fatty acids	Spingolipids	Ceramides	1	1	1
raw	class	Ceramides	NPC class: Ceramides	3042	PET	PS	5318438	5318438	8339665.94444444	5459635	10220687.8333333	5388343.5	4902249.83333333	5459635	9896060.16666667	5492913	0.00580947408325261	0.886766752447015	0.00536062363074274	NA_[3042_504.51_9.6]	NA	N-(3-hydroxyoctadec-4-en-2-yl)hexadecanamide	[M - H2O + H]+	33	Fatty acids	Spingolipids	Ceramides	1	1	0.999
raw	class	Ceramides	NPC class: Ceramides	2236	PS	Untreated	5308049.33333333	5308049.33333333	12508940.6666667	11347986	12592532.6666667	12929837	15121169.3333333	11347986	9813120	9876844	0.00579812626087327	0.892564878707888	0.00804057661062096	NA_[2236_578.56_7.6]	NA	3,3'-[(6-Hydroxyhexyl)azanediyl]bis(N-dodecylpropanamide) (non-preferred name)	[M - H2O + H]+	14	Fatty acids	Spingolipids	Ceramides	0.999	0.955	0.778
raw	class	Ceramides	NPC class: Ceramides	2595	PET	PS	5077693.66666667	5077693.66666667	3633428.7	2919571	6388740.66666667	3292803	1311047	1013873.6	3200498.43333333	3094370	0.00554650251806939	0.898111381225958	0.00233551845836391	NA_[2595_452.48_8.5]	NA	1-(1-Hydroxypentadecylamino)pentadecan-1-ol	[M - H2O + H]+	163	Fatty acids	Spingolipids	Ceramides	1	0.996	0.879
raw	class	Ceramides	NPC class: Ceramides	2512	PS	Untreated	5004597.33333334	5004597.33333334	28181435.2	25224572	28509165.8666667	30119328	30519868.5333333	25224572	25515271.2	20664530	0.00546665741052451	0.903578038636482	0.0181146425393696	NA_[2512_582.58_8.4]	NA	N-(1,3-dihydroxyoctadecan-2-yl)nonadecanamide	[M + H]+	21	Fatty acids	Spingolipids	Ceramides	1	0.924	0.797
