data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2893	PET	PS	745698970	745698970	551574562.222222	313690560	1023893856.66667	354544770	278194886.666667	313690560	352634943.333333	287445440	0.577274630131408	0.577274630131408	0.623264113352966	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol_[2893_506.53_9.2]	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol	(2-Methyl-4,5-Ditridecyl-1,4-Cyclohexadienyl)Methanol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.969	0.649	0.929
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2956	PET	PS	515956372.666667	515956372.666667	257960644.844444	47938068	568477894.666667	63534116	52521522	46697316	152882517.866667	37806080	0.399421933216688	0.976696563348096	0.291488447076275	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol_[2956_506.53_9.4]	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol	(2-Methyl-4,5-Ditridecyl-1,4-Cyclohexadienyl)Methanol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.896	0.622	0.921
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2088	PS	Untreated	13703970.3333333	13703970.3333333	16668286.2222222	12970823	15238556.3333333	13294716	24235136.3333333	15493087	10531166	11363452	0.0106087774340184	0.987305340782115	0.0188347058492906	Palmityl linolenate_[2088_520.51_7.2]	Palmityl linolenate	Cetyl linolenate	[M + H3N + H]+	-1	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.818	0.442	0.881
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3212	PET	PS	4313775.6	4313775.6	6508883.86666667	6827065	9079936.66666667	8070973	4766161.06666667	3678904.2	5680553.86666667	6827065	0.00333946178571213	0.990644802567827	0.00735486008588085	NA_[3212_590.62_10.3]	NA	3-(3,7,12,16,20,24-Hexamethylpentacosyl)-2,4,4-trimethylcyclohex-2-en-1-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.926	0.556	0.918
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2758	PET	PS	3235992.93333333	3235992.93333333	3745568.03333333	2909519.5	5888011.53333333	3331639.8	2652018.6	2909519.5	2696673.96666667	2666535	0.00250510822577353	0.9931499107936	0.00423238905342807	NA_[2758_492.51_9]	NA	tritriaconta-12,14-dien-5-one	[M + H3N + H]+	9	Terpenoids	Steroids	Prenyl quinone meroterpenoids	0.885	0.263	0.77
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3294	PET	PS	1885866.8	1885866.8	1711016.13333333	1013873.6	2899740.4	1013873.6	1013873.6	1013873.6	1219434.4	1013873.6	0.00145992297595248	0.994609833769553	0.00193340125943838	NA_[3294_534.56_10.7]	NA	2,6-Bis[2,4,6-tri(propan-2-yl)cyclohexyl]cyclohexan-1-ol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.842	0.219	0.721
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3073	PET	Untreated	1519261.93333333	1519261.93333333	6292759.37777778	7001727.5	7216862.33333333	7001727.5	5963815.4	7170539.5	5697600.4	6922113.5	0.001176119863271	0.995785953632824	0.00711064534653809	NA_[3073_548.58_9.7]	NA	NA	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.927	0.384	0.849
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3362	PET	PS	1515549.46666667	1515549.46666667	1519056.75555556	1013873.6	2529423.06666667	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0.00117324589816163	0.996959199530986	0.00171649243226471	(2E,10Z)-2-tridecylnonadeca-2,10-dienal_[3362_478.5_11]	(2E,10Z)-2-tridecylnonadeca-2,10-dienal	2-tridecylnonadeca-2,10-dienal	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.925	0.363	0.765
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2894	PET	PS	1122927.63333333	1122927.63333333	1388182.81111111	1013873.6	2136801.23333333	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0.000869302037787229	0.997828501568773	0.00156860846782563	NA_[2894_492.52_9.3]	NA	tritriaconta-12,14-dien-5-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.954	0.295	0.7
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3183	PS	PET	709164.333333334	709164.333333334	9177619.5	9591930	8875834.66666667	9100071	9584999	9948000	9072024.83333333	9591930	0.000548991744252224	0.998377493313025	0.0103704580887721	NA_[3183_576.61_10.2]	NA	15,23-Dimethyl-15,22-heptatriacontadien-19-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.918	0.479	0.895
