data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2401	Untreated	PS	19361218.1666667	19361218.1666667	21349471.8888889	22938640	17396656.8333333	22938640	13645270.3333333	9704346	33006488.5	45164640	0.339687198220357	0.339687198220357	0.158090997190511	NA_[2401_592.58_8]	NA	1-Hydroxy-4-[1-(1-hydroxy-2,2,6-trimethyl-6-propan-2-ylpiperidin-4-yl)-3-(1,2,2,6-tetramethyl-6-propan-2-ylpiperidin-4-yl)propyl]-2,2,6-trimethyl-6-propan-2-ylpiperidine	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.942	0.965	0.976
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2462	PS	Untreated	16531616	16531616	44049146.4444444	43118396	39878990	43118396	54400032.6666667	57048988	37868416.6666667	29296708	0.290042613680317	0.629729811900674	0.326180128624975	NA_[2462_813.68_8.1]	NA	NA	[M + H3N + H]+	5	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.318	0.581	0.712
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3145	Untreated	PS	5732956.8	5732956.8	4082952.57777778	1013873.6	4488153.73333333	1013873.6	1013873.6	1013873.6	6746830.4	1013873.6	0.100583135634674	0.730312947535348	0.0302339115394413	NA_[3145_505.52_10.1]	NA	4-[2,3-Bis(2,2,6,6-tetramethylpiperidin-4-yl)cyclopentyl]-2,2,6,6-tetramethylpiperidine	[M + H3N + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.873	0.645	0.71
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2640	PET	PS	4806666	4806666	15948692	13043368	17818761.3333333	19883408	13012095.3333333	11844182	17015219.3333333	13043368	0.0843316206793282	0.814644568214676	0.118098688121486	NA_[2640_503.5_8.7]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H3N + H]+	8	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.992	0.84	0.734
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2981	PET	PS	2762257.16666667	2762257.16666667	3288471.96666667	3061487.2	4831614.73333333	3428710.2	2069357.56666667	1013873.6	2964443.6	3061487.2	0.0484630352094548	0.863107603424131	0.0243508511662033	NA_[2981_556.54_9.5]	NA	(2S)-1-[4-[2-[[(2S)-2-hydroxydodecyl]-[(2S)-2-hydroxypropyl]amino]ethyl]piperazin-1-yl]dodecan-2-ol	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.906	0.794	0.769
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1357	Untreated	PET	1994045.33333333	1994045.33333333	8023750.88888889	8137459	7124988.33333333	7473154	7827230.66666667	7412545.5	9119033.66666667	8723600	0.0349849718428639	0.898092575266995	0.059415183000047	NA_[1357_515.34_5]	NA	[(4R,5S,6S,7R)-4,7-dibenzyl-1,3-bis(cyclopentylmethyl)-5,6-dihydroxy-1,3-diazepan-2-ylidene]cyanamide	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.947	0.809	0.725
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1998	Untreated	PS	1340244.33333333	1340244.33333333	3750734.46666667	3967364	3702962.73333333	3967364	3104498.16666667	2945934.2	4444742.5	5177585	0.0235142147876066	0.921606790054602	0.0277738650922204	NA_[1998_516.49_6.9]	NA	2-[[(3S,10R,13R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3-carbonyl]amino]ethyl-trimethylazanium	[M + H3N + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.533	0.702	0.829
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1379	PS	Untreated	1297887.33333333	1297887.33333333	11303874.6444444	10472845	11025817.5333333	10472845	12091846.8666667	11369361	10793959.5333333	9976117	0.022771072980559	0.944377863035161	0.0837042163833009	NA_[1379_486.48_5.1]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H]+	42	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.997	0.986	0.957
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2466	PET	PS	1230347.53333333	1230347.53333333	2756317.25555556	2770641.5	3232089.23333333	3255005	2001741.7	2220710	3035120.83333333	3463231	0.0215861059380481	0.965963968973209	0.0204102914475824	NA_[2466_522.54_8.2]	NA	(E)-1-N-[(1E,7Z)-1-methoxy-2,3,3,6,6,7,8,9,9-nonamethyldeca-1,7-dienyl]-1-N,5-N,5-N,3,3,6-hexamethylhept-4-ene-1,5-diamine	[M + H3N + H]+	158	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.592	0.878	0.848
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2643	PET	Untreated	933375.166666666	933375.166666666	6667372.25555556	6680796.5	7128847.83333333	7282297.5	6677796.26666667	7127137	6195472.66666667	6105791	0.0163758082019508	0.98233977717516	0.0493713162558224	NA_[2643_549.57_8.7]	NA	4-Methyl-1-(4-methyl-2,2,6,6-tetrapropylpiperidin-1-yl)oxy-2,2,6,6-tetrapropylpiperidine	[M + H]+	57	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.917	0.975	0.875
