data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	444	PS	Untreated	202681560	202681560	477791183.333333	447005250	545189650	545909200	545432730	447005250	342751170	266781580	0.181937275980866	0.181937275980866	0.0907571528302973	farnesyl acetone_[444_280.26_1.7]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.897	0.865	0.291
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	3422	PET	PS	142430101.633333	142430101.633333	52564195.6777778	1555981.2	143668018.533333	1738082	1237916.9	1013873.6	12786651.6	1555981.2	0.127852502757758	0.309789778738624	0.00998464791092956	NA_[3422_507.53_11.3]	NA	Methoxy-tri(undecyl)silane	[M - H2O + H]+	9	Fatty acids	Fatty acyls	Fatty alcohols	0.935	0.874	0.953
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	605	Untreated	PET	120890096.666667	120890096.666667	941499552.222222	976284000	886250383.333333	976284000	931107793.333333	812587800	1007140480	982084200	0.10851709884509	0.418306877583714	0.178839253907027	farnesyl acetone_[605_280.26_2.4]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.937	0.911	0.319
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	315	PS	Untreated	107150760	107150760	765635255.555556	798977100	777873180	808329600	813091673.333333	834846460	705940913.333333	715651400	0.0961839715151175	0.514490849098831	0.145433566638758	farnesyl acetone_[315_280.26_1.3]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.787	0.728	0.209
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	3461	PET	PS	96325376.4333333	96325376.4333333	36487263.2444444	1133661.5	97446450.9	1592099.1	1121074.46666667	1013873.6	10894264.3666667	1133661.5	0.0864665566818817	0.600957405780713	0.00693081045056678	NA_[3461_507.53_11.6]	NA	Methoxy-tri(undecyl)silane	[M - H2O + H]+	9	Fatty acids	Fatty acyls	Fatty alcohols	0.866	0.73	0.905
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	946	PS	PET	39324656.6666667	39324656.6666667	343618220	336728480	329428630	377958720	368753286.666667	312015040	332672743.333333	336728480	0.0352998117481243	0.636257217528837	0.0652707969415538	NA_[946_284.29_3.6]	NA	(E)-11-Octadecene-8-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.991	0.975	0.975
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	551	Untreated	PET	33271543.3333334	33271543.3333334	567011360	560401400	546565956.666667	634386100	574630623.333333	541497860	579837500	560401400	0.0298662293784695	0.666123446907307	0.107704659380734	11-Hexadecynal_[551_254.25_2.1]	11-Hexadecynal	11-Hexadecynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.987	0.977	0.717
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	438	PET	Untreated	31994015.6666667	31994015.6666667	69624443.2222222	66078028	81134750	79349900	78597845.3333333	66078028	49140734.3333333	37770612	0.0287194555739678	0.694842902481275	0.0132252675534097	farnesyl acetone_[438_263.24_1.7]	farnesyl acetone	Farnesylacetone	[M + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.989	0.98	0.538
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	268	Untreated	PET	27765180	27765180	202344046.666667	190568960	185975260	209991420	207316440	187391780	213740440	190568960	0.0249234376147412	0.719766340096016	0.0384355555485745	NA_[268_278.25_1.1]	NA	Farnesylideneacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty aldehydes	0.939	0.869	0.468
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	1044	Untreated	PET	27601403.3333333	27601403.3333333	227824727.777778	247104020	214527450	247104020	226817880	192889570	242128853.333333	253096830	0.0247764233495927	0.744542763445608	0.0432756491930146	NA_[1044_310.31_3.8]	NA	11-Icosynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Unsaturated fatty acids	0.998	0.854	0.466
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	1697	PS	PET	20813603.3333333	20813603.3333333	140482383.777778	135302940	132766050	147434350	153579653.333333	128833580	135101448	135302940	0.0186833488641638	0.763226112309772	0.0266848397777765	15-tetracosenal_[1697_368.39_6.2]	15-tetracosenal	Tetracos-15-enal	[M + H3N + H]+	92	Fatty acids	Fatty acyls	Fatty alcohols	0.913	0.702	0.508
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	153	PS	Untreated	16017692.3333333	16017692.3333333	34557586.7777778	28035308	36212074	36003676	41739189.3333333	23207832	25721497	28035308	0.0143782952461303	0.777604407555903	0.00656426550769764	NA_[153_278.25_0.8]	NA	Farnesylideneacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty aldehydes	0.984	0.948	0.528
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	609	Untreated	PET	14974591.3333333	14974591.3333333	138374940.444444	144917170	132973653.333333	148517230	134202923.333333	123515340	147948244.666667	144917170	0.0134419547398064	0.791046362295709	0.0262845277516103	farnesyl acetone_[609_263.24_2.4]	farnesyl acetone	Farnesylacetone	[M + H]+	3	Fatty acids	Fatty acyls	Fatty aldehydes	0.962	0.949	0.479
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	316	PS	Untreated	13084076.6666667	13084076.6666667	94221742.2222222	93122460	98076563.3333333	100063800	98836370	97055160	85752293.3333333	91978140	0.0117449326295799	0.802791294925289	0.0178975614391638	farnesyl acetone_[316_263.24_1.3]	farnesyl acetone	Farnesylacetone	[M + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.983	0.967	0.575
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	639	Untreated	PS	10738403.3333333	10738403.3333333	164353017.777778	169915100	162041856.666667	176283620	160139396.666667	150595740	170877800	169915100	0.00963933695226406	0.812430631877553	0.0312191025554609	civetone_[639_268.26_2.5]	civetone	cycloheptadec-9-en-1-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.988	0.985	0.685
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	874	Untreated	PET	9389022	9389022	67063498	72981224	61013156	76646856	69775160	60463692	70402178	72981224	0.00842806364231865	0.820858695519872	0.0127388121623711	NA_[874_296.29_3.4]	NA	nonadeca-10,13-dien-2-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.994	0.981	0.758
