data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2291	PS	Untreated	14396647.8333333	14396647.8333333	22004160.2777778	17798722	21442996	17798722	29483066.3333333	33969370	15086418.5	15452488	0.152369868356043	0.152369868356043	0.101115371600159	NA_[2291_762.6_7.7]	NA	methyl 4-hydroxy-1-[2-(4-hydroxyphenyl)ethyl]-5-(2-oxooctadecylidene)-2-pentadecylpyrrolidine-3-carboxylate	[M + Na]+	300	Alkaloids	Linear polyketides	Open-chain polyketides	0.278	0.749	0.759
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1283	Untreated	PS	8846645.76666667	8846645.76666667	6893111.38888889	1013873.6	9804941.2	11223786	1013873.6	1013873.6	9860519.36666667	7975836.5	0.0936302857765639	0.246000154132607	0.0316758063370723	NA_[1283_507.27_4.7]	NA	ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate	[M - H2O + H]+	-1	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.639	0.895	0.628
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	922	PS	PET	8430146.53333333	8430146.53333333	12425906.8	1013873.6	7357780.4	1013873.6	15787926.9333333	2320255.2	14132013.0666667	1013873.6	0.0892221809115927	0.3352223350442	0.057100574059163	NA_[922_576.33_3.5]	NA	Rhizoxin D	[M - H2O + H]+	59	Polyketides	Linear polyketides	Open-chain polyketides	0.74	0.739	0.594
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1385	Untreated	PS	8270630.1	8270630.1	5632524.44444444	1013873.6	6599196.03333333	7668712.5	1013873.6	1013873.6	9284503.7	2172285.5	0.0875339060972745	0.422756241141475	0.0258830509802348	NA_[1385_507.27_5.2]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	238	Polyketides	Linear polyketides	Open-chain polyketides	0.562	0.761	0.504
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	973	Untreated	PET	7553776.13333333	7553776.13333333	4083227.18888889	1013873.6	1013873.6	1013873.6	2668158.23333333	1013873.6	8567649.73333333	1013873.6	0.0799469354499403	0.502703176591415	0.0187635896721467	NA_[973_590.35_3.6]	NA	Ac-Ser-Ala-Val-Leu-Cha-al	[M + Na]+	167	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.924	0.846	0.306
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	587	PS	Untreated	6807831.33333333	6807831.33333333	23990753.5555556	21953630	23327741.3333333	25298544	27726175.3333333	21953630	20918344	20392336	0.0720520760151132	0.574755252606528	0.110244332440521	NA_[587_565.41_2.3]	NA	NA	[M + Na]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.865	0.824	0.809
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2520	PS	Untreated	5593037.13333333	5593037.13333333	5260973.94444444	3780970.5	4682451.16666667	4842580.5	8346753.9	3293359.2	2753716.76666667	2362675	0.0591950530138894	0.633950305620417	0.0241756708120551	NA_[2520_762.48_8.4]	NA	4-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-1-isopropyl-3a-[(4-isopropylpiperazine-1-carbonyl)amino]-5a,5b,8,8,11a-pentamethyl-2-oxo-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxo-butanoic acid	[M + K]+	25	Polyketides	Linear polyketides	Open-chain polyketides	0.549	0.735	0.613
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	728	PET	PS	5374361.83333333	5374361.83333333	70982177.2777778	99194330	73925252.3333333	104773530	68550890.5	99194330	70470389	96732560	0.0568806582284191	0.690830963848836	0.326183282698562	Precorallopyronin A_[728_529.33_2.8]	Precorallopyronin A	Precorallopyronin A	[M + H3N + H]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.807	0.729	0.599
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	746	PS	Untreated	4947611.3	4947611.3	5522254.56666667	3823246	5073027.33333333	6043287.5	8220673.83333333	2199995.5	3273062.53333333	3823246	0.052364056632156	0.743195020480993	0.0253763295454221	NA_[746_641.51_2.9]	NA	Cer(d16:1/6 keto-PGF1alpha)	[M + H3N + H]+	131	Polyketides	Linear polyketides	Open-chain polyketides	0.782	0.911	0.843
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	251	PS	Untreated	4790632.76666667	4790632.76666667	5139170.84444444	2753724.2	4378366.83333333	4937892	7914889.23333333	2753724.2	3124256.46666667	2700421.8	0.0507026422018228	0.793897662682815	0.0236159509425816	Sarcoursodeoxycholic acid_[251_481.36_1.1]	Sarcoursodeoxycholic acid	YZYBIGOLMMAZFK	[M + H3N + H]+	509	Polyketides	Linear polyketides	Open-chain polyketides	0.46	0.87	0.781
