data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	760	Untreated	PET	0.179944151804527	0.179944151804527	0.740183883301178	0.775324233783544	0.637429013609586	0.781982294802784	0.804344111936301	0.771283202153383	0.817373165414114	0.862712642989595	0.157347056048822	0.157347056048822	0.17444642967184	4E,9Z-Tetradecadienal_[760_226.22_2.9]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.951	0.89	0.795
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	253	PS	PET	0.163436376215515	0.163436376215515	0.419394838212326	0.396464330582928	0.343255172546576	0.399578068722169	0.506691548762092	0.430046027122123	0.397080748444292	0.396464330582928	0.142912300238213	0.300259356287035	0.0988429143075114	9E,11E-Hexadecadienal_[253_254.25_1.1]	9E,11E-Hexadecadienal	hexadeca-9,11-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.971	0.705
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	551	PS	PET	0.146745847620906	0.146745847620906	0.666968151055879	0.713165495623596	0.579937216557142	0.719629151276563	0.726683064178048	0.700192219713018	0.721600193809014	0.697369853361232	0.12831774124908	0.428577097536115	0.157190956573671	11-Hexadecynal_[551_254.25_2.1]	11-Hexadecynal	11-Hexadecynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.987	0.977	0.717
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	374	Untreated	PET	0.12433660151322	0.12433660151322	0.508112841611164	0.50665779864755	0.440280856775529	0.541179384772065	0.547692518108007	0.489792131875511	0.564617458288749	0.538005597195849	0.108722612049505	0.53729970958562	0.119751960410376	4E,9Z-Tetradecadienal_[374_226.22_1.5]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.988	0.983	0.828
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	51	PS	Untreated	0.109568301963928	0.109568301963928	0.151715648076333	0.0636452319078974	0.125004639956576	0.092199301630211	0.206045754144148	0.0633099123395149	0.0964774521802195	0.0245376460866571	0.0958088916889085	0.633108601274528	0.0357563218132065	NA_[51_153.09_0.6]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.898	0.623	0.856
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	450	PS	PET	0.0977278380783669	0.0977278380783669	0.271004210668923	0.221932588131934	0.22612962585558	0.196110626468328	0.323857463933947	0.19350713693691	0.255046873765563	0.313374842865138	0.0854553341213957	0.718563935395924	0.0638702328486023	NA_[450_170.12_1.7]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.681	0.865
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	765	PS	PET	0.096801942644074	0.096801942644074	0.697554289613052	0.765415630500343	0.652998196301674	0.812701745750173	0.749800138945748	0.734126722880738	0.682174777570417	0.694352411818638	0.084645711139298	0.803209646535222	0.164399493248302	NA_[765_184.17_2.9]	NA	Cyclobutyl(cyclohexyl)methanone	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.841	0.772	0.729
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	499	PET	PS	0.0869548500460641	0.0869548500460641	0.249165745499629	0.162716944138665	0.290349008425015	0.173975577109482	0.203394158378951	0.154310135514729	0.258342393890212	0.0503321399118813	0.0760352005147563	0.879244847049978	0.0587233465623117	NA_[499_153.09_1.9]	NA	(3Z)-3-(hydroxymethylidene)cycloheptene-1-carbaldehyde	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.899	0.588	0.814
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	496	PET	PS	0.0813930790922948	0.0813930790922948	0.257895029603303	0.174960952192057	0.295250531998504	0.183549209950267	0.213857452906209	0.166554160318486	0.27125917820709	0.0696313199960131	0.0711718677683601	0.950416714818338	0.0607806629668321	NA_[496_170.12_1.9]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.938	0.527	0.783
filtered	class	Fatty aldehydes	NPC class: Fatty aldehydes	353	PET	PS	0.0567040936115619	0.0567040936115619	0.281049399966626	0.183440477728089	0.312746841519019	0.217300288988048	0.256042747907457	0.165715651325992	0.267667820980179	0.233445437958223	0.0495832851816617	1	0.0662376815973466	NA_[353_170.12_1.4]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.982	0.602	0.811
