data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	95	PS	PET	0.160259216528419	0.160259216528419	0.511110925705895	0.471209455296112	0.427674313734266	0.472229682628927	0.587933530262685	0.459936857828465	0.524338940535574	0.52798543955268	0.101107923651402	0.101107923651402	0.075562106934743	NA_[95_352.25_0.7]	NA	NA	[M + Na]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.998	0.494	0.942
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	141	PS	Untreated	0.143719448329376	0.143719448329376	0.330813238476446	0.303692058906571	0.29541419156881	0.310451953950277	0.402319085857995	0.265593667442683	0.258599637528619	0.313088241579606	0.090672944269207	0.191780867920609	0.048907084634637	NA_[141_326.23_0.7]	NA	2-[[(E)-2-oxohexadec-5-enylidene]amino]acetic acid	[M + O + H]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.99	0.674	0.825
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	148	PS	Untreated	0.142096406144981	0.142096406144981	0.245906982591849	0.185049119418796	0.193480294171968	0.190734331470881	0.328223576920097	0.1666680802651	0.186127170775115	0.201639073187799	0.0896489630666428	0.281429830987252	0.0363546321944551	NA_[148_330.26_0.7]	NA	(E)-11-nitrooctadec-11-en-5-ol	[M + O + H]+	310	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.795	0.965
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	575	PET	Untreated	0.133662319882486	0.133662319882486	0.544400975534118	0.588104808325185	0.599324655060069	0.738813399494245	0.528846616186435	0.528627596348465	0.465662335177583	0.555464876389284	0.0843278778375353	0.365757708824787	0.0804836732297875	NA_[575_359.33_2.3]	NA	12-hydroxy-N-(2-hydroxyethyl)octadec-9-enamide	[M + H3N + H]+	631	Fatty acids	Fatty amides	Nitro fatty acids	1	0.837	0.738
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	658	PET	PS	0.128994941337997	0.128994941337997	0.0985723442750798	0	0.166666666666667	0	0.0376717253286694	0	0.0841849373847268	0	0.0813832175318694	0.447140926356656	0.0145728327146108	Putative (3-hydroxyoctadecanoyl)glycine_[658_375.32_2.5]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + H3N + H]+	108	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.721	0.868
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	262	PS	Untreated	0.114373842500963	0.114373842500963	0.597373985115478	0.667669540000236	0.55978709578963	0.668447076820051	0.660556525499698	0.665421119237818	0.546182682998735	0.623020146244749	0.0721587312468491	0.519299657603505	0.088315147794949	NA_[262_359.33_1.1]	NA	O-oleoyl-N-(2-hydroxyethyl)hydroxylamine	[M + H3N + H]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	1	0.887	0.893
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	187	PS	Untreated	0.111858465842182	0.111858465842182	0.750026353276522	0.844435360924203	0.728798669795277	0.879841490595394	0.801464297544747	0.78937310745172	0.689605831702564	0.844435360924203	0.0705717740865701	0.589871431690075	0.11088311491656	NA_[187_373.31_0.9]	NA	12-Nitroicos-11-enoic acid	[M + H3N + H]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.292	0.752
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	595	PET	Untreated	0.0993466948251092	0.0993466948251092	0.579722524840608	0.639716118222939	0.600682484606452	0.719238990857871	0.597955932604397	0.537428201742171	0.501335789781342	0.639716118222939	0.0626780677766199	0.652549499466695	0.0857055742918938	NA_[595_336.25_2.3]	NA	9-nonanamidononanoic acid	[M + Na]+	31	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	1	0.923	0.843
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	264	PS	PET	0.0989660026307633	0.0989660026307633	0.418041465386824	0.375567163795917	0.372424533645749	0.425796519807992	0.471390536276512	0.366318660145579	0.402577187089598	0.375567163795917	0.0624378881591576	0.714987387625853	0.0618028148529393	NA_[264_336.25_1.1]	NA	2-Tridecyl-2-oxazoline-4,4-dimethanol	[M + Na]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.997	0.674	0.925
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	576	PET	PS	0.0983933981265426	0.0983933981265426	0.201799087461328	0.078012491738378	0.245038813133153	0.102978286121586	0.146645415006611	0.0842752135550392	0.225626981027114	0	0.0620766306056182	0.777064018231471	0.0298337669166961	Putative (3-hydroxyoctadecanoyl)glycine_[576_375.32_2.3]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + H3N + H]+	108	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.998	0.756	0.95
