data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Primary amides	NPC class: Primary amides	3242	Untreated	PS	0.332698390463106	0.332698390463106	0.0764653390546268	0	0.0238617380996732	0	0.000634942870227249	0	0.333333333333333	0	0.0645299384603599	0.0645299384603599	0.00722869781263763	NA_[3242_480.51_10.4]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.999	0.88
filtered	class	Primary amides	NPC class: Primary amides	646	PS	PET	0.287487539489072	0.287487539489072	0.214079000311009	0	0.0750820652832253	0	0.362569604772297	0.269532774502369	0.195091661444	0	0.0557608746033514	0.120290813063711	0.0202380898379892	NA_[646_302.25_2.5]	NA	Octadecadienamide	[M + Na]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	1
filtered	class	Primary amides	NPC class: Primary amides	1169	Untreated	PET	0.28350923179433	0.28350923179433	0.442139329426277	0.432532418447748	0.341616793323254	0.416735235338068	0.451168517683646	0.492828801313194	0.625126025117584	0.587033408187542	0.0549892449289164	0.175280057992628	0.0417979131854958	NA_[1169_334.31_4.3]	NA	1-(pyrrolidin-1-yl)octadeca-2,4-dien-1-one	[M + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.968
filtered	class	Primary amides	NPC class: Primary amides	382	Untreated	PET	0.239277573354544	0.239277573354544	0.443600071263571	0.440986386662296	0.351511934553373	0.361999636840588	0.462093489651598	0.530941085640669	0.590789507907917	0.436236879472197	0.046410104545502	0.22169016253813	0.0419360053126561	C20 sphingosine_[382_345.35_1.5]	C20 sphingosine	C20 Sphingosine	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.989
filtered	class	Primary amides	NPC class: Primary amides	3260	PET	PS	0.182529203229832	0.182529203229832	0.0896243281389138	0	0.18447660602915	0	0.00194740279931826	0	0.0752736230376325	0	0.0354032318438455	0.257093394381975	0.00847269093143035	NA_[3260_480.51_10.5]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.789
filtered	class	Primary amides	NPC class: Primary amides	2278	PS	PET	0.181419090877551	0.181419090877551	0.586133670350855	0.610991873703728	0.480418388552238	0.54654631686054	0.661837479429789	0.634590304743767	0.64615661579022	0.598879088106315	0.0351879152573209	0.292281309639296	0.0554105066839708	NA_[2278_396.42_7.7]	NA	hexacosanamide	[M + H]+	142	Fatty acids	Fatty amides	Primary amides	1	0.999	0.867
filtered	class	Primary amides	NPC class: Primary amides	2915	PET	PS	0.171687400635451	0.171687400635451	0.084471992816831	0.0111596528302999	0.181723110212394	0.010314585521151	0.0100357095769424	0.0102150577121681	0.0388423245054825	0.0111596528302999	0.033300363677754	0.32558167331705	0.00798561174583872	NA_[2915_480.51_9.3]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.998	0.879
filtered	class	Primary amides	NPC class: Primary amides	766	PS	PET	0.169776342045719	0.169776342045719	0.334596161155093	0.316183444358656	0.241514877796394	0.304469212186578	0.411291219842114	0.300032318819724	0.367368610498448	0.352431260534105	0.0329296961400544	0.358511369457104	0.0316312536917002	oleamide_[766_299.31_2.9]	oleamide	Oleamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	1	1
filtered	class	Primary amides	NPC class: Primary amides	3372	PET	PS	0.166964777207638	0.166964777207638	0.0699623103486287	0	0.167378184401541	0	0.000413407193902714	0	0.0142283685522564	0	0.0323843670636915	0.390895736520796	0.00661392999804669	NA_[3372_480.51_11.1]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.998	0.843
filtered	class	Primary amides	NPC class: Primary amides	3438	PET	PS	0.1666937284131	0.1666937284131	0.0766913094367859	0	0.167782267010714	0	0.00108853859761359	0	0.0457149359672746	0	0.0323317946361335	0.423227531156929	0.00725006006156544	NA_[3438_480.51_11.4]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.999	0.877
filtered	class	Primary amides	NPC class: Primary amides	3243	PET	PS	0.166666666666667	0.166666666666667	0.0897722591401679	0	0.166666666666667	0	0	0	0.115527962367506	0	0.032326545759427	0.455554076916356	0.00848667567953201	NA_[3243_494.53_10.4]	NA	Tritriacontanamide	[M + H]+	92	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.788
filtered	class	Primary amides	NPC class: Primary amides	3055	PET	PS	0.166666666666667	0.166666666666667	0.0666666666666667	0	0.166666666666667	0	0	0	0	0	0.032326545759427	0.487880622675783	0.00630237429752187	NA_[3055_494.53_9.6]	NA	Tritriacontanamide	[M + H]+	92	Fatty acids	Fatty amides	Primary amides	1	0.999	0.866
filtered	class	Primary amides	NPC class: Primary amides	3154	PET	PS	0.166666666666667	0.166666666666667	0.0666666666666667	0	0.166666666666667	0	0	0	0	0	0.032326545759427	0.52020716843521	0.00630237429752187	NA_[3154_424.45_10.1]	NA	Octacosanamide	[M + H]+	92	Fatty acids	Fatty amides	Primary amides	0.999	0.999	0.776
