data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	896	Untreated	PET	0.384160790341833	0.384160790341833	0.244680651445978	0	0.103729133191944	0	0.264027533656111	0	0.487889923533777	0.649723490328804	0.0251091759801464	0.0251091759801464	0.00542620128109714	NA_[896_326.31_3.4]	NA	Icos-6-en-11-yne-6,7-diol	[M + H3N + H]+	420	Fatty acids	Fatty acyls	Fatty alcohols	0.979	0.728	0.549
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	648	Untreated	PET	0.372487642991241	0.372487642991241	0.381589752379922	0.305047696412109	0.235599136089354	0.152523848206054	0.414331855320153	0.308537928654828	0.608086779080596	0.852836372114551	0.0243462061028527	0.0494553820829991	0.00846238879527681	NA_[648_266.25_2.5]	NA	NA	[M + H3N + H]+	19	Fatty acids	Fatty acyls	Fatty alcohols	0.913	0.785	0.687
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	802	Untreated	PET	0.296330787546028	0.296330787546028	0.553533297361244	0.567403900590008	0.424921255161292	0.468819586419523	0.598285966888157	0.641652507561257	0.72125204270732	0.912230291456054	0.0193685094363946	0.0688238915193938	0.0122755235018436	civetone_[802_268.26_3.1]	civetone	cycloheptadec-9-en-1-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.955	0.924	0.771
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	889	Untreated	PET	0.285604527393979	0.285604527393979	0.367322001017908	0.344040227193838	0.255097336888313	0.172020113596919	0.39285673351531	0.307835142185388	0.540701864282292	0.743203303256584	0.018667429158194	0.0874913206775877	0.00814597762724447	NA_[889_295.28_3.4]	NA	4,6-Bis(aminomethyl)-2,8-diethylnonane-1,9-diamine	[M + Na]+	-1	Fatty acids	Fatty acyls	Acetate-derived alkaloids	0.745	0.785	0.297
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	16	Untreated	PET	0.244288316799602	0.244288316799602	0.258515341065195	0	0.141633051011571	0	0.311694617745831	0.209653784145298	0.385921367811173	0.50483955084494	0.015966955739957	0.103458276417545	0.00573300858315287	tetraglyme_[16_240.18_0.5]	tetraglyme	2,5,8,11,14-pentaoxapentadecane	[M + H3N + H]+	773	Fatty acids	Fatty acyls	Fatty alcohols	0.98	0.951	0.978
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	74	Untreated	PET	0.235333231653485	0.235333231653485	0.367895111830356	0.367410190115823	0.244214224955521	0.210158038017783	0.435749826315867	0.316801591808103	0.479547456609006	0.665263144431747	0.0153816414275543	0.118839917845099	0.0081586873147753	D-altritol_[74_165.08_0.6]	D-altritol	G-Ol	[M - H2O + H]+	-1	Fatty acids	Fatty acyls	Fatty alcohols	0.976	0.991	0.996
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1375	Untreated	PET	0.223331704014736	0.223331704014736	0.705615993188816	0.771982334287288	0.583792785828363	0.67428186227976	0.776684952222128	0.774560606129243	0.807124489843099	0.778322892343409	0.0145972082498638	0.133437126094963	0.015648210774235	NA_[1375_352.36_5.1]	NA	Tricos-10-ynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Unsaturated fatty acids	0.999	0.806	0.431
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	94	Untreated	PET	0.217792450243784	0.217792450243784	0.342497517723165	0.307594361291387	0.245923994524285	0.153797180645693	0.378461577399592	0.352812690715418	0.46371644476807	0.404823281509408	0.0142351564704259	0.147672282565389	0.00759545333257522	NA_[94_232.23_0.6]	NA	(6R)-6-ethyl-1-methoxydecan-5-one	[M + H3N + H]+	308	Fatty acids	Fatty acyls	Fatty alcohols	0.967	0.898	0.709
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	644	Untreated	PET	0.208661792411341	0.208661792411341	0.645189304794794	0.674579300381666	0.535903067669444	0.689195667957525	0.704787764277148	0.672351308888834	0.744564860080785	0.768597123145436	0.0136383665322197	0.161310649097608	0.0143081482395049	NA_[644_304.26_2.5]	NA	3,4-Dehydroretinal	[M + H3N + H]+	90	Fatty acids	Fatty acyls	Fatty aldehydes	0.94	0.808	0.528
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1139	PS	PET	0.208446918810936	0.208446918810936	0.736347841435086	0.797881361691983	0.615314664497041	0.684132045847947	0.823761583307977	0.843208279711345	0.803586711565396	0.797881361691983	0.0136243221550171	0.174934971252625	0.0163297407331382	NA_[1139_312.33_4.2]	NA	icos-2-enal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.949	0.905	0.899
