data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	2410	Untreated	PET	0.333333333333333	0.333333333333333	0.109940748414788	0	0	0	0.108185204370302	0	0.333333333333333	0	0.0164166419687716	0.0164166419687716	0.00218564220125171	1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine_[2410_734.57_8]	1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine	2-[[(2R)-2-(8,9-ditritiohexadecanoyloxy)-3-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium	[M + H]+	725	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.999
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	1766	Untreated	PET	0.333333333333333	0.333333333333333	0.0980680873016682	0	0	0	0.0785035515875038	0	0.333333333333333	0	0.0164166419687716	0.0328332839375431	0.00194961152523619	NA_[1766_512.3_6.4]	NA	Pob-PA	[M + H3N + H]+	21	Fatty acids	Glycerophospholipids	Glycerophosphates	1	1	0.74
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	2306	PS	PET	0.312248576438388	0.312248576438388	0.171052465926399	0	0	0	0.312248576438388	0	0.230765176755217	0	0.0153782192539428	0.0482115031914859	0.00340055433083281	NA_[2306_822.64_7.8]	NA	[(2R)-3-[(E)-icos-1-enoxy]-2-[(E)-octadec-4-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + Na]+	-1	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.991
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	1963	PS	PET	0.249212952924108	0.249212952924108	0.191194955835299	0	0.0783535305241447	0.0660516210348511	0.327566483448253	0	0.144134751231699	0	0.0122737194664062	0.0604852226578922	0.00380099071695857	PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))_[1963_816.59_6.9]	PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	NA	[M + H]+	256	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.995
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	1825	PS	PET	0.249077359187246	0.249077359187246	0.173108625993391	0	0.0559586941984642	0	0.30503605338571	0.0514826054868377	0.143553634798609	0	0.0122670414849124	0.0727522641428045	0.00344143116930941	1-(1Z-hexadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine_[1825_790.57_6.6]	1-(1Z-hexadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	[2-[(4E,7E,10E,13E,16E,19E)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-[(Z)-hexadec-1-enoxy]propyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	82	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.997
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	1683	PET	Untreated	0.242444349999536	0.242444349999536	0.163644406666481	0	0.242444349999536	0	0.166666666666667	0	0	0	0.0119403662738818	0.0846926304166863	0.00325328075682764	PC(16:1(9Z)/17:1(9Z))_[1683_744.55_6.2]	PC(16:1(9Z)/17:1(9Z))	[2-[(Z)-heptadec-9-enoyl]oxy-3-[(Z)-hexadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	101	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.997
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	1617	PS	Untreated	0.22069520709381	0.22069520709381	0.147775514179432	0	0.0933063694541629	0	0.257653346360881	0	0.036958139267071	0	0.0108692225972489	0.0955618530139352	0.00293780426965688	NA_[1617_880.59_6.1]	NA	(9Z)-9-Octadecenoic acid (R)-1-[[[2-[[[(2R)-3,4,5,6-tetrahydro-2beta,3beta,4alpha,5alpha-tetrahydroxy-2H-pyran]-2-ylmethyl]amino]ethoxy(hydroxy)phosphinyl]oxy]methyl]-2-[(1-oxohexadecyl)oxy]ethyl ester	[M + H]+	-1	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.992	0.997	0.222
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	1996	PS	PET	0.219609251952871	0.219609251952871	0.145107181485679	0	0.0352889658550742	0	0.254898217807945	0	0.145161540102356	0	0.0108157393870201	0.106377592400955	0.00288475732731261	PC(P-18:1(9Z)/16:1(9Z))_[1996_742.57_6.9]	PC(P-18:1(9Z)/16:1(9Z))	NA	[M + H]+	-1	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.995
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	1993	Untreated	PET	0.219161554222629	0.219161554222629	0.316100950791161	0.36282568011858	0.235113672483564	0.183541133078689	0.328001091141241	0.333833777592062	0.454275226706193	0.36282568011858	0.0107936903069773	0.117171282707933	0.00628414475857818	PC(P-18:1(9Z)/18:2(9Z,12Z))_[1993_790.57_6.9]	PC(P-18:1(9Z)/18:2(9Z,12Z))	NA	[M + Na]+	45	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.984
filtered	superclass	Glycerophospholipids	NPC superclass: Glycerophospholipids	2215	PS	PET	0.21559498410044	0.21559498410044	0.211008142357438	0	0.117765454432368	0.102339972358156	0.333360438532808	0.0339109703083114	0.152788925856836	0	0.0106180369927197	0.127789319700652	0.00419488049148219	NA_[2215_744.59_7.5]	NA	(3-Hexadec-1-enoxy-2-octadec-4-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.993
