data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	2401	Untreated	PET	0.264816713089242	0.264816713089242	0.379336245741308	0.370828874910762	0.276296709620716	0.265077374315647	0.401487193377576	0.275751245401242	0.541113422709959	0.74675272392229	0.0765572496258579	0.0765572496258579	0.0391968120475868	NA_[2401_592.58_8]	NA	1-Hydroxy-4-[1-(1-hydroxy-2,2,6-trimethyl-6-propan-2-ylpiperidin-4-yl)-3-(1,2,2,6-tetramethyl-6-propan-2-ylpiperidin-4-yl)propyl]-2,2,6-trimethyl-6-propan-2-ylpiperidine	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.942	0.965	0.976
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	1357	Untreated	PET	0.264239970680124	0.264239970680124	0.722274218767654	0.808385179069378	0.590539202685608	0.65330841413869	0.78775675755066	0.826209477570552	0.854779173365732	0.813076300142486	0.0763905161441618	0.15294776577002	0.0746325907890177	NA_[1357_515.34_5]	NA	[(4R,5S,6S,7R)-4,7-dibenzyl-1,3-bis(cyclopentylmethyl)-5,6-dihydroxy-1,3-diazepan-2-ylidene]cyanamide	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.947	0.809	0.725
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	686	PS	Untreated	0.261607369203571	0.261607369203571	0.527373340336741	0.645495130364624	0.452374335390714	0.558786367191974	0.664575133368616	0.728375464915431	0.402967764165046	0.208903292495137	0.075629443604386	0.228577209374406	0.0544934841638736	NA_[686_487.39_2.7]	NA	3-(Hydroxyimino)-Olean-12-En-28-Oic Acid	[M + H3N + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.586	0.912	0.525
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	2827	Untreated	PS	0.257987094700618	0.257987094700618	0.159005338625854	0	0.166666666666667	0	0.0679020883651065	0	0.325889183065725	0	0.0745828394999718	0.303160048874378	0.0164300207076199	Cer(d18:0/17:0)_[2827_554.55_9.1]	Cer(d18:0/17:0)	C17 dihydro Ceramide (d18:0/17:0)	[M + H]+	21	Alkaloids	Pseudoalkaloids (transamidation)	Open-chain polyketides	0.639	0.734	0.42
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	2024	Untreated	PET	0.200500601228439	0.200500601228439	0.683881307584645	0.715143769608758	0.614790628418726	0.724164283303404	0.687267025719305	0.642307455358684	0.815291229647165	0.943616080533394	0.0579637682203515	0.361123817094729	0.0706654515016574	NA_[2024_454.47_7]	NA	2-[3-(2-Aminoethyl)-2-henicosylimidazolidin-1-yl]ethanol	[M + H]+	334	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.762	0.797	0.681
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	1418	PS	PET	0.193774357626968	0.193774357626968	0.276258502769958	0.269727710367758	0.164771853125653	0.134863855183879	0.358546210752621	0.281709210995436	0.334656386093243	0.335659861205379	0.0560192432527427	0.417143060347472	0.0285457894709232	NA_[1418_464.41_5.3]	NA	NA	[M + Na]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.684	0.904	0.494
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	1055	PS	Untreated	0.191820974540851	0.191820974540851	0.0825636645544949	0	0.0145881868453859	0	0.191820974540851	0	0	0	0.0554545295124571	0.472597589859929	0.00853130297416798	NA_[1055_437.41_3.9]	NA	N,N-Bis(2-hydroxypropyl)-N-tetradecylbenzenemethanaminium	[M + H3N + H]+	18	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.885	0.845	0.539
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	2922	Untreated	PET	0.186564879322989	0.186564879322989	0.293560131077156	0.288242569944525	0.225895466870072	0	0.301774687726288	0.398785172017009	0.412460346193061	0.288242569944525	0.0539350174357569	0.526532607295686	0.0303335666224294	NA_[2922_540.54_9.4]	NA	2-(1,2-Dihydroxyhexadecylamino)octadecane-1,3-diol	[M - H2O + H]+	21	Fatty acids	Pseudoalkaloids (transamidation)	Sphingoid bases	0.739	0.822	0.677
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	1998	Untreated	PET	0.17444285576314	0.17444285576314	0.567565665651933	0.61135771850884	0.506328405202389	0.607772946826737	0.572200128444678	0.497363731113531	0.680771260965529	0.826185768880457	0.0504305981987083	0.576963205494394	0.0586465569029585	NA_[1998_516.49_6.9]	NA	2-[[(3S,10R,13R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3-carbonyl]amino]ethyl-trimethylazanium	[M + H3N + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.533	0.702	0.829
filtered	superclass	Pseudoalkaloids (transamidation)	NPC superclass: Pseudoalkaloids (transamidation)	2466	Untreated	PS	0.168913371659283	0.168913371659283	0.646929392951277	0.644275519514391	0.674331196503382	0.720259685039307	0.572357066696778	0.63416131291726	0.741270438356062	0.898275185561745	0.0488320506980508	0.625795256192445	0.0668472103793198	NA_[2466_522.54_8.2]	NA	(E)-1-N-[(1E,7Z)-1-methoxy-2,3,3,6,6,7,8,9,9-nonamethyldeca-1,7-dienyl]-1-N,5-N,5-N,3,3,6-hexamethylhept-4-ene-1,5-diamine	[M + H3N + H]+	158	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.592	0.878	0.848
