data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	1345	Untreated	PET	0.333333333333333	0.333333333333333	0.0666666666666667	0	0	0	0	0	0.333333333333333	0	0.0995378126387332	0.0995378126387332	0.0115032106684135	Kurilensoside H_[1345_632.4_4.9]	Kurilensoside H	15-(7-hydroxy-6-methylheptan-2-yl)-2,16-dimethyl-5-[(3,4,5-trihydroxyoxan-2-yl)oxy]-7-oxapentacyclo[9.7.0.0²,⁸.0⁶,⁸.0¹²,¹⁶]octadecane-9,11,13,14-tetrol	[M + H3N + H]+	167	Terpenoids	Triterpenoids	Limonoids	0.967	0.881	0.123
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	1227	PET	PS	0.318632155236948	0.318632155236948	0.323736516243605	0.032260641677528	0.459056175961721	0.383638333712591	0.140424020724773	0.016130320838764	0.419722187845036	0.538747303415866	0.0951478433059533	0.194685655944686	0.055860140211127	NA_[1227_572.39_4.5]	NA	2,3-Dihydroxy-5,12-Oleanadien-28-Oic Acid; (2&#946;,3&#945;)-Form, Di-Ac	[M + H3N + H]+	69	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids	0.942	0.925	0.16
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	2398	PS	Untreated	0.287510961276778	0.287510961276778	0.143360271549691	0	0.0495332962446891	0.00705682118129273	0.301748575511951	0	0.014237614235173	0	0.08585463658545	0.280540292530136	0.0247365510767559	NA_[2398_502.32_8]	NA	2-acetyl-12-(acetyloxy)-7-ethyl-4b,7,10a,12a-tetramethyl-3-oxo-3,4b,5,6,6a,7,8,9,10,10a,10b,11,12,12a-tetradecahydrochrysene-1-carboxylic acid	[M + H3N + H]+	8	Terpenoids	Triterpenoids	Lupane triterpenoids	0.907	0.751	0.036
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	1593	Untreated	PS	0.28727510943759	0.28727510943759	0.12298305459417	0	0.0947327459230145	0	0.0460582238957434	0	0.333333333333333	0	0.0857842080569112	0.366324500587048	0.0212204997846261	NA_[1593_572.39_6]	NA	2,3-Dihydroxy-5,12-Oleanadien-28-Oic Acid; (2&#946;,3&#945;)-Form, Di-Ac	[M + H3N + H]+	69	Terpenoids	Triterpenoids	Abeolupane triterpenoids	0.991	0.867	0.266
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	2526	Untreated	PET	0.262844859508563	0.262844859508563	0.179830609150515	0	0.0571413086268061	0.0162483740581464	0.232442130181797	0	0.319986168135369	0	0.0784890071364525	0.4448135077235	0.0310294407253126	NA_[2526_502.32_8.4]	NA	2-acetyl-12-(acetyloxy)-7-ethyl-4b,7,10a,12a-tetramethyl-3-oxo-3,4b,5,6,6a,7,8,9,10,10a,10b,11,12,12a-tetradecahydrochrysene-1-carboxylic acid	[M + H3N + H]+	8	Terpenoids	Triterpenoids	Lupane triterpenoids	0.948	0.873	0.057
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	3028	PS	Untreated	0.259659748503886	0.259659748503886	0.601673337182678	0.643557834114495	0.517044023085169	0.534218702911058	0.744646129415647	0.86305255780554	0.48498638091176	0.643325392069383	0.0775378901892013	0.522351397912701	0.103817627267696	NA_[3028_710.52_9.5]	NA	NA	[M + H3N + H]+	67	Terpenoids	Triterpenoids	Cucurbitane triterpenoids	0.823	0.811	0.09
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	2807	PS	PET	0.229301000490254	0.229301000490254	0.486536488119368	0.481847549976183	0.367974523951146	0.389750412506813	0.5972755244414	0.532965661990797	0.502182343811747	0.480440459025467	0.068472360074019	0.59082375798672	0.0839509758106075	NA_[2807_713.43_9.1]	NA	11-(acetyloxy)-10-{[4,5-bis(acetyloxy)-3-hydroxyoxan-2-yl]oxy}-2,2,6a,6b,9,9,12a-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid	[M - H2O + H]+	329	Terpenoids	Triterpenoids	Oleanane triterpenoids	0.999	0.998	0.425
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	2522	PS	Untreated	0.205058082405596	0.205058082405596	0.0994287276382666	0	0.0435137366900707	0	0.205058082405596	0	0	0	0.0612330989596383	0.652056856946359	0.0171562440077294	NA_[2522_745.45_8.4]	NA	10-{[2,4-dihydroxy-5-(hydroxymethyl)-3-[(3,4,5-trihydroxyoxan-2-yl)oxy]cyclohexyl]oxy}-11-hydroxy-1,6a,6b,9,9,12a-hexamethyl-2-methylidene-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid	[M - H2O + H]+	25	Terpenoids	Triterpenoids	Oleanane triterpenoids	0.961	0.979	0.19
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	1878	PS	PET	0.168527642471683	0.168527642471683	0.577502658416039	0.567078576587978	0.483295211473489	0.504584024530499	0.651822853945172	0.586803736519155	0.617277161242871	0.626460123395685	0.0503246187023814	0.70238147564874	0.0996470211199283	NA_[1878_670.47_6.7]	NA	3-({[1-(4-ethylideneoxolan-2-yl)prop-1-en-2-yl]oxy}carbonyl)-5,10-dihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid	[M + H3N + H]+	11	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids	0.991	0.965	0.385
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	1877	PS	PET	0.16711689800318	0.16711689800318	0.608170223148913	0.597782404483962	0.515149401116032	0.528746287097197	0.682266299119213	0.629616135003005	0.646019715274072	0.668420882468999	0.0499033514466206	0.752284827095361	0.10493865298707	NA_[1877_653.44_6.7]	NA	[(3S,4S,6aR,6bS,8R,8aR,9R,10R,14bR)-3,8,9,10-tetrahydroxy-4,6a,6b,11,11,14b-hexamethyl-8a-(pent-4-enoyloxymethyl)-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-4-yl]methyl pent-4-enoate	[M - H2O + H]+	186	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids	0.997	0.997	0.357
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	3023	PET	PS	0.166666666666667	0.166666666666667	0.0666666666666667	0	0.166666666666667	0	0	0	0	0	0.0497689063193666	0.802053733414727	0.0115032106684135	NA_[3023_1190.96_9.5]	NA	[2-Hexacosanoyloxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropyl] hexacosanoate	[M + H3N + H]+	283	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids	0.95	0.893	0.317
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	1430	PS	PET	0.166157612037752	0.166157612037752	0.101756678219779	0	0.0332882641114631	0	0.199445876149215	0	0.0433151105775396	0	0.0496168957665394	0.851670629181267	0.0175579275972013	NA_[1430_460.38_5.3]	NA	10-hydroxy-1,6a,6b,9,9,12a-hexamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid	[M + H3N + H]+	-1	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids	0.999	0.992	0.435
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	2240	PS	PET	0.162317493639067	0.162317493639067	0.511918990975926	0.535023849020007	0.422857673838528	0.498293663769041	0.585175167477595	0.537392854677346	0.543529272247383	0.571929880864952	0.0484701848095027	0.90014081399077	0.0883306799753663	NA_[2240_498.47_7.6]	NA	9-[2-[1,2-dimethyl-5-[(Z)-5-propan-2-ylhept-5-en-2-yl]cyclopentyl]ethyl]-9a-methyl-2'-methylidenespiro[2,3,4,7,8,9-hexahydro-1H-benzo[7]annulene-6,1'-cyclopropane]-3-ol	[M + H3N + H]+	299	Terpenoids	Triterpenoids	Lupane triterpenoids	0.993	0.758	0.123
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	1786	PS	PET	0.148799956216775	0.148799956216775	0.494185785549665	0.483217533334312	0.417576646127521	0.462869985628983	0.566376602344295	0.485922312804782	0.503022430804691	0.513979077240654	0.0444336664876711	0.944574480478441	0.0852708480076983	NA_[1786_500.48_6.5]	NA	15-(5,5-dimethyl-6-methylideneoctan-2-yl)-6-methoxy-7,7,12,16-tetramethylpentacyclo[9.7.0.0¹,³.0³,⁸.0¹²,¹⁶]octadecane	[M + H3N + H]+	8	Terpenoids	Triterpenoids	Lupane triterpenoids	0.998	0.973	0.242
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	2566	Untreated	PET	0.125929109653733	0.125929109653733	0.655945721237207	0.735334673778573	0.627123848953417	0.71049620404636	0.636213974836024	0.758938770219096	0.75305295860715	0.881314238685631	0.0376041243674273	0.982178604845868	0.113182227276541	NA_[2566_500.48_8.5]	NA	1-[(1S,3aS,5aR,5bR,7aS,11aS,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-1,9-di(propan-2-yl)-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysen-3a-yl]ethanone	[M + H3N + H]+	-1	Terpenoids	Triterpenoids	Lupane triterpenoids	0.999	0.994	0.354
filtered	superclass	Triterpenoids	NPC superclass: Triterpenoids	2151	PS	PET	0.0596804861780309	0.0596804861780309	0.755121021259959	0.838014982007139	0.723553638650562	0.861102117233573	0.783234124828593	0.841969943185527	0.762029579341486	0.838014982007139	0.017821395154132	1	0.130294742815513	NA_[2151_726.53_7.3]	NA	[6-(acetyloxy)-14-hydroxy-5,5,9-trimethyltetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecan-14-yl]methyl 6-(acetyloxy)-5,5,9-trimethyltetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecane-14-carboxylate	[M + H3N + H]+	59	Terpenoids	Triterpenoids	Lupane triterpenoids	0.991	0.923	0.371
