sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.97394791318087	0.473333357859028	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_160526_PET100	PET	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	2.55533433029521	0.55088044640902	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_160526_PS05	PS	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.53693080958496	0.404308622749828	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_160526_PS100	PS	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	2.07054981032898	0.487216146882022	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_160526_untreated	Untreated	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.62884760357238	0.419765410432746	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_A_190626_PET05	PET	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	0	0	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_A_190626_PET100	PET	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.01132569680048	0.303482402207952	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_A_190626_PS05	PS	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	0.760979788653823	0.245754371454791	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_A_190626_PS100	PS	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.24844328400789	0.351881937154988	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_A_190626_untreated	Untreated	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.46252347158094	0.391380378674015	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_B_120626_PS05	PS	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.00866889655485	0.302908354742268	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_B_190626_PET05	PET	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	0.123875876230101	0.0507183492712943	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_B_190626_PET100	PET	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.31307731801325	0.364190149945409	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_B_190626_PS100	PS	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.37571709673056	0.375794723075192	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
MDM_B_190626_untreated	Untreated	filtered	class	Glycerophosphates	NPC class: Glycerophosphates	Glycerophosphates	Fatty acids	Glycerophospholipids	Glycerophosphates	5	1.52490532528502	0.402245098305316	kruskal_wallis	0.589095678253264	0.991701292638876	ns	0.114029511521909	0.0684088222286359
