sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	1.12118449822573	0.326578444601708	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_160526_PET100	PET	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	1.88727531453544	0.460488197764579	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_160526_PS05	PS	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	0.910729532553516	0.281199216184959	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_160526_PS100	PS	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	3.8563245268855	0.6863077010339	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_160526_untreated	Untreated	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	1.06696561125379	0.315333251195766	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_A_190626_PET05	PET	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	0	0	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_A_190626_PET100	PET	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	2.09198751898242	0.490237732190658	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_A_190626_PS05	PS	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	2.09592623297134	0.490790604144201	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_A_190626_PS100	PS	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	1.90771435247267	0.46355174013812	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_A_190626_untreated	Untreated	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	2.28729516025566	0.516838700344272	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_B_120626_PS05	PS	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	1.75491258814345	0.440107823482101	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_B_190626_PET05	PET	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	1.93828874916108	0.468094472191269	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_B_190626_PET100	PET	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	2.21480162405362	0.507154179052793	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_B_190626_PS100	PS	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	3.0944664157403	0.612197313227456	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
MDM_B_190626_untreated	Untreated	filtered	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	1.6652938205633	0.425745092392805	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.120266895401621	0.051426079748356
