sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	0.835769012660203	0.263818034796591	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_160526_PET100	PET	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	1.61897803669673	0.418131856355201	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_160526_PS05	PS	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	1.2407576620691	0.350394890128494	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_160526_PS100	PS	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	0.75540835575815	0.244378161270783	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_160526_untreated	Untreated	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	1.29594755587783	0.360961963668013	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_A_190626_PET05	PET	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	0	0	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_A_190626_PET100	PET	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	0.590639354722194	0.201571723324363	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_A_190626_PS05	PS	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	1.08594548821899	0.319302954869502	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_A_190626_PS100	PS	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	1.79142543611865	0.445826031572185	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_A_190626_untreated	Untreated	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	1.44379263091237	0.388064350886647	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_B_120626_PS05	PS	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	0.92321598365521	0.284028059715539	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_B_190626_PET05	PET	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	1.26027412444926	0.354161113269606	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_B_190626_PET100	PET	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	0.774297778445421	0.249026508778095	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_B_190626_PS100	PS	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	3	0.602059991327962	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
MDM_B_190626_untreated	Untreated	filtered	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	0.667675744875392	0.222111612308394	kruskal_wallis	0.416862019678508	0.991701292638876	ns	0.126546808726768	0.10453969188067
