sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	12.2732391346556	1.12297691884382	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_160526_PET100	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	18.7980174696051	1.29662170313432	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_160526_PS05	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	14.9981673003749	1.20407023409829	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_160526_PS100	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	14.8522521087789	1.20009097058752	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_160526_untreated	Untreated	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	14.2656770104796	1.18371606938775	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_A_190626_PET05	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	0	0	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_A_190626_PET100	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	8.43874862110682	0.974914419830631	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_A_190626_PS05	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	11.9474929552163	1.1121856833886	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_A_190626_PS100	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	4.55784297841563	0.74490627281722	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_A_190626_untreated	Untreated	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	6.14711721469033	0.854130904708663	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_B_120626_PS05	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	9.63960928604509	1.02692567983589	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_B_190626_PET05	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	3.64267265574776	0.666768063632976	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_B_190626_PET100	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	26.4419149691337	1.43841441430546	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_B_190626_PS100	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	26.1491442743727	1.43375614542487	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
MDM_B_190626_untreated	Untreated	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	39	9.60960399810728	1.02569917422685	kruskal_wallis	0.687289278790972	0.991701292638876	ns	0.203706577734196	0.13043915276121
