sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	23.3010826854902	376.400445836172	0.0619050347661702	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_160526_PET100	PET	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	27.7040655807959	541.197808174751	0.0511902767570898	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_160526_PS05	PS	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	22.1614461809834	353.48767043426	0.0626936892982943	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_160526_PS100	PS	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	42.9274452222866	638.494804211262	0.0672322545761594	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_160526_untreated	Untreated	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	27.0554240958654	416.249203481068	0.0649981402236987	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_A_190626_PET05	PET	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	0	0	NA	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_A_190626_PET100	PET	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	29.8921395964166	547.165675923441	0.0546308749099954	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_A_190626_PS05	PS	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	30.3463670813396	389.898560883217	0.0778314416257336	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_A_190626_PS100	PS	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	26.5306784677631	483.604389704334	0.0548602929017734	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
MDM_A_190626_untreated	Untreated	filtered	class	Ceramides	Ceramides	pathway	Fatty acids	Fatty acids	Fatty amides | Spingolipids	Ceramides	NPC class: Ceramides / NPC pathway: Fatty acids	Ceramides	97	1350	30.588011749067	481.356042164588	0.063545502849652	kruskal_wallis	0.437088735856891	0.994839233397245	ns	0.0162383723344618	0.00856858899612942
