sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	1.97394791318087	376.400445836172	0.00524427623563452	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_160526_PET100	PET	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	2.55533433029521	541.197808174751	0.0047216272713915	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_160526_PS05	PS	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	1.53693080958496	353.48767043426	0.00434790499961947	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_160526_PS100	PS	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	2.07054981032898	638.494804211262	0.00324286086068742	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_160526_untreated	Untreated	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	1.62884760357238	416.249203481068	0.00391315488402241	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_A_190626_PET05	PET	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	0	0	NA	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_A_190626_PET100	PET	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	1.01132569680048	547.165675923441	0.00184829886321668	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_A_190626_PS05	PS	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	0.760979788653823	389.898560883217	0.0019517378749232	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_A_190626_PS100	PS	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	1.24844328400789	483.604389704334	0.00258153836190603	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
MDM_A_190626_untreated	Untreated	filtered	class	Glycerophosphates	Glycerophosphates	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphates	NPC class: Glycerophosphates / NPC pathway: Fatty acids	Glycerophosphates	5	1350	1.46252347158094	481.356042164588	0.00303834032082402	kruskal_wallis	0.562570907405658	0.994839233397245	ns	0.00085550722394284	0.00133325146943523
