sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.59628297712447	29.6937546599756	0.0537582059057056	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_160526_PET100	PET	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.86331112168315	48.429273497033	0.0384748931201147	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_160526_PS05	PS	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.66286116243951	26.8058751071545	0.062033459299215	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_160526_PS100	PS	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.26268450454752	46.4549084636981	0.0271808630412917	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_160526_untreated	Untreated	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.81973403855782	33.0385467719719	0.0550791186766598	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_A_190626_PET05	PET	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	0	0	NA	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_A_190626_PET100	PET	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.00598807093743	55.808452516139	0.0180257295370539	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_A_190626_PS05	PS	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.8542035010633	42.2995725730887	0.0438350410718561	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_A_190626_PS100	PS	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.60935963351221	43.1702706718524	0.0372793500820352	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
MDM_A_190626_untreated	Untreated	filtered	class	Linear peptides	Linear peptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Linear peptides	NPC class: Linear peptides / NPC pathway: Amino acids and Peptides	Linear peptides	3	133	1.70379053230295	58.5352116119704	0.0291071046876429	kruskal_wallis	0.505652926068085	0.994839233397245	ns	0.0112425998481657	0.0113129182999579
