sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	1.12118449822573	25.811070294153	0.0434381250156727	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_160526_PET100	PET	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	1.88727531453544	36.8970377747523	0.0511497786368872	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_160526_PS05	PS	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	0.910729532553516	23.0412025264789	0.0395261285302669	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_160526_PS100	PS	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	3.8563245268855	43.4603676648377	0.0887319812069957	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_160526_untreated	Untreated	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	1.06696561125379	28.5903199694105	0.0373191210310119	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_A_190626_PET05	PET	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	0	0	NA	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_A_190626_PET100	PET	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	2.09198751898242	68.2384161101145	0.0306570351165044	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_A_190626_PS05	PS	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	2.09592623297134	58.1944062808141	0.03601593979424	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_A_190626_PS100	PS	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	1.90771435247267	35.674251340304	0.0534759463982745	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_A_190626_untreated	Untreated	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	2.28729516025566	66.5408974103348	0.0343742758104192	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_B_120626_PS05	PS	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	1.75491258814345	49.0362072404418	0.0357880979566485	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_B_190626_PET05	PET	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	1.93828874916108	49.0678621291492	0.0395022050086348	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_B_190626_PET100	PET	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	2.21480162405362	56.8754566792811	0.0389412543365201	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_B_190626_PS100	PS	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	3.0944664157403	46.5173117151251	0.0665228987154503	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
MDM_B_190626_untreated	Untreated	filtered	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	144	1.6652938205633	42.2463477715916	0.0394186458334068	kruskal_wallis	0.308157933248538	0.994839233397245	ns	0.0163061512087	0.0091819164332588
