sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	18.4471938535909	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_160526_PET100	PET	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0.238624419989168	18.6463769900709	0.0127973611236239	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_160526_PS05	PS	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	22.3597535558985	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_160526_PS100	PS	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0.312284028646684	24.7572882140621	0.012613822077222	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_160526_untreated	Untreated	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	23.225835342084	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_A_190626_PET05	PET	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	0	NA	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_A_190626_PET100	PET	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	39.57021074097	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_A_190626_PS05	PS	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	28.4695397438554	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_A_190626_PS100	PS	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	1	16.5380217219915	0.0604667243041679	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_A_190626_untreated	Untreated	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	33.2485865909996	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_B_120626_PS05	PS	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	29.9049107488681	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_B_190626_PET05	PET	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	30.6491335975542	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_B_190626_PET100	PET	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0.342956190825402	28.7136484924202	0.0119440129984155	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_B_190626_PS100	PS	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0.995840385131333	15.857691258901	0.0627985731890426	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
MDM_B_190626_untreated	Untreated	filtered	superclass	Nicotinic acid alkaloids	Aminoacids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	1	89	0	26.1232718278255	0	kruskal_wallis	0.318707161426952	0.994839233397245	ns	0.0226465199284054	0.00630691103861101
