sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	4.52636266761447	77.822106881515	0.0581629417269043	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_160526_PET100	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	6.50301125697774	93.2687032682457	0.0697234016246021	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_160526_PS05	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	5.88461278417311	79.5512923997804	0.0739725604280612	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_160526_PS100	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	7.3721203965387	97.8303087689003	0.0753562008472599	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_160526_untreated	Untreated	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	6.29127907568084	93.5136204646811	0.0672766068131965	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_A_190626_PET05	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	0	0.0573678542891528	0	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_A_190626_PET100	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	5.24010045067633	169.73134353676	0.0308729097495269	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_A_190626_PS05	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	4.58357684978129	123.648331985615	0.0370694596212955	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_A_190626_PS100	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	4.72133953113237	69.3657119989309	0.0680644571370525	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_A_190626_untreated	Untreated	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	5.92950760420446	119.558347140571	0.0495950951649811	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_B_120626_PS05	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	5.44388081737452	105.465152790993	0.051617815679488	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_B_190626_PET05	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	4.94247921335895	122.586147770203	0.0403184152798732	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_B_190626_PET100	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	5.46985786904074	109.683995526488	0.0498692433913007	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_B_190626_PS100	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	6.76075411678493	102.312048586493	0.066079745349537	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
MDM_B_190626_untreated	Untreated	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	322	5.14457935526479	98.8166838178762	0.0520618498465956	kruskal_wallis	0.244550527901713	0.994839233397245	ns	0.0205355545484145	0.0219782719077078
