sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	34389963.2	0.058963343118669	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_160526_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	28056539.6	0.0722736028358964	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_160526_PS05	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	46426403.4	0.0436765945991845	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_160526_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	26217207.8	0.077344132734074	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_160526_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	40651307.2	0.0498814758901529	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_A_190626_PET05	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	10138736	0.2	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_A_190626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	12141330.8	0.167011939086611	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_A_190626_PS05	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	16773047.5	0.120893188909171	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_A_190626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	12538075.6	0.16172714734628	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
MDM_A_190626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	6621647.6	24684804.5	0.268247925560845	kruskal_wallis	0.509156420607549	0.991701292638876	ns	0.0593909395172233	0.0537695047500336
