data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	551	PS	PET	117710561.066667	117710561.066667	536015010.24	573071700	466204107.266667	578256450	583914668.333333	562665330	579837500	560401400	0.788578026884016	0.788578026884016	0.827915956255209	11-Hexadecynal_[551_254.25_2.1]	11-Hexadecynal	11-Hexadecynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.987	0.977	0.717
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	496	PET	PS	11719218.6	11719218.6	38146370.14	26205274	43524926.9333333	27441837	31805708.3333333	24994839	40070580.1666667	11039599	0.07851052782746	0.867088554711476	0.0589199703530363	NA_[496_170.12_1.9]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.938	0.527	0.783
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	374	Untreated	PET	6033275.23333333	6033275.23333333	25669402.1066667	25598798	22377941.4333333	27273914	27589955.5	24780413	28411216.6666667	27119910	0.040418703606855	0.907507258318331	0.0396483441426851	4E,9Z-Tetradecadienal_[374_226.22_1.5]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.988	0.983	0.828
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	253	PS	PET	4803433.73333333	4803433.73333333	13339987.04	12666054	11102224.2666667	12757567.5	15905658	13653028	12684170.6666667	12666054	0.0321796299446302	0.939686888262962	0.0206046247132307	9E,11E-Hexadecadienal_[253_254.25_1.1]	9E,11E-Hexadecadienal	hexadeca-9,11-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.971	0.705
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	499	PET	PS	4449972.05	4449972.05	13765095.6733333	9341021	15872676.4333333	9917189	11422704.3833333	8910797	14234716.7333333	3589654.2	0.0298116850950237	0.969498573357985	0.0212612373340618	NA_[499_153.09_1.9]	NA	(3Z)-3-(hydroxymethylidene)cycloheptene-1-carbaldehyde	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.899	0.588	0.814
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	450	PS	PET	1474750.35	1474750.35	5103430.5	4362921	4426255.9	3973257.75	5901006.25	3933970.1	4862628.2	5742819.5	0.00987979082429876	0.979378364182284	0.00788263660881001	NA_[450_170.12_1.7]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.681	0.865
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	760	Untreated	PET	1328886.73333333	1328886.73333333	6480128.17333333	6739639.5	5721283.93333333	6788809.25	6953951.16666667	6709796.5	7050170.66666667	7385002.5	0.00890260711212513	0.988280971294409	0.0100090508862418	4E,9Z-Tetradecadienal_[760_226.22_2.9]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.951	0.89	0.795
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	51	PS	Untreated	974277.55	974277.55	2362923.89333333	1579804.8	2125410.53333333	1833706.6	2846025.31666667	1576823.15	1871747.76666667	1232061.5	0.00652697481903312	0.994807946113442	0.00364971569328145	NA_[51_153.09_0.6]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.898	0.623	0.856
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	353	PET	PS	474760.433333333	474760.433333333	3366986.51333333	2549746.5	3632376.36666667	2833241	3157615.93333333	2401343.7	3254947.96666667	2968417.8	0.00318056122040369	0.997988507333846	0.00520056678568875	NA_[353_170.12_1.4]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.982	0.602	0.811
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	765	PS	PET	300254.283333334	300254.283333334	3177504.38666667	3387992.5	3039303.05	3534661.65	3339557.33333333	3290942.5	3129801.16666667	3167573	0.00201149266615402	1	0.00490789722775554	NA_[765_184.17_2.9]	NA	Cyclobutyl(cyclohexyl)methanone	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.841	0.772	0.729
