data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2120	Untreated	PS	61141168.3333333	61141168.3333333	157018276.24	140857010	146132633.933333	134052630	143894981.666667	134822740	205036150	174022110	0.146549792267136	0.146549792267136	0.0962701751786877	NA_[2120_810.6_7.3]	NA	[(2R)-2,3-bis[[(8E,11E)-nonadeca-8,11-dienoyl]oxy]propyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.999
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1819	Untreated	PET	57260294.4	57260294.4	188816145.973333	161348100	167629742.266667	168230470	191965604.333333	175420190	224890036.666667	161348100	0.137247692156058	0.283797484423194	0.115765908814549	NA_[1819_782.57_6.5]	NA	1,2-di-(9Z,11Z-octadecadienoyl)-sn-glycero-3-phosphocholine	[M + H]+	-1	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.999
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1989	PS	PET	51837022.7333333	51837022.7333333	253153025.573333	219657760	228471483.933333	225988630	280308506.666667	246478980	248205146.666667	194208370	0.124248605651443	0.408046090074637	0.155211779816693	1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine_[1989_734.57_6.9]	1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine	2-[[(2R)-2-(8,9-ditritiohexadecanoyloxy)-3-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.998
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2063	PS	PET	31907454.4	31907454.4	195028450.906667	147721100	181834790.6	189639335	213742245	183021270	183988183.333333	123834840	0.076479251894567	0.484525341969204	0.119574762780576	PC(12:0/22:1(11Z))_[2063_760.59_7.1]	PC(12:0/22:1(11Z))	1-dodecanoyl-2-(11Z-docosenoyl)-glycero-3-phosphocholine	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.999
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1973	PS	PET	17379930.0666667	17379930.0666667	42891467.9733333	37890092	33058985.9333333	37238281	50438916	35027592	47461536	38259580	0.0416581038654891	0.526183445834693	0.0262973790971473	PC(P-18:1(9Z)/18:3(6Z,9Z,12Z))_[1973_766.57_6.9]	PC(P-18:1(9Z)/18:3(6Z,9Z,12Z))	NA	[M + H]+	-1	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.995
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2140	PS	Untreated	16597079	16597079	64177460.9066667	39665444	61473574.2666667	55157829	71512411.6666667	53322334	54915332.6666667	24867730	0.0397816814103173	0.565965127245011	0.0393481290965431	NA_[2140_786.6_7.3]	NA	2,3-bis[[(E)-octadec-4-enoyl]oxy]propyl 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	-1	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.999
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1900	PS	PET	15211863.7333333	15211863.7333333	55906177.44	48443548	48587302.2666667	41430002	63799166	59327989	54757950.6666667	26733870	0.0364614470230953	0.602426574268106	0.0342768856250412	NA_[1900_808.59_6.7]	NA	[3-docosanoyloxy-2-[(5E,7E,9E,11E,13E)-hexadeca-5,7,9,11,13-pentaenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.999
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1668	PET	Untreated	10832000.3833333	10832000.3833333	16484046.6133333	8959869	21020206.5833333	11505183	15095806.85	9072134.25	10188206.2	7508300.5	0.0259633148872884	0.628389889155394	0.0101066072887825	1,2-di-O-pentadecanoyl-sn-glycero-3-phosphocholine_[1668_706.54_6.2]	1,2-di-O-pentadecanoyl-sn-glycero-3-phosphocholine	1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.997
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1615	PS	Untreated	10088341.9166667	10088341.9166667	28856851.6066667	26461112	25122390.6	20597721	34709272.9166667	39215372	24620931	18012700	0.024180833512161	0.652570722667555	0.0176925529040516	NA_[1615_780.55_6.1]	NA	O-[1-O-(1-Oxo-9,10-octadecadien-1-yl)-2-O-(1-oxo-9,10,15-octadecatrien-1-yl)-L-glycero-3-phospho]choline	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.998
raw	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2341	PS	PET	9315861.06666667	9315861.06666667	28637983.24	25318206	24699851.2666667	26697591	34015712.3333333	25670636	25758789	19549256	0.0223292675185141	0.674899990186069	0.0175583615442645	NA_[2341_788.62_7.9]	NA	1-octadecanoyl-2-(16Z-octadecenoyl)-sn-glycero-3-phosphocholine	[M + H]+	5	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.999
