data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty amides	NPC superclass: Fatty amides	1629	Untreated	PET	328773589.566667	328773589.566667	716868889.686667	811663400	571354185.033333	361177627.75	770754151.883333	923007550	900127774.6	1029360060	0.131633166474094	0.131633166474094	0.116080483763616	N-palmitoylhexadecasphinganine_[1629_512.5_6.1]	N-palmitoylhexadecasphinganine	N-[2-Hydroxy-1-(hydroxymethyl)pentadecyl]hexadecanamide	[M + H]+	21	Fatty acids	Fatty amides	N-acyl amines	1	0.995	0.573
raw	superclass	Fatty amides	NPC superclass: Fatty amides	755	PS	PET	208142446.066667	208142446.066667	888210446.24	934459650	770807663.933333	974162400	978950110	908476480	941536683.333333	934459650	0.0833353107514828	0.214968477225577	0.143825321152522	NA_[755_563.55_2.9]	NA	N-octadec-9-enoyloctadec-9-enamide	[M + H3N + H]+	99	Fatty acids	Fatty amides	Primary amides	1	0.99	0.679
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2723	PET	Untreated	189215015.6	189215015.6	957873068.906667	935888100	1024885512.26667	960600000	951961911.666667	1049533600	835670496.666667	935888100	0.0757572154159377	0.290725692641514	0.155105586003914	NA_[2723_480.51_8.9]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.833
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3172	Untreated	PS	94802964.9666667	94802964.9666667	31837201.08	1013873.6	30462174.0666667	1013873.6	1152897.43333333	1013873.6	95955862.4	1013873.6	0.0379568641329825	0.328682556774497	0.00515530490472427	NA_[3172_480.51_10.2]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.63
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3222	Untreated	PS	91371622.8666667	91371622.8666667	48753500.1866667	1013873.6	74480779.7333333	1013873.6	1144772.86666667	1013873.6	92516395.7333333	1013873.6	0.0365830359417516	0.365265592716248	0.00789451176952514	NA_[3222_480.51_10.3]	NA	4-Octacosylmorpholine	[M + H]+	84	Fatty acids	Fatty amides	N-acyl amines	0.98	0.933	0.142
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2295	PS	PET	91327154.4	91327154.4	408436750.24	468027680	364133738.933333	437018620	455460893.333333	468496830	402994486.666667	441880900	0.0365652318198229	0.401830824536071	0.0661369690284946	NA_[2295_424.45_7.7]	NA	1-[Docosyl(1-hydroxypropyl)amino]propan-1-ol	[M - H2O + H]+	92	Fatty acids	Fatty amides	N-acyl amines	1	0.995	0.724
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3101	PET	Untreated	90749504.4	90749504.4	40269016.56	1013873.6	91763378	1013873.6	8402226.6	1013873.6	1013873.6	1013873.6	0.0363339544270311	0.438164778963103	0.00652064413760932	NA_[3101_508.54_9.8]	NA	1-(Dihexadecylamino)ethane-1,1-diol	[M - H2O + H]+	86	Fatty acids	Fatty amides	N-acyl amines	1	0.992	0.569
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3256	Untreated	PS	86580982.1333333	86580982.1333333	48748031.7866667	1013873.6	77058778	1013873.6	1013873.6	1013873.6	87594855.7333333	1013873.6	0.0346649767387615	0.472829755701864	0.0078936262874983	NA_[3256_508.55_10.5]	NA	1-(Dihexadecylamino)ethane-1,1-diol	[M - H2O + H]+	86	Fatty acids	Fatty amides	N-acyl amines	1	0.964	0.707
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3242	Untreated	PS	73362901.6833333	73362901.6833333	17875148.8933333	1013873.6	6275595.31666667	1013873.6	1153884.05	1013873.6	74516785.7333333	1013873.6	0.0293727700665768	0.502202525768441	0.00289447060785652	NA_[3242_480.51_10.4]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.999	0.88
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3286	PET	PS	68559248.0666667	68559248.0666667	29132219.7733333	1013873.6	69671422.0666667	1013873.6	1112174	1013873.6	4093906.73333333	1013873.6	0.027449500812985	0.529652026581426	0.00471729518890769	NA_[3286_480.51_10.7]	NA	N-decyldocosanamide	[M + H]+	-1	Fatty acids	Fatty amides	Primary amides	0.997	0.991	0.566
