data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	728	Untreated	PET	15548043.65	15548043.65	64009065.7733333	99194330	54922345.35	55377430.5	69865124.5833333	100517375	70470389	96732560	0.204438592011956	0.204438592011956	0.333954714849267	Precorallopyronin A_[728_529.33_2.8]	Precorallopyronin A	Precorallopyronin A	[M + H3N + H]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.807	0.729	0.599
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	973	Untreated	PET	7553776.13333333	7553776.13333333	2855485.75333333	1013873.6	1013873.6	1013873.6	1841015.91666667	1013873.6	8567649.73333333	1013873.6	0.0993233227173364	0.303761914729292	0.0148979354563218	NA_[973_590.35_3.6]	NA	Ac-Ser-Ala-Val-Leu-Cha-al	[M + Na]+	167	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.924	0.846	0.306
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2517	Untreated	PET	7336251.23333333	7336251.23333333	14838786.9066667	15743706	10461311.9666667	6847813.3	17736873.7	19599796.5	17797563.2	15743706	0.0964631246573997	0.400225039386692	0.0774184529996592	D-galactosyl-N-hexadecanoylsphinganine_[2517_740.55_8.4]	D-galactosyl-N-hexadecanoylsphinganine	Beta-D-Galactosyl-(1<->1')-N-Hexadecanoylsphinganine	[M + K]+	380	Polyketides	Linear polyketides	Open-chain polyketides	0.875	0.937	0.8
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	587	PS	PET	6111450.73333333	6111450.73333333	21398774.64	21623446	18463156.9333333	19890922	24574607.6666667	21788538	20918344	20392336	0.0803584303722419	0.480583469758934	0.111643899136583	NA_[587_565.41_2.3]	NA	NA	[M + Na]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.865	0.824	0.809
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2291	PS	PET	5108360.23333333	5108360.23333333	16852582.0066667	15452488	14739942.7666667	16675076	19848303	13470649	15086418.5	15452488	0.067168963317937	0.547752433076871	0.0879250329701722	NA_[2291_762.6_7.7]	NA	methyl 4-hydroxy-1-[2-(4-hydroxyphenyl)ethyl]-5-(2-oxooctadecylidene)-2-pentadecylpyrrolidine-3-carboxylate	[M + Na]+	300	Alkaloids	Linear polyketides	Open-chain polyketides	0.278	0.749	0.759
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2685	Untreated	PET	4945904.06666667	4945904.06666667	9710250.90666667	10255801	7352832.8	4992612.3	10773426.0333333	12530019.5	12298736.8666667	11601821	0.065032854703591	0.612785287780462	0.0506613248212985	beta-D-glucosyl-N-(octadecanoyl)sphinganine_[2685_768.58_8.8]	beta-D-glucosyl-N-(octadecanoyl)sphinganine	Beta-D-Galactosyl-(1<->1')-N-Octadecanoylsphinganine	[M + K]+	380	Fatty acids	Linear polyketides	Open-chain polyketides	0.791	0.712	0.445
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	922	Untreated	PET	4812863.33333333	4812863.33333333	11787223.5733333	1013873.6	9319149.73333333	1013873.6	13082902.6666667	1667064.4	14132013.0666667	1013873.6	0.0632835246389751	0.676068812419437	0.0614975213235658	NA_[922_576.33_3.5]	NA	Rhizoxin D	[M - H2O + H]+	59	Polyketides	Linear polyketides	Open-chain polyketides	0.74	0.739	0.594
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1385	Untreated	PS	4644301.8	4644301.8	5910301.98666667	1013873.6	5493301.21666667	4341293.05	4640201.9	1013873.6	9284503.7	2172285.5	0.0610671375926187	0.737135950012056	0.0308358384985617	NA_[1385_507.27_5.2]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	238	Polyketides	Linear polyketides	Open-chain polyketides	0.562	0.761	0.504
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1283	Untreated	PS	4482020.96666667	4482020.96666667	7691191.15333333	1013873.6	8919219.8	6118829.8	5378498.4	1013873.6	9860519.36666667	7975836.5	0.0589333344065701	0.796069284418626	0.0401272775571847	NA_[1283_507.27_4.7]	NA	ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate	[M - H2O + H]+	-1	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.639	0.895	0.628
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2520	PS	Untreated	3152878	3152878	4263180.05333333	3549333	3374496.98333333	3665151.75	5906594.76666667	3480508.5	2753716.76666667	2362675	0.0414566587035194	0.837525943122145	0.0222423036777885	NA_[2520_762.48_8.4]	NA	4-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-1-isopropyl-3a-[(4-isopropylpiperazine-1-carbonyl)amino]-5a,5b,8,8,11a-pentamethyl-2-oxo-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxo-butanoic acid	[M + K]+	25	Polyketides	Linear polyketides	Open-chain polyketides	0.549	0.735	0.613
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	746	PS	Untreated	2544347.96666667	2544347.96666667	4390007.29333333	3090366	3521076.46666667	3208181.4	5817410.5	2386406.25	3273062.53333333	3823246	0.03345520038425	0.870981143506395	0.0229039998650021	NA_[746_641.51_2.9]	NA	Cer(d16:1/6 keto-PGF1alpha)	[M + H3N + H]+	131	Polyketides	Linear polyketides	Open-chain polyketides	0.782	0.911	0.843
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	251	PS	PET	2354669.7	2354669.7	3963846.57333333	2453445.5	2996409.25	2337234.25	5351078.95	2586403.1	3124256.46666667	2700421.8	0.0309611529886086	0.901942296495004	0.0206805901025236	Sarcoursodeoxycholic acid_[251_481.36_1.1]	Sarcoursodeoxycholic acid	YZYBIGOLMMAZFK	[M + H3N + H]+	509	Polyketides	Linear polyketides	Open-chain polyketides	0.46	0.87	0.781
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	617	PS	PET	1715354.48333333	1715354.48333333	9382554.14	9412786	8652349.1	9666688	10367703.5833333	9893221.5	8872665.33333333	9412786	0.0225549055089039	0.924497202003908	0.0489516313747995	DG(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z)/0:0)_[617_623.5_2.4]	DG(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z)/0:0)	Diglyceride	[M - H2O + H]+	131	Polyketides	Linear polyketides	Acetogenins	0.983	0.988	0.83
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1495	Untreated	PS	1586697.7	1586697.7	3159458.01333333	1013873.6	3220371.63333333	2771303.55	2589949.7	1013873.6	4176647.4	1013873.6	0.0208632192601677	0.945360421264075	0.0164838509541337	NA_[1495_507.27_5.6]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.561	0.728	0.518
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	886	PS	Untreated	1260749.21666667	1260749.21666667	2073132.79333333	1013873.6	1713262.21666667	1299194.7	2733296.25	1013873.6	1472547.03333333	1373014.1	0.0165773778706564	0.961937799134732	0.0108161627181681	NA_[886_641.51_3.4]	NA	Cer(d16:1/TXB2)	[M + H3N + H]+	131	Polyketides	Linear polyketides	Open-chain polyketides	0.726	0.773	0.595
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1151	PS	PET	880710.933333333	880710.933333333	1513430.33333333	1013873.6	1138813.35	1013873.6	2019524.28333333	1013873.6	1250476.4	1013873.6	0.0115803188641165	0.973518117998848	0.0078960251849688	NA_[1151_762.64_4.2]	NA	NA	[M + K]+	70	Fatty acids	Linear polyketides	Open-chain polyketides	0.562	0.901	0.687
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	3083	PS	PET	687259.833333333	687259.833333333	2554953.86	1013873.6	2212930.26666667	1013873.6	2900190.1	2341812.2	2548528.56666667	1013873.6	0.00903666312211814	0.982554781120967	0.013329969395129	NA_[3083_906.58_9.7]	NA	1,3,5-Tris(3,5-di-tert-butyl-4-hydroxyhydrocinnamoyl)hexahydro-S-triazine	[M + K]+	25	Polyketides	Linear polyketides	Open-chain polyketides	0.339	0.794	0.6
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	668	PS	PET	497547.2	497547.2	1903481.27333333	1608273.5	1694859.71666667	1577309.05	2192406.91666667	1519399.45	1742873.1	1609871.9	0.00654216384499866	0.989096944965965	0.00993103927040567	Cer(d16:1/5-iso PGF2VI)_[668_597.48_2.6]	Cer(d16:1/5-iso PGF2VI)	Cer(d16:1/5-iso PGF2VI)	[M + H3N + H]+	131	Polyketides	Linear polyketides	Open-chain polyketides	0.595	0.804	0.573
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	884	PS	PET	351592.766666667	351592.766666667	1193398.44	1013873.6	1048710.93333333	1013873.6	1400303.7	1013873.6	1068962.93333333	1013873.6	0.00462303372674938	0.993719978692715	0.00622632170797586	NA_[884_581.49_3.4]	NA	9-hydroxy-2-[1-hydroxy-3-(1-hydroxy-2-{[4-(3-methylbutyl)-1H-pyrrol-2-yl]methyl}cyclopentyl)propyl]hexadecanoic acid	[M + H3N + H]+	131	Fatty acids	Linear polyketides	Open-chain polyketides	0.371	0.793	0.284
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	3303	PS	PET	280056.433333333	280056.433333333	1125896.17333333	1013873.6	1013873.6	1013873.6	1293930.03333333	1013873.6	1013873.6	1013873.6	0.00368241459847953	0.997402393291194	0.00587414190431846	NA_[3303_904.51_10.7]	NA	NA	[M + K]+	194	Polyketides	Linear polyketides	Open-chain polyketides	0.833	0.84	0.54
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	3170	PS	PET	197554.2	197554.2	1092895.28	1013873.6	1013873.6	1013873.6	1211427.8	1013873.6	1013873.6	1013873.6	0.00259760670880599	1	0.00570196623217335	NA_[3170_876.48_10.1]	NA	11',16',17',21'-tetrahydroxy-14'-{[(2-hydroxypropyl)amino]methyl}-27'-(3-methoxypropoxy)-17',30',33'-trimethyl-34'-oxa-7',10'-diazaspiro[cyclopentane-1,35'-octacyclo[16.12.3.1⁹,¹³.1¹²,¹⁵.0¹,²².0⁵,⁷.0²¹,³³.0²⁵,³⁰]pentatriacontan]-22'-en-2'-yne-8',24'-dione	[M + K]+	194	Polyketides	Linear polyketides	Ansa macrolides	0.856	0.786	0.609
