data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Steroids	NPC superclass: Steroids	2743	Untreated	PET	3831321.66666667	3831321.66666667	8598413.16666667	9432722	6998923	8472981.5	9081987.58333333	9653382.5	10830244.6666667	11513412	0.194859306782413	0.194859306782413	0.119713542831041	NA_[2743_630.48_8.9]	NA	NA	[M - H2O + H]+	67	Terpenoids	Steroids	Cholane steroids	0.808	0.855	0.568
raw	superclass	Steroids	NPC superclass: Steroids	1852	PS	PET	3213590.73333333	3213590.73333333	11464464.7733333	11829594	9720849.26666667	10944444	12934440	11679814	12011745.3333333	12265477	0.16344178773288	0.358301094515293	0.159616858142845	NA_[1852_444.42_6.6]	NA	9a,11a-dimethyl-1-[6-methyl-5-(propan-2-yl)hept-6-en-2-yl]-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.868	0.761	0.363
raw	superclass	Steroids	NPC superclass: Steroids	1999	PS	PET	2817406.56666667	2817406.56666667	12908658.3733333	13547774	11417649.4333333	12545369	14235056	13107425.5	13237881	13547774	0.143292038170871	0.501593132686164	0.179724002221493	NA_[1999_458.44_6.9]	NA	1-{4-[2-ethyl-1-(propan-2-yl)cyclopropyl]butan-2-yl}-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.878	0.805	0.406
raw	superclass	Steroids	NPC superclass: Steroids	2131	PS	PET	2394018.4	2394018.4	11773224.1066667	12745711	10524446.9333333	11587375	12918465.3333333	12715927.5	11980296	12745711	0.121758705333192	0.623351838019356	0.163915636645229	NA_[2131_472.45_7.3]	NA	7,7,12,16-tetramethyl-15-[4-(1,2,2-trimethylcyclopropyl)butan-2-yl]pentacyclo[9.7.0.0¹,³.0³,⁸.0¹²,¹⁶]octadecan-6-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.762	0.763	0.429
raw	superclass	Steroids	NPC superclass: Steroids	1674	Untreated	PET	1441273.73333333	1441273.73333333	9298633.70666667	9723024	8523142.6	9696077.5	9741233.5	9693673	9964416.33333333	10519754	0.0733025376084842	0.69665437562784	0.129462537207286	cholesterol-2,2,3,4,4,6-d6_[1674_369.35_6.2]	cholesterol-2,2,3,4,4,6-d6	Cholesterin	[M - H2O + H]+	311	Terpenoids	Steroids	Cholestane steroids	0.998	0.999	0.863
raw	superclass	Steroids	NPC superclass: Steroids	1708	PS	PET	1350392.85	1350392.85	5522845.16	5492799	4744637.06666667	5254839	6095029.91666667	5399804.25	5934891.83333333	6093518	0.0686803765197459	0.765334752147586	0.0768931834043489	(25R)-24R,26R-dimethyl-26,27-cyclo-cholest-5-en-3beta-ol_[1708_430.4_6.2]	(25R)-24R,26R-dimethyl-26,27-cyclo-cholest-5-en-3beta-ol	9a,11a-dimethyl-1-[5-(2-methylcyclopropyl)hexan-2-yl]-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.895	0.937	0.64
raw	superclass	Steroids	NPC superclass: Steroids	1928	PS	Untreated	1203314.25	1203314.25	3394639.86	2798053.5	3139277.35	3040004.85	3965986.28333333	2714143	2762672.03333333	2765133.8	0.0612000246902785	0.826534776837865	0.0472627165500134	NA_[1928_518.49_6.8]	NA	(3S,10R,13R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-3-(2-methyl-1-propan-2-yloxypropan-2-yl)oxy-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene	[M + H3N + H]+	20	Terpenoids	Steroids	Unsaturated fatty acids	0.887	0.716	0.388
raw	superclass	Steroids	NPC superclass: Steroids	923	PS	Untreated	1127813.43333333	1127813.43333333	1613131.2	1013873.6	1196558.16666667	1013873.6	2266784.36666667	1450250.45	1138970.93333333	1013873.6	0.0573600869149749	0.88389486375284	0.0224592197723098	NA_[923_434.36_3.5]	NA	(3E)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,1-diol	[M + H3N + H]+	70	Terpenoids	Steroids	Ergostane steroids	0.954	0.879	0.261
raw	superclass	Steroids	NPC superclass: Steroids	493	Untreated	PS	640186.383333334	640186.383333334	2525154.15333333	1694375.4	2747428.66666667	2068761.85	2163575.68333333	1845483.75	2803762.06666667	1177070.1	0.0325595931955266	0.916454456948366	0.0351570858518353	NA_[493_306.24_1.9]	NA	(8R,9S,10S,13S,14S)-10-[(R)-hydroxy(tritio)methyl]-13-methyl-1,2,3,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one	[M + H3N + H]+	-1	Terpenoids	Steroids	Androstane steroids	0.993	0.899	0.786
raw	superclass	Steroids	NPC superclass: Steroids	2316	Untreated	PET	622121.433333333	622121.433333333	2167867.42	2354820.5	1869112.43333333	2022020.3	2304939.18333333	2432996.25	2491233.86666667	2592609.8	0.0316408179163103	0.948095274864677	0.0301826725705945	N-(2-hydroxytetradecanoyl)sphinganine_[2316_545.52_7.8]	N-(2-hydroxytetradecanoyl)sphinganine	N-(1,3-dihydroxyoctadecan-2-yl)-2-hydroxytetradecanamide	[M + H3N + H]+	242	Fatty acids	Steroids	Cholane steroids	0.712	0.866	0.338
