sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	127358764.6	8.10502884109942	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_160526_PET100	PET	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	133139717	8.12430763274804	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_160526_PS05	PS	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	113561421.1	8.05523082244413	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_160526_PS100	PS	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	163755762.7	8.21419659476491	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_160526_untreated	Untreated	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	126616380.4	8.10248989755642	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_A_190626_PET05	PET	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	25346840	7.4039238405231	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_A_190626_PET100	PET	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	227397859.3	8.35678637387733	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_A_190626_PS05	PS	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	197098434.8	8.29468317767303	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_A_190626_PS100	PS	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	93858521	7.97247371104952	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_A_190626_untreated	Untreated	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	88050760.7	7.94473311726725	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_B_120626_PS05	PS	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	139196963.8	8.14362976555484	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_B_190626_PET05	PET	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	96175808.1	7.98306584859141	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_B_190626_PET100	PET	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	121564014.3	8.08480503653651	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_B_190626_PS100	PS	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	77275581.6	7.88804228800272	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
MDM_B_190626_untreated	Untreated	raw	class	Diacylglycerols	NPC class: Diacylglycerols	Diacylglycerols	Fatty acids	Fatty esters | Glycerolipids	Diacylglycerols	25	109350484.1	8.03882071399264	kruskal_wallis	0.681585666193848	0.991701292638876	ns	0.085056464352224	0.0606095800068456
