sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_160526_PET100	PET	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_160526_PS05	PS	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_160526_PS100	PS	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_160526_untreated	Untreated	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_A_190626_PET05	PET	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_A_190626_PET100	PET	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_A_190626_PS05	PS	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1096238.1	6.03990528816804	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_A_190626_PS100	PS	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_A_190626_untreated	Untreated	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_B_120626_PS05	PS	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	13088640	7.11689455588303	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_B_190626_PET05	PET	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	1013873.6	6.00598424306848	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_B_190626_PET100	PET	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	10707522	7.02968901594391	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_B_190626_PS100	PS	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	3914833.5	6.5927134069416	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
MDM_B_190626_untreated	Untreated	raw	superclass	Saccharides	NPC superclass: Saccharides	Saccharides	Carbohydrates	Saccharides	Monosaccharides	1	14401848	7.15841825313324	kruskal_wallis	0.572222230553382	0.991701292638876	ns	0.21352720787568	0.0169605225497804
