sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	29056664.5	7.46324577382846	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_160526_PET100	PET	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	37689165	7.57621652732476	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_160526_PS05	PS	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	30935607	7.49045865594516	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_160526_PS100	PS	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	48314885.7	7.68408096544171	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_160526_untreated	Untreated	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	29941785.5	7.47627770929845	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_A_190626_PET05	PET	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	4055494.4	6.60804391313287	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_A_190626_PET100	PET	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	26947764	7.43052275139965	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_A_190626_PS05	PS	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	30678575	7.48683519720345	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_A_190626_PS100	PS	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	26598717.5	7.42486071325568	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_A_190626_untreated	Untreated	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	31089619	7.49261541381187	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_B_120626_PS05	PS	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	30665526	7.48665043262127	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_B_190626_PET05	PET	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	27903879.5	7.44566460336494	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_B_190626_PET100	PET	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	29368144.5	7.46787652314707	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_B_190626_PS100	PS	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	34439654.8	7.53705880233714	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
MDM_B_190626_untreated	Untreated	raw	superclass	Sesquiterpenoids	NPC superclass: Sesquiterpenoids	Sesquiterpenoids	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids | Caryophyllane sesquiterpenoids | Humulane sesquiterpenoids	4	23478123.6	7.37066340312072	kruskal_wallis	0.28890231260848	0.991701292638876	ns	0.186395779101113	0.034191737977606
