sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	4142438.2	22473036077.3	0.00018432926400115	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_160526_PET100	PET	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	2320587.2	28244838693.3	8.21596903136314e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_160526_PS05	PS	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	2091348.8	20456769507.4	0.000102232603209587	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_160526_PS100	PS	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	2934812.2	30211472297.4	9.71423097527283e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_160526_untreated	Untreated	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	8617500	26519025548.7	0.000324955379079622	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_A_190626_PET05	PET	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	1013873.6	1459977984	0.000694444444444444	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_A_190626_PET100	PET	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	12410359	38894935316.3	0.000319073907671447	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_A_190626_PS05	PS	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	1013873.6	28257831826.4	3.5879384031608e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_A_190626_PS100	PS	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	6525771.5	25448591356.4	0.000256429576341122	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_A_190626_untreated	Untreated	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	1013873.6	26876593288.9	3.77232928705562e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_B_120626_PS05	PS	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	2333158.5	26269246863.4	8.88171066392735e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_B_190626_PET05	PET	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	2610564.5	26270617827.66	9.93720253221974e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_B_190626_PET100	PET	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	1334602.9	29419865311.6	4.53640044189386e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_B_190626_PS100	PS	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	2140353.5	31808703086.2	6.72882982434005e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
MDM_B_190626_untreated	Untreated	raw	class	Lactones	Lactones	pathway	Fatty acids	Fatty acids	Fatty esters	Lactones	NPC class: Lactones / NPC pathway: Fatty acids	Lactones	1	1440	1013873.6	23550848395.1	4.30504066346479e-05	kruskal_wallis	0.482310748291278	0.991701292638876	ns	0.000129492342992348	9.88002380270258e-05
