sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	714767419.7	22473036077.3	0.0318055565452496	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_160526_PET100	PET	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	949823407.4	28244838693.3	0.0336282114305474	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_160526_PS05	PS	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	569399281.9	20456769507.4	0.0278342717648564	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_160526_PS100	PS	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	1730971435.6	30211472297.4	0.0572951698136528	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_160526_untreated	Untreated	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	696739917.2	26519025548.7	0.0262732096215411	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_A_190626_PET05	PET	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	15208104	1459977984	0.0104166666666667	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_A_190626_PET100	PET	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	696832258.9	38894935316.3	0.0179157582660376	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_A_190626_PS05	PS	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	506510318.3	28257831826.4	0.0179245995025984	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_A_190626_PS100	PS	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	442428748.2	25448591356.4	0.017385195982124	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
MDM_A_190626_untreated	Untreated	raw	class	Other Octadecanoids	Other Octadecanoids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Octadecanoids	Other Octadecanoids	NPC class: Other Octadecanoids / NPC pathway: Fatty acids	Other Octadecanoids	15	1440	672394109	26876593288.9	0.025017832497309	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00726730037319214	0.00479928253554321
