sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	550808546.9	0.00368140111734348	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_160526_PET100	PET	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2361990	583831736.5	0.00404566907266782	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_160526_PS05	PS	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	638209892.3	0.00317724188306192	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_160526_PS100	PS	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2465165.5	597964616.7	0.00412259426586904	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_160526_untreated	Untreated	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	704625527.6	0.00287776573594578	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_A_190626_PET05	PET	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	94290244.8	0.021505376344086	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_A_190626_PET100	PET	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	1952488677.2	0.00103854492150394	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_A_190626_PS05	PS	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	1946448747.8	0.00104176757918331	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_A_190626_PS100	PS	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	3428453.8	599674082.7	0.00571719522138354	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
MDM_A_190626_untreated	Untreated	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	1543184201	0.0013140020476402	kruskal_wallis	0.651051411569554	0.991701292638876	ns	0.003395760567281	0.00132309047402444
