sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	74030778.2	11424929845.4	0.00647975779298171	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_160526_PET100	PET	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	88554606.9	12419174723.5	0.00713047435691792	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_160526_PS05	PS	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	81597897.7	11192569017.8	0.00729036359483078	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_160526_PS100	PS	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	86585925.2	12332953384.6	0.00702069670579626	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_160526_untreated	Untreated	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	83669434.1	13761025227.8	0.00608017445756666	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_A_190626_PET05	PET	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	12166483.2	338567248.3	0.0359352041908656	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_A_190626_PET100	PET	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	60987119	25155865783	0.00242436970868299	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_A_190626_PS05	PS	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	64645085.8	14287611092.7	0.00452455525143943	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_A_190626_PS100	PS	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	64987600.2	8548257803.5	0.00760243802817826	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
MDM_A_190626_untreated	Untreated	raw	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	328	70526967.1	10571590523.7	0.00667136765672947	kruskal_wallis	0.640290478248926	0.991701292638876	ns	0.00410140335957348	0.00107535569274686
